	% 10/3/2018	
	% 10:14 AM
	% SAMPLE B mass: 114.400 +/- .001 g
	% CALORIMETER mass: 318.3 +/- .05 g	
	%Time (s) 	Water Temperature (C) 	Sample Temp (C) 
	0.000	93.730	23.725	23.834
	1.041	93.466	23.731	23.826
	2.062	93.460	23.737	23.835
	3.077	93.338	23.730	23.808
	4.093	93.349	23.725	23.829
	5.110	93.455	23.717	23.831
	6.130	93.417	23.719	23.829
	7.148	93.465	23.737	23.825
	8.163	93.819	23.725	23.819
	9.182	93.408	23.735	23.848
	10.198	93.416	23.721	23.831
	11.214	93.304	23.727	23.834
	12.248	93.262	23.715	23.849
	13.267	93.298	23.740	23.844
	14.285	93.436	23.715	23.823
	15.303	93.281	23.736	23.855
	16.318	93.433	23.720	23.826
	17.335	93.543	23.728	23.849
	18.350	93.238	23.733	23.817
	19.367	93.360	23.716	23.830
	20.385	93.488	23.714	23.826
	21.401	93.504	23.720	23.825
	22.416	93.268	23.725	23.822
	23.432	93.366	23.737	23.819
	24.450	93.374	23.708	23.826
	25.468	93.377	23.712	23.817
	26.483	93.348	23.710	23.825
	27.499	93.412	23.717	23.822
	28.515	93.440	23.706	23.812
	29.532	93.313	23.739	23.810
	30.548	93.406	23.717	23.808
	31.563	93.258	23.688	23.827
	32.579	93.406	23.724	23.817
	33.597	93.565	23.711	23.807
	34.614	93.322	23.721	23.779
	35.629	93.622	23.697	23.819
	36.645	93.516	23.710	23.820
	37.661	93.501	23.713	23.805
	38.684	93.497	23.700	23.818
	39.705	93.311	23.698	23.800
	40.722	93.509	23.705	23.786
	41.761	93.288	23.684	23.783
	42.780	93.406	23.693	23.805
	43.796	93.553	23.695	23.794
	44.811	93.518	23.700	23.784
	45.830	93.536	23.683	23.799
	46.846	93.402	23.705	23.786
	47.858	93.505	23.704	23.791
	48.875	93.268	23.705	23.781
	49.891	93.398	23.670	23.773
	50.907	93.394	23.684	23.813
	51.923	93.648	23.672	23.789
	52.940	93.553	23.681	23.765
	53.957	93.429	23.677	23.768
	54.973	93.318	23.696	23.797
	55.990	93.395	23.682	23.775
	57.009	93.414	23.688	23.777
	58.044	93.379	23.677	23.781
	59.063	93.256	23.665	23.765
	60.080	93.505	23.681	23.778
	61.096	93.526	23.673	23.786
	62.118	93.448	23.655	23.755
	63.138	93.122	23.648	23.772
	64.158	93.311	23.653	23.774
	65.174	93.281	23.680	23.764
	66.191	93.366	23.658	23.732
	67.208	93.335	23.658	23.765
	68.226	93.401	23.687	23.750
	69.243	93.443	23.664	23.759
	70.262	93.235	23.663	23.749
	71.279	93.328	23.665	23.757
	72.302	93.315	23.642	23.758
	73.319	93.345	23.666	23.749
	74.363	93.381	23.672	23.760
	75.380	93.456	23.646	23.754
	76.399	93.151	23.653	23.737
	77.418	93.318	23.660	23.746
	78.438	93.479	23.665	23.729
	79.456	93.509	23.624	23.746
	80.474	93.581	23.635	23.747
	81.493	93.365	23.650	23.745
	82.511	93.390	23.639	23.740
	83.530	93.316	23.644	23.739
	84.546	93.445	23.645	23.731
	85.562	93.421	23.633	23.758
	86.580	93.293	23.620	23.747
	87.621	93.345	23.637	23.752
	88.640	93.357	23.630	23.743
	89.657	93.357	23.605	23.729
	90.693	93.520	23.615	23.727
	91.713	93.307	23.641	23.734
	92.731	93.361	23.643	23.730
	93.750	93.380	23.644	23.727
	94.768	93.240	23.630	23.729
	95.785	93.313	23.641	23.739
	96.803	93.104	23.613	23.732
	97.822	93.368	23.631	23.716
	98.841	93.610	23.619	23.742
	99.859	93.288	23.645	23.739
	100.879	93.468	23.609	23.709
	101.898	93.494	23.613	23.707
	102.916	93.297	23.618	23.723
	103.934	93.438	23.612	23.708
	104.953	93.245	23.620	23.709
	105.971	93.378	23.647	23.721
	106.994	93.319	23.624	23.741
	108.015	93.409	23.620	23.729
	109.036	93.605	23.616	23.713
	110.055	93.278	23.605	23.704
	111.072	93.379	23.641	23.722
	112.092	93.419	23.621	23.712
	113.112	93.354	23.625	23.707
	114.131	93.354	23.626	23.699
	115.153	93.101	23.601	23.712
	116.170	93.216	23.630	23.717
	117.189	93.174	23.598	23.703
	118.207	93.146	23.617	23.708
	119.225	93.330	23.634	23.710
	120.243	93.606	23.612	23.713
	121.266	93.412	23.598	23.684
	122.285	93.320	23.601	23.718
	123.310	93.302	23.605	23.706
	124.335	93.538	23.609	23.691
	125.354	93.249	23.637	23.695
	126.381	93.352	23.616	23.699
	127.402	93.175	23.619	23.703
	128.421	93.213	23.618	23.692
	129.440	93.573	23.601	23.680
	130.460	93.421	23.575	23.690
	131.484	93.224	23.591	23.706
	132.505	93.275	23.621	23.697
	133.522	93.388	23.605	23.676
	134.543	93.237	23.601	23.706
	135.564	93.411	23.593	23.678
	136.581	93.405	23.586	23.700
	137.603	93.258	23.590	23.703
	138.622	92.893	23.597	23.699
	139.656	93.379	23.587	23.708
	140.678	93.656	23.593	23.713
	141.711	93.033	23.592	23.685
	142.733	93.097	23.597	23.695
	143.754	93.110	23.590	23.664
	144.774	93.257	23.596	23.704
	145.795	93.366	23.590	23.675
	146.816	93.500	23.594	23.704
	147.835	93.394	23.594	23.698
	148.856	93.390	23.604	23.696
	149.879	93.373	23.600	23.686
	150.895	93.568	23.614	23.673
	151.911	93.474	23.589	23.702
	152.930	93.396	23.588	23.686
	153.959	93.239	23.581	23.666
	154.977	93.329	23.596	23.673
	155.997	93.395	23.588	23.673
	157.017	93.497	23.591	23.694
	158.038	93.441	23.590	23.675
	159.057	93.245	23.615	23.703
	160.076	93.013	23.595	23.705
	161.094	93.251	23.585	23.686
	162.113	93.109	23.583	23.673
	163.132	93.488	23.585	23.699
	164.152	93.305	23.586	23.692
	165.171	93.219	23.574	23.687
	166.193	93.469	23.589	23.668
	167.215	93.311	23.593	23.673
	168.238	93.276	23.618	23.686
	169.258	93.221	23.584	23.701
	170.278	93.301	23.565	23.669
	171.300	93.370	23.592	23.679
	172.323	93.385	23.600	23.692
	173.343	93.417	23.587	23.676
	174.366	93.378	23.581	23.657
	175.389	93.304	23.584	23.673
	176.409	93.167	23.587	23.654
	177.429	93.037	23.604	23.679
	178.450	93.192	23.604	23.673
	179.469	93.546	23.583	23.667
	180.492	93.583	23.571	23.670
	181.512	93.276	23.577	23.682
	182.533	93.313	23.577	23.681
	183.551	93.123	23.572	23.696
	184.573	93.333	23.594	23.664
	185.593	93.535	23.587	23.682
	186.613	93.157	23.569	23.657
	187.636	93.245	23.576	23.673
	188.660	93.325	23.570	23.664
	189.680	93.419	23.566	23.658
	190.700	93.304	23.587	23.672
	191.720	93.208	23.586	23.687
	192.741	93.352	23.591	23.654
	193.776	93.231	23.568	23.682
	194.800	93.420	23.582	23.697
	195.828	93.363	23.574	23.671
	196.850	93.188	23.580	23.693
	197.867	93.003	23.591	23.667
