cd-rfile,
Iteration,cd
"(""Iteration""",cd)
1371,0.48972
1372,0.4899984
1373,0.4902719
1374,0.4905422
1375,0.4908099
1376,0.4910754
1377,0.4913383
1378,0.491601
1379,0.4918621
1380,0.4921212
1381,0.4923781
1382,0.4926323
1383,0.4928858
1384,0.4931366
1385,0.4933857
1386,0.4936296
1387,0.4938713
1388,0.4941105
1389,0.4943473
1390,0.4945818
1391,0.4948139
1392,0.4950435
1393,0.4952697
1394,0.4954932
1395,0.4957106
1396,0.4959252
1397,0.4961371
1398,0.4963472
1399,0.4965548
1400,0.4967599
1401,0.4969628
1402,0.4971625
1403,0.4973602
1404,0.4975551
1405,0.4977504
1406,0.4979421
1407,0.4981341
1408,0.4983245
1409,0.4985137
1410,0.498701
1411,0.4988878
1412,0.4990737
1413,0.4992593
1414,0.4994442
1415,0.4996268
1416,0.4998099
1417,0.4999927
1418,0.5001757
1419,0.500358
1420,0.5005409
1421,0.5007237
1422,0.5009066
1423,0.50109
1424,0.501273
1425,0.5014563
1426,0.5016398
1427,0.5018228
1428,0.5020062
1429,0.5021895
1430,0.5023733
1431,0.5025575
1432,0.5027421
1433,0.5029263
1434,0.5031106
1435,0.5032957
1436,0.5034807
1437,0.5036665
1438,0.5038541
1439,0.5040425
1440,0.5042316
1441,0.5044212
1442,0.5046121
1443,0.5048037
1444,0.5049962
1445,0.5051889
1446,0.5053833
1447,0.5055774
1448,0.5057732
1449,0.5059695
1450,0.5061671
1451,0.5063655
1452,0.5065647
1453,0.5067654
1454,0.5069668
1455,0.5071698
1456,0.5073743
1457,0.507579
1458,0.5077844
1459,0.5079904
1460,0.5081974
1461,0.5084046
1462,0.5086124
1463,0.5088211
1464,0.5090302
1465,0.5092407
1466,0.5094516
1467,0.5096643
1468,0.5098778
1469,0.5100921
1470,0.5103074
1471,0.5105236
1472,0.5107414
1473,0.5109593
1474,0.5111788
1475,0.511399
1476,0.5116197
1477,0.5118413
1478,0.512064
1479,0.5122876
1480,0.5125117
1481,0.5127366
1482,0.5129592
1483,0.5131845
1484,0.5134102
1485,0.5136364
1486,0.5138626
1487,0.5140893
1488,0.514316
1489,0.5145437
1490,0.5147718
1491,0.515
1492,0.5152284
1493,0.5154567
1494,0.5156856
1495,0.5159142
1496,0.5161423
1497,0.5163718
1498,0.516601
1499,0.5168303
1500,0.5170584
1501,0.517287
1502,0.5175151
1503,0.5177433
1504,0.5179715
1505,0.5181993
1506,0.5184272
1507,0.5186544
1508,0.5188814
1509,0.5191081
1510,0.5193349
1511,0.5195609
1512,0.5197869
1513,0.5200121
1514,0.5202362
1515,0.5204599
1516,0.5206781
1517,0.5208976
1518,0.5211179
1519,0.5213376
1520,0.52156
1521,0.5217822
1522,0.5220041
1523,0.5222253
1524,0.5224463
1525,0.5226683
1526,0.5228898
1527,0.5231116
1528,0.5233325
1529,0.5235556
1530,0.5237797
1531,0.5240033
1532,0.5242255
1533,0.5244474
1534,0.5246677
1535,0.5248871
1536,0.5251055
1537,0.5253227
1538,0.525539
1539,0.525754
1540,0.5259688
1541,0.5261819
1542,0.5263945
1543,0.526606
1544,0.5268169
1545,0.5270265
1546,0.5272344
1547,0.5274422
1548,0.5276492
1549,0.5278548
1550,0.5280598
1551,0.5282641
1552,0.5284676
1553,0.5286701
1554,0.5288723
1555,0.5290738
1556,0.5292746
1557,0.5294749
1558,0.5296749
1559,0.5298728
1560,0.5300726
1561,0.5302719
1562,0.5304702
1563,0.5306675
1564,0.5308641
1565,0.5310599
