cd-rfile,
Iteration,cd
"(""Iteration""",cd)
1,1.271853068
2,1.434528202
3,1.548483565
4,1.572608738
5,1.543999606
6,1.478231183
7,1.387072029
8,1.274880248
9,1.145876274
10,1.015281522
11,0.896479168
12,0.794381082
13,0.708157207
14,0.633986808
15,0.573486707
16,0.512308632
17,0.458702467
18,0.406591488
19,0.359077599
20,0.315058373
21,0.274479146
22,0.236849704
23,0.20191596
24,0.169346981
25,0.138908629
26,0.110551909
27,0.084234031
28,0.059891899
29,0.037494018
30,0.016989819
31,-0.002295798
32,-0.01876521
33,-0.033640309
34,-0.046111339
35,-0.056871279
36,-0.065642917
37,-0.072215935
38,-0.07723708
39,-0.080496384
40,-0.0820433
41,-0.082013374
42,-0.080517578
43,-0.077668807
44,-0.073597875
45,-0.068452333
46,-0.062355095
47,-0.055446682
48,-0.047866731
49,-0.03974078
50,-0.031226094
51,-0.022455317
52,-0.013551148
53,-0.004635009
54,0.004181924
55,0.012790474
56,0.021103292
57,0.029032422
58,0.03651076
59,0.043468764
60,0.049849843
61,0.055617745
62,0.060742202
63,0.065207427
64,0.068991357
65,0.07210661
66,0.074553221
67,0.07634935
68,0.077534415
69,0.078119621
70,0.078149521
71,0.077668217
72,0.07671691
73,0.075339991
74,0.073588566
75,0.071519379
76,0.06917652
77,0.066612862
78,0.06387539
79,0.061008878
80,0.058063816
81,0.055084234
82,0.05211064
83,0.049178158
84,0.046314808
85,0.043550079
86,0.040906801
87,0.038408169
88,0.036070516
89,0.033909713
90,0.031933408
91,0.030150314
92,0.028561722
93,0.027161314
94,0.025954155
95,0.024934022
96,0.024093871
97,0.023423465
98,0.02291205
99,0.022548069
100,0.02231663
101,0.022194205
102,0.02217728
103,0.022248938
104,0.022391534
105,0.022592244
106,0.022835633
107,0.023106728
108,0.023389005
109,0.023671591
110,0.023943235
111,0.024192127
112,0.024409481
113,0.024589111
114,0.02471996
115,0.024797995
116,0.024819893
117,0.024781135
118,0.024677242
119,0.024507381
120,0.024277845
121,0.023991365
122,0.023653147
123,0.023264536
124,0.0228315
125,0.022359709
126,0.021856273
127,0.021329225
128,0.020786454
129,0.020235324
130,0.019683741
131,0.019139737
132,0.018612224
133,0.018105709
134,0.01762951
135,0.017188869
136,0.016788742
137,0.016435876
138,0.016134466
139,0.015886762
140,0.015695458
141,0.015563071
142,0.015488822
143,0.015473238
144,0.015514115
145,0.015610557
146,0.015760048
147,0.015959267
148,0.016203844
149,0.016488251
150,0.016807183
151,0.01715502
152,0.017527203
153,0.017918036
154,0.018321106
155,0.018730075
156,0.019138288
157,0.019539223
158,0.019927366
159,0.02029744
160,0.020644193
161,0.020961816
162,0.021246168
163,0.021494319
164,0.021702865
165,0.021868724
166,0.021989074
167,0.022062164
168,0.022087151
169,0.022063774
170,0.021991797
171,0.02187098
172,0.021702332
173,0.021487886
174,0.021230532
175,0.020932411
176,0.020596955
177,0.020226962
178,0.019826656
179,0.019399219
180,0.018949083
181,0.018480712
182,0.017998006
183,0.017505524
184,0.017008221
185,0.016511234
186,0.016019516
187,0.015537251
188,0.01506968
189,0.014620335
190,0.014193108
191,0.013791854
192,0.013419783
193,0.013080312
194,0.012776533
195,0.012510368
196,0.012283938
197,0.012100005
198,0.011959158
199,0.011862984
200,0.011811272
201,0.011802111
202,0.011835698
203,0.0119123
204,0.012030683
205,0.012188711
206,0.012383755
207,0.012614465
208,0.012876562
209,0.013168079
210,0.013485347
211,0.013825108
212,0.014183533
213,0.014556608
214,0.014940834
