cl-rfile,
Iteration,cl
"(""Iteration""",cl)
1,-6.13E-05
2,4.90E-05
3,0.000368274
4,0.000985116
5,0.000802645
6,-7.40E-05
7,-0.0010791
8,-0.001746362
9,0.000985202
10,0.008439897
11,0.010334245
12,0.010490571
13,0.008734886
14,0.009530825
15,0.009079277
16,0.008616165
17,0.007735064
18,0.00620695
19,0.004716437
20,0.003141914
21,0.001590272
22,0.000309894
23,-0.000760416
24,-0.001675151
25,-0.002299085
26,-0.002781763
27,-0.003196421
28,-0.003461026
29,-0.003699717
30,-0.003854221
31,-0.0040856
32,-0.004497199
33,-0.004430422
34,-0.004530565
35,-0.004428113
36,-0.004144064
37,-0.003950622
38,-0.003650465
39,-0.003332513
40,-0.002896635
41,-0.002529928
42,-0.002151061
43,-0.001769543
44,-0.001361759
45,-0.001000266
46,-0.000638219
47,-0.000303124
48,3.29E-05
49,0.000333158
50,0.000536839
51,0.000694081
52,0.00081976
53,0.000916319
54,0.000994269
55,0.001045509
56,0.001073782
57,0.001075216
58,0.001050121
59,0.001002783
60,0.00093145
61,0.000845547
62,0.000771423
63,0.000672813
64,0.000571953
65,0.000495754
66,0.000415406
67,0.000332225
68,0.000250012
69,0.000168667
70,0.000106113
71,4.40E-05
72,-1.71E-05
73,-7.98E-05
74,-0.000136653
75,-0.000197832
76,-0.000246516
77,-0.000282921
78,-0.000317225
79,-0.000333122
80,-0.000335834
81,-0.000320449
82,-0.000296942
83,-0.000257602
84,-0.000204264
85,-0.000167627
86,-0.000124627
87,-7.60E-05
88,-2.08E-05
89,5.20E-05
90,0.000126364
91,0.000200919
92,0.000275906
93,0.000348264
94,0.000405881
95,0.000459859
96,0.000506473
97,0.000547601
98,0.000584022
99,0.000614582
100,0.000629833
101,0.000639691
102,0.000644301
103,0.000643313
104,0.000636756
105,0.000624804
106,0.000607513
107,0.00058634
108,0.000583238
109,0.000568207
110,0.000542183
111,0.000505315
112,0.000459794
113,0.000408374
114,0.000356134
115,0.000297967
116,0.000237488
117,0.000174377
118,0.000111379
119,4.59E-05
120,-1.89E-05
121,-7.80E-05
122,-0.000134526
123,-0.000189697
124,-0.000239744
125,-0.00028416
126,-0.000322323
127,-0.000355101
128,-0.000379735
129,-0.000399609
130,-0.000413735
131,-0.000422236
132,-0.000427448
133,-0.000431408
134,-0.000431534
135,-0.00042283
136,-0.000412638
137,-0.000399206
138,-0.000384326
139,-0.000371391
140,-0.00036072
141,-0.000350869
142,-0.000343171
143,-0.000335491
144,-0.000332094
145,-0.00033049
146,-0.000332929
147,-0.000335232
148,-0.000341273
149,-0.000346379
150,-0.000353058
151,-0.000355123
152,-0.000359598
153,-0.000363651
154,-0.000363427
155,-0.000364062
156,-0.000364862
157,-0.000363971
158,-0.000364618
159,-0.000353293
160,-0.00034426
161,-0.000330612
162,-0.000317546
163,-0.000301165
164,-0.000282316
165,-0.000263478
166,-0.000245105
167,-0.000229555
168,-0.000210682
169,-0.000190428
170,-0.000170422
171,-0.000150856
172,-0.000129091
173,-0.000107707
174,-8.69E-05
175,-6.42E-05
176,-4.67E-05
177,-3.11E-05
178,-1.61E-05
179,-4.30E-07
180,1.11E-05
181,2.11E-05
182,3.03E-05
183,3.51E-05
184,4.10E-05
185,4.61E-05
186,4.78E-05
187,4.83E-05
188,4.85E-05
189,4.44E-05
190,3.85E-05
191,3.00E-05
192,2.20E-05
193,1.07E-05
194,-2.12E-06
195,-1.62E-05
196,-2.88E-05
197,-4.41E-05
198,-5.99E-05
199,-7.52E-05
200,-9.14E-05
201,-0.000105989
202,-0.000120092
203,-0.000133958
204,-0.000144059
205,-0.000154544
206,-0.000162834
207,-0.000172236
208,-0.000180495
209,-0.000186248
210,-0.000190698
211,-0.000197968
212,-0.000204605
213,-0.00020632
214,-0.000206768
215,-0.000205058
216,-0.000202969
217,-0.000205239
218,-0.000202375
219,-0.000200429
220,-0.000197493
221,-0.000195652
222,-0.000193701
223,-0.000195869
224,-0.000194035
225,-0.000192605
226,-0.000189228
227,-0.000190232
228,-0.000191793
229,-0.00019438
230,-0.000197191
231,-0.000202161
232,-0.000209986
233,-0.000217429
234,-0.000224829
235,-0.000229456
236,-0.000237313
237,-0.000246538
238,-0.000257146
239,-0.000268376
240,-0.000282314
241,-0.000292771
242,-0.000304635
243,-0.000316332
244,-0.000327522
245,-0.000339243
246,-0.000351628
247,-0.000363826
248,-0.000374821
249,-0.000386165
250,-0.000395252
251,-0.000402361
252,-0.000408445
253,-0.000413054
254,-0.000415904
255,-0.000422168
256,-0.000426816
257,-0.000427458
258,-0.000426539
259,-0.000426172
260,-0.000423511
261,-0.000419438
262,-0.000416542
263,-0.000409309
264,-0.000399078
265,-0.00038912
266,-0.000377149
267,-0.000364187
268,-0.000353438
269,-0.000341345
270,-0.000330696
271,-0.00031828
272,-0.000306812
273,-0.000294572
274,-0.000282037
275,-0.000268828
276,-0.000256015
277,-0.000245016
278,-0.000234173
279,-0.000224697
280,-0.00021408
281,-0.000202453
282,-0.000189442
283,-0.000180749
284,-0.00017496
285,-0.000166212
286,-0.000160553
287,-0.00015625
288,-0.000152135
289,-0.000146451
290,-0.000145407
291,-0.000141634
292,-0.000136999
293,-0.000132997
294,-0.000130724
295,-0.000130336
296,-0.0001352
297,-0.00013997
298,-0.000143353
299,-0.000146959
300,-0.000149557
301,-0.000155484
302,-0.000160862
303,-0.000167062
304,-0.000170977
305,-0.000175874
306,-0.000182541
307,-0.000193563
308,-0.000202899
309,-0.000212101
310,-0.000221449
311,-0.00022773
312,-0.000234637
313,-0.000240609
314,-0.000245259
315,-0.000249503
316,-0.000253608
317,-0.000262643
318,-0.000267484
319,-0.000274702
320,-0.000281238
321,-0.000287722
322,-0.000293863
323,-0.000296672
324,-0.000297666
325,-0.000298734
326,-0.000301571
327,-0.000307081
328,-0.000308603
329,-0.000309043
330,-0.000305067
331,-0.000304927
332,-0.000305938
333,-0.000307245
334,-0.000304679
335,-0.000301241
336,-0.000301672
337,-0.000303011
338,-0.000305402
339,-0.000303225
340,-0.000301401
341,-0.000299055
342,-0.00029917
343,-0.000298582
344,-0.000297381
345,-0.000299391
346,-0.000299044
347,-0.000296394
348,-0.000294659
349,-0.000292784
350,-0.000290986
351,-0.000287813
352,-0.000286219
353,-0.000285989
354,-0.000286652
355,-0.000289746
356,-0.000291711
357,-0.000293143
358,-0.000294354
359,-0.000295995
360,-0.00030027
361,-0.0003048
362,-0.000308084
363,-0.000311748
364,-0.000313138
365,-0.00031686
366,-0.000317904
367,-0.000318418
368,-0.00031992
369,-0.000322697
370,-0.000325307
371,-0.000330102
372,-0.000336817
373,-0.000342524
374,-0.000347441
375,-0.000353936
376,-0.000359742
377,-0.000364545
378,-0.0003645
379,-0.000366163
380,-0.000370136
381,-0.000373614
382,-0.000379075
383,-0.000383946
384,-0.00038643
385,-0.00038638
386,-0.000387835
387,-0.00038803
388,-0.000389726
389,-0.000390668
390,-0.000391954
391,-0.000393136
392,-0.000392591
393,-0.000392468
394,-0.000393301
395,-0.000391127
396,-0.0003913
397,-0.000389363
398,-0.000389102
399,-0.000385318
400,-0.000380929
401,-0.000377797
402,-0.000373547
403,-0.000371972
404,-0.000366724
405,-0.000363643
406,-0.000361048
407,-0.000357193
408,-0.000355387
409,-0.000352936
410,-0.000347728
411,-0.00034078
412,-0.000334769
413,-0.000328903
414,-0.000327721
415,-0.00032335
416,-0.000317627
417,-0.000313981
418,-0.00031248
419,-0.000310284
420,-0.000304826
421,-0.000296822
422,-0.000288998
423,-0.000283425
424,-0.000280746
425,-0.000280029
426,-0.000280116
427,-0.000282016
428,-0.000281247
429,-0.000279236
430,-0.000279692
431,-0.000281765
432,-0.00028081
433,-0.000278025
434,-0.000273473
435,-0.000273052
436,-0.000273405
437,-0.000275283
438,-0.000280155
439,-0.000285162
440,-0.000287941
441,-0.000292757
442,-0.000295658
443,-0.000298176
444,-0.00030325
445,-0.000309867
446,-0.000315225
447,-0.000319579
448,-0.000327129
449,-0.000333345
450,-0.000339861
451,-0.000347508
452,-0.000352872
453,-0.000358397
454,-0.000366056
455,-0.000372428
456,-0.000378112
457,-0.00038684
458,-0.000396392
459,-0.000405576
460,-0.000413565
461,-0.00041879
462,-0.000422939
463,-0.000427783
464,-0.000431018
465,-0.000435501
466,-0.000439689
467,-0.000442135
468,-0.000443956
469,-0.000445692
470,-0.000448882
471,-0.000453245
472,-0.00045712
473,-0.000459316
474,-0.000457955
475,-0.00046092
476,-0.00046247
477,-0.000462459
478,-0.000460406
479,-0.000456878
480,-0.000454855
481,-0.000454125
482,-0.000449493
483,-0.000448836
484,-0.00044559
485,-0.000439499
486,-0.000432907
