cl-rfile,
Iteration,cl
"(""Iteration""",cl)
1,-0.423728479
2,-0.641390184
3,-0.816714781
4,-0.926575422
5,-0.983738849
6,-0.999169745
7,-0.980189237
8,-0.93452746
9,-0.879591232
10,-0.826203457
11,-0.780864224
12,-0.742887373
13,-0.712239409
14,-0.686442168
15,-0.666643397
16,-0.641231473
17,-0.617601116
18,-0.59098473
19,-0.565563962
20,-0.539348527
21,-0.512795593
22,-0.486226751
23,-0.459767604
24,-0.433301792
25,-0.406842445
26,-0.380530094
27,-0.35441014
28,-0.328454862
29,-0.302734274
30,-0.277239699
31,-0.25219275
32,-0.227403363
33,-0.203485456
34,-0.179659035
35,-0.157202486
36,-0.135515744
37,-0.113635759
38,-0.09377526
39,-0.074990146
40,-0.056895936
41,-0.039754047
42,-0.02363806
43,-0.008456085
44,0.005818206
45,0.019167744
46,0.031594723
47,0.043117901
48,0.053712818
49,0.06341268
50,0.072286434
51,0.080411261
52,0.08777146
53,0.094396439
54,0.100316815
55,0.105566817
56,0.110145763
57,0.114091261
58,0.117444053
59,0.120203634
60,0.122389399
61,0.124005931
62,0.125074966
63,0.125581398
64,0.125627162
65,0.125096363
66,0.124022427
67,0.12238904
68,0.120159875
69,0.117354407
70,0.113972374
71,0.110014631
72,0.105480911
73,0.100370684
74,0.09469127
75,0.088461961
76,0.081674481
77,0.074326349
78,0.066449306
79,0.058064204
80,0.049189471
81,0.039843347
82,0.030050268
83,0.019860702
84,0.009303645
85,-0.001584614
86,-0.012733652
87,-0.024122021
88,-0.035703625
89,-0.047423117
90,-0.059228359
91,-0.071066937
92,-0.082919357
93,-0.094688171
94,-0.106312857
95,-0.117736664
96,-0.128900758
97,-0.139748128
98,-0.15023155
99,-0.160311315
100,-0.169933562
101,-0.178995265
102,-0.187530985
103,-0.195508278
104,-0.202895128
105,-0.209674706
106,-0.215827626
107,-0.221337937
108,-0.226196573
109,-0.230399356
110,-0.233939999
111,-0.236832626
112,-0.239070915
113,-0.240657336
114,-0.241615509
115,-0.241955311
116,-0.241704651
117,-0.240881756
118,-0.239512612
119,-0.237623956
120,-0.235239855
121,-0.232393258
122,-0.229109882
123,-0.225425991
124,-0.221365126
125,-0.21696258
126,-0.212266744
127,-0.207288721
128,-0.202059477
129,-0.196608975
130,-0.190966402
131,-0.185159124
132,-0.179220027
133,-0.173170879
134,-0.167037768
135,-0.160848803
136,-0.154614551
137,-0.14836884
138,-0.142132948
139,-0.135924898
140,-0.12976608
141,-0.123676257
142,-0.117667524
143,-0.111757001
144,-0.105959687
145,-0.100291573
146,-0.094767185
147,-0.089401741
148,-0.084204096
149,-0.079194712
150,-0.074384684
151,-0.069780482
152,-0.065396698
153,-0.0612447
154,-0.057330932
155,-0.053666707
156,-0.050265406
157,-0.047135238
158,-0.044287514
159,-0.041725302
160,-0.039459693
161,-0.037495633
162,-0.03584249
163,-0.034503375
164,-0.033484541
165,-0.032784608
166,-0.032410479
167,-0.032363217
168,-0.032640747
169,-0.033245418
170,-0.034173409
171,-0.035419544
172,-0.036980558
173,-0.038849707
174,-0.041020824
175,-0.043484435
176,-0.046225852
177,-0.049246813
178,-0.052527453
179,-0.056051096
180,-0.059805179
181,-0.063773031
182,-0.067940338
183,-0.072290341
184,-0.076803683
185,-0.081460875
186,-0.086245163
187,-0.091133231
188,-0.096109453
189,-0.101155211
190,-0.106247023
191,-0.111369765
192,-0.11650135
193,-0.121618721
194,-0.126706085
195,-0.131742766
196,-0.13670846
197,-0.141583878
198,-0.146353106
199,-0.150996476
200,-0.155507551
201,-0.159862374
202,-0.164051213
203,-0.16805648
204,-0.171865012
205,-0.17546385
206,-0.17884464
207,-0.181996357
208,-0.184906018
209,-0.187570753
210,-0.189989215
211,-0.192148042
212,-0.1940501
213,-0.195685519
214,-0.197054311
215,-0.19815594
216,-0.198997719
217,-0.199565244
218,-0.199874589
219,-0.199917198
220,-0.199705361
221,-0.199239679
222,-0.198520499
223,-0.197559603
224,-0.196364913
225,-0.19494886
226,-0.193317005
227,-0.191480033
228,-0.189447304
229,-0.187228058
230,-0.18483509
231,-0.182289717
232,-0.179595426
233,-0.176770059
234,-0.173820431
235,-0.170762544
236,-0.167611742
237,-0.164382588
238,-0.161092557
239,-0.15775343
240,-0.154380573
241,-0.150987221
242,-0.1475911
243,-0.144202443
244,-0.140839463
245,-0.137513715
246,-0.134234797
247,-0.131015451
248,-0.12787005
249,-0.124812107
250,-0.121855049
251,-0.119007725
252,-0.116279414
253,-0.113679756
254,-0.111217737
255,-0.108897126
256,-0.106728215
257,-0.104714651
258,-0.102866974
259,-0.101187925
260,-0.099683836
261,-0.098356324
262,-0.097209409
263,-0.096246128
264,-0.09546676
265,-0.094868639
266,-0.094453323
267,-0.094220125
268,-0.094169515
269,-0.094298758
270,-0.094601756
271,-0.095078647
272,-0.095722391
273,-0.096527924
274,-0.097497986
275,-0.098623275
276,-0.099900832
277,-0.101320101
278,-0.102876676
279,-0.104561304
280,-0.106370454
281,-0.108295591
282,-0.110330939
283,-0.112466172
284,-0.11469109
285,-0.117000183
286,-0.119386027
287,-0.121837552
288,-0.124347493
289,-0.126907967
290,-0.129508885
291,-0.132145395
292,-0.134808477
293,-0.137490469
294,-0.140179081
295,-0.142865178
296,-0.145539458
297,-0.148194348
298,-0.150821506
299,-0.153411498
300,-0.155960611
301,-0.158458059
302,-0.160899934
303,-0.163276548
304,-0.165583526
305,-0.167812335
306,-0.169956094
307,-0.172004586
308,-0.173952659
309,-0.175798179
310,-0.177532777
311,-0.179153164
312,-0.180656507
313,-0.182038011
314,-0.183297188
315,-0.184431062
316,-0.185435595
317,-0.186309072
318,-0.187047929
319,-0.187653615
320,-0.188120779
321,-0.188450468
322,-0.188644524
323,-0.188706747
324,-0.188636805
325,-0.188438152
326,-0.188113505
327,-0.187669239
328,-0.187100211
329,-0.186412445
330,-0.185611819
331,-0.184700888
332,-0.183685561
333,-0.182573457
334,-0.181368871
335,-0.180077114
336,-0.178707443
337,-0.177269561
338,-0.17576214
339,-0.174199646
340,-0.172585628
341,-0.170925419
342,-0.169228121
343,-0.167502824
344,-0.165758584
345,-0.163999436
346,-0.16223566
347,-0.160478674
348,-0.158733068
349,-0.157005765
350,-0.155305386
351,-0.153640775
352,-0.152012053
353,-0.150426105
354,-0.148893263
355,-0.147419238
356,-0.146009465
357,-0.1446716
358,-0.143410987
359,-0.142231507
360,-0.141136199
361,-0.140130861
362,-0.139216028
363,-0.138396537
364,-0.13767521
365,-0.13705341
366,-0.136535854
367,-0.136123303
368,-0.135817651
369,-0.135619958
370,-0.135526833
371,-0.135538284
372,-0.135654242
373,-0.135875742
374,-0.136194911
375,-0.136612093
376,-0.137127688
377,-0.13773603
378,-0.138432373
379,-0.139220072
380,-0.140093537
381,-0.141047776
382,-0.142079101
383,-0.143179632
384,-0.144346649
385,-0.145576061
386,-0.146860286
387,-0.148197301
388,-0.149582136
389,-0.151007107
390,-0.15246966
391,-0.153959026
392,-0.155470838
393,-0.157004895
394,-0.158555212
395,-0.160111086
396,-0.161668326
397,-0.163226246
398,-0.164776671
399,-0.166315985
400,-0.167839479
401,-0.169343347
402,-0.170818583
403,-0.172263939
404,-0.173672846
405,-0.175045401
406,-0.176373722
407,-0.177656256
408,-0.178890013
409,-0.180072629
410,-0.181202376
411,-0.18227668
412,-0.1832882
413,-0.184239942
414,-0.185126442
415,-0.185947715
416,-0.186702317
417,-0.187391579
418,-0.188011189
419,-0.188561549
420,-0.189042495
421,-0.189454523
422,-0.189797369
423,-0.190072523
424,-0.190278176
425,-0.190418966
426,-0.190494806
427,-0.190500986
428,-0.19044181
429,-0.190320361
430,-0.190137606
431,-0.189897356
432,-0.189597433
433,-0.189243893
434,-0.188838758
435,-0.188383184
436,-0.187880282
437,-0.187335038
438,-0.186747835
439,-0.186122426
440,-0.185463742
441,-0.184774183
442,-0.184055899
443,-0.183309574
444,-0.182538445
445,-0.181746808
446,-0.180941839
447,-0.180124394
448,-0.179298958
449,-0.178468921
450,-0.177634638
451,-0.176802041
452,-0.17597641
453,-0.175156308
454,-0.174345634
455,-0.173550358
456,-0.172772456
457,-0.172015356
458,-0.171282084
459,-0.170574394
460,-0.169896938
461,-0.169248901
462,-0.168635454
463,-0.168056535
464,-0.16751329
465,-0.16701018
466,-0.166548092
467,-0.166130659
468,-0.165758804
469,-0.165432094
470,-0.165149926
471,-0.164917276
472,-0.164733661
473,-0.16459985
474,-0.164514958
475,-0.164482105
476,-0.164497209
477,-0.164561902
478,-0.164675576
479,-0.164838263
480,-0.165049553
481,-0.165309049
482,-0.16561679
483,-0.165971149
484,-0.166367759
485,-0.166808625
486,-0.167290791
