%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72781.884,295.205,0.859,14.868,94.935,93.773,-12.22,-6.355,-6.097,-3.969,-2.699,-8.93,-8.759,-7.925,-6.03,-4.066,-0.844,-7.863,-1.987,-3.972,-4.458,-7.66,0,-147.939,-65.572,7.82,18.017,-17.064
72785.916,295.209,0.859,14.874,95.014,94.093,-12.436,-6.801,-5.883,-4.595,-2.915,-7.995,-8.331,-7.925,-6.476,-4.378,-0.317,-7.757,-1.778,-3.867,-4.561,-6.195,0,-147.939,-65.551,7.818,18.017,-17.043
72789.947,295.205,0.859,14.874,95.014,93.933,-12.544,-6.801,-5.669,-4.908,-3.671,-8.515,-9.506,-8.032,-6.588,-3.857,-0.95,-7.544,-1.569,-4.076,-4.872,-6.984,0,-147.939,-65.562,7.818,18.017,-17.054
72785.916,295.204,0.859,14.874,95.014,94.093,-12.868,-6.801,-5.027,-4.072,-2.699,-8.203,-7.904,-8.032,-6.365,-3.544,-0.633,-7.438,-0.941,-3.344,-4.872,-6.871,0,-147.939,-65.582,7.817,18.001,-17.043
72781.884,295.209,0.859,14.874,95.014,93.933,-12.003,-7.805,-5.669,-4.803,-3.455,-8.826,-8.545,-8.353,-6.476,-3.961,-0.422,-8.5,-1.778,-3.344,-5.287,-7.322,0,-147.919,-65.592,7.818,18.017,-17.043
72781.884,295.205,0.859,14.874,95.014,93.773,-11.787,-6.578,-4.92,-3.55,-2.375,-8.308,-8.118,-6.747,-6.588,-3.232,-0.106,-7.969,-0.732,-3.344,-4.25,-7.209,0,-147.9,-65.612,7.817,18.001,-17.043
72781.884,295.204,0.859,14.874,95.014,93.613,-12.003,-6.355,-6.418,-4.072,-2.699,-9.347,-9.079,-7.497,-6.699,-3.753,-1.266,-7.544,-1.987,-3.031,-3.939,-6.984,0,-147.881,-65.633,7.818,18.017,-17.064
72777.853,295.207,0.859,14.875,95.014,93.933,-11.787,-6.578,-4.92,-3.968,-2.483,-7.374,-8.438,-6.747,-5.918,-4.066,0.106,-7.438,-0.941,-3.031,-4.561,-6.195,0,-147.842,-65.653,7.818,17.985,-17.043
72777.853,295.207,0.859,14.881,95.093,93.933,-12.544,-6.913,-5.027,-5.012,-2.915,-8.308,-8.545,-8.139,-6.141,-3.023,-0.739,-7.544,-1.15,-3.867,-4.458,-6.421,0,-147.804,-65.663,7.819,17.985,-17.064
72781.884,295.205,0.859,14.874,95.014,93.613,-11.679,-6.578,-4.706,-3.759,-2.699,-8.204,-8.011,-8.139,-6.141,-3.441,-0.844,-7.65,-1.255,-3.24,-4.872,-6.646,0,-147.785,-65.704,7.82,18.001,-17.043
