%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72955.233,296.202,0.858,14.869,94.854,93.989,-9.946,-7.246,-5.667,-3.863,-3.023,-6.955,-7.582,-7.601,-6.029,-2.606,-0.211,-7.967,-0.209,-1.986,-4.664,-7.095,0.000,24.299,14.820,-0.593,-177.169,-10.001
72959.265,296.200,0.858,14.863,94.775,93.829,-10.487,-6.577,-5.025,-4.072,-1.728,-7.578,-8.116,-7.280,-6.364,-2.502,-0.316,-7.967,-0.418,-1.986,-4.561,-6.757,0.000,24.338,14.841,-0.594,-177.201,-10.001
72947.170,296.200,0.858,14.870,94.854,93.829,-10.270,-6.243,-5.560,-4.385,-2.591,-7.786,-7.902,-7.280,-5.136,-3.440,-0.949,-7.967,-0.418,-2.404,-4.457,-6.306,0.000,24.396,14.841,-0.594,-177.185,-10.001
72955.233,296.200,0.858,14.869,94.854,93.669,-10.270,-6.020,-4.811,-4.490,-2.159,-7.371,-8.223,-7.387,-5.694,-2.814,-0.422,-7.330,0.209,-3.031,-4.768,-6.869,0.000,24.453,14.851,-0.594,-177.169,-10.001
72955.233,296.202,0.858,14.863,94.775,93.509,-10.270,-6.800,-4.811,-3.445,-2.375,-7.371,-8.009,-8.243,-5.806,-2.919,-0.844,-7.330,0.314,-1.568,-4.561,-6.306,0.000,24.434,14.861,-0.594,-177.185,-9.990
72955.233,296.202,0.858,14.869,94.854,93.509,-10.378,-7.358,-4.918,-3.863,-2.483,-7.579,-7.795,-7.708,-6.475,-3.127,-0.316,-8.286,-0.105,-2.299,-4.354,-6.532,0.000,24.511,14.891,-0.594,-177.136,-9.990
72955.233,296.202,0.858,14.869,94.854,93.669,-10.378,-6.243,-5.239,-4.176,-2.159,-7.787,-7.689,-7.065,-5.694,-3.023,-0.633,-7.011,-0.523,-2.508,-3.835,-7.207,0.000,24.530,14.902,-0.595,-177.201,-9.979
72959.265,296.202,0.858,14.863,94.775,93.669,-10.487,-6.132,-4.811,-4.072,-2.159,-7.060,-8.116,-7.708,-5.806,-3.752,0.211,-7.648,0.000,-1.881,-4.561,-6.532,0.000,24.607,14.932,-0.595,-177.185,-10.001
72959.265,296.202,0.858,14.850,94.617,93.829,-10.054,-5.686,-4.384,-4.072,-2.267,-7.372,-7.689,-7.065,-5.805,-2.397,-0.633,-7.436,0.419,-2.717,-4.354,-6.644,0.000,24.665,14.952,-0.596,-177.201,-10.001
72959.265,296.200,0.858,14.856,94.696,93.669,-10.162,-6.243,-5.025,-3.654,-2.699,-7.268,-7.475,-7.922,-5.470,-2.397,-0.422,-7.861,-0.418,-2.090,-4.768,-6.757,0.000,24.723,14.963,-0.596,-177.218,-10.012
72951.202,296.202,0.858,14.857,94.696,93.669,-10.487,-6.800,-5.560,-3.863,-2.159,-6.956,-7.475,-7.172,-6.251,-2.502,-0.211,-8.392,0.628,-1.463,-4.561,-6.532,0.000,24.742,14.993,-0.597,-177.169,-10.001
72963.296,296.200,0.858,14.856,94.696,93.509,-10.595,-5.909,-5.453,-3.341,-2.052,-7.060,-7.689,-7.922,-4.800,-2.710,-0.422,-7.541,-0.732,-1.881,-4.664,-6.982,0.000,24.800,15.013,-0.597,-177.201,-10.001
72959.265,296.200,0.858,14.856,94.696,93.989,-10.703,-6.020,-5.025,-4.176,-2.915,-6.853,-8.756,-7.387,-5.023,-2.710,-0.105,-7.435,-0.314,-2.717,-4.457,-6.419,0.000,24.819,15.054,-0.600,-177.185,-10.012
72963.296,296.204,0.858,14.844,94.538,93.509,-11.027,-5.909,-4.704,-4.072,-2.159,-7.268,-7.689,-7.708,-5.470,-2.814,-1.160,-7.647,-0.314,-2.194,-4.146,-6.419,0.000,24.838,15.074,-0.601,-177.136,-10.012
72963.296,296.200,0.858,14.850,94.617,93.349,-9.838,-6.912,-5.132,-4.385,-2.591,-7.579,-7.902,-8.029,-5.916,-2.710,-0.105,-8.072,-0.418,-1.881,-4.872,-6.644,0.000,24.934,15.105,-0.602,-177.201,-10.001
72959.265,296.200,0.858,14.856,94.696,93.669,-10.378,-6.689,-5.667,-4.594,-2.159,-7.683,-8.009,-7.601,-6.028,-2.397,-0.738,-7.966,-0.314,-2.403,-4.872,-7.206,0.000,24.973,15.145,-0.604,-177.185,-10.001
72963.296,296.199,0.858,14.844,94.538,93.509,-10.595,-6.132,-6.094,-3.968,-2.159,-7.579,-8.009,-7.601,-5.581,-3.440,-0.738,-7.754,-0.314,-2.508,-4.976,-6.531,0.000,24.992,15.156,-0.605,-177.201,-10.001
72963.296,296.199,0.858,14.850,94.617,93.669,-10.379,-5.909,-4.491,-4.698,-1.836,-6.749,-8.116,-7.387,-5.023,-2.397,-0.211,-7.435,-0.209,-2.612,-4.872,-6.531,0.000,25.031,15.186,-0.607,-177.169,-10.001
72963.296,296.202,0.858,14.850,94.617,93.509,-10.919,-6.020,-4.918,-3.654,-2.915,-7.683,-7.475,-8.564,-5.581,-2.293,-0.949,-7.647,-0.523,-1.985,-4.561,-6.643,0.000,25.050,15.227,-0.609,-177.201,-9.990
72963.296,296.202,0.858,14.850,94.617,93.669,-10.379,-6.800,-4.704,-3.654,-2.159,-7.060,-7.155,-7.601,-5.693,-2.502,-0.316,-8.285,-0.000,-1.985,-4.457,-6.643,0.000,25.108,15.237,-0.610,-177.169,-10.001
72955.233,296.202,0.858,14.857,94.696,93.669,-9.622,-5.463,-5.346,-3.445,-2.483,-7.476,-7.795,-7.494,-5.470,-2.502,-0.316,-7.541,-0.523,-2.194,-4.768,-7.094,0.000,25.108,15.257,-0.612,-177.201,-9.990
72963.296,296.200,0.858,14.850,94.617,93.669,-10.703,-5.909,-5.025,-4.281,-1.944,-7.164,-8.543,-8.243,-5.805,-3.440,-0.316,-7.860,-0.105,-2.612,-4.354,-6.193,0.000,25.146,15.288,-0.614,-177.185,-10.001
72959.265,296.200,0.858,14.856,94.696,93.509,-10.919,-5.686,-5.132,-4.281,-2.159,-7.060,-7.582,-7.387,-6.140,-2.293,-0.527,-7.329,-0.314,-2.194,-3.939,-5.968,0.000,25.127,15.308,-0.616,-177.201,-9.990
72963.296,296.204,0.858,14.850,94.617,93.509,-10.270,-6.355,-4.918,-4.072,-2.915,-7.164,-7.475,-7.708,-5.358,-2.502,-0.211,-7.754,-0.523,-1.881,-4.457,-6.868,0.000,25.146,15.318,-0.618,-177.201,-10.001
72963.296,296.204,0.858,14.850,94.617,93.669,-10.595,-6.800,-5.453,-3.863,-1.944,-7.372,-7.582,-7.172,-6.363,-2.293,0.317,-7.647,-0.209,-2.194,-3.835,-7.206,0.000,25.185,15.318,-0.620,-177.218,-9.990
72967.327,296.204,0.858,14.849,94.617,93.829,-10.919,-6.355,-5.560,-3.968,-2.375,-7.372,-8.009,-7.601,-5.023,-3.231,-0.633,-7.647,-0.523,-2.194,-4.250,-7.094,0.000,25.185,15.338,-0.622,-177.185,-9.990
72967.327,296.202,0.858,14.849,94.617,93.829,-10.595,-6.577,-4.597,-4.281,-2.699,-7.683,-8.436,-7.601,-6.028,-2.501,-1.055,-7.754,-0.105,-3.135,-4.872,-6.868,0.000,25.204,15.338,-0.624,-177.185,-9.990
72963.296,296.204,0.858,14.850,94.617,93.989,-11.135,-6.466,-5.132,-3.968,-1.944,-7.060,-7.261,-8.778,-5.805,-2.710,-0.844,-7.754,-0.209,-1.881,-4.354,-6.418,0.000,25.242,15.349,-0.626,-177.201,-9.990
72967.327,296.204,0.858,14.849,94.617,93.669,-9.838,-6.912,-5.239,-3.654,-2.267,-7.164,-7.902,-6.851,-5.693,-2.189,-0.527,-8.178,-0.105,-2.090,-4.457,-6.868,0.000,25.262,15.359,-0.627,-177.218,-10.001
72967.327,296.205,0.858,14.862,94.775,93.669,-10.379,-6.020,-5.453,-4.072,-2.267,-7.995,-8.009,-7.601,-6.028,-3.022,-0.738,-7.116,-0.523,-2.299,-4.457,-7.206,0.000,25.262,15.328,-0.630,-177.201,-9.990
72975.390,296.205,0.858,14.855,94.696,93.829,-10.270,-6.355,-4.704,-3.759,-2.267,-7.372,-8.223,-7.387,-5.693,-3.231,-0.633,-7.754,-0.209,-2.508,-4.250,-6.643,0.000,25.281,15.318,-0.632,-177.185,-10.001
72963.296,296.204,0.858,14.862,94.775,93.669,-10.487,-6.577,-4.918,-4.490,-1.296,-7.164,-8.116,-7.601,-5.358,-1.772,-0.316,-7.860,-0.418,-3.135,-4.250,-6.305,0.000,25.281,15.349,-0.633,-177.169,-10.012
