%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72793.979,295.38,0.859,14.911,95.448,93.622,-12.326,-6.467,-5.026,-4.386,-2.699,-8.411,-9.186,-7.923,-6.252,-4.274,-0.316,-7.649,-1.255,-3.867,-4.561,-6.532,0,-60.261,-12.394,-1.479,-178.167,-17.056
72798.01,295.384,0.859,14.917,95.527,93.782,-12.867,-7.024,-5.56,-4.386,-2.915,-8.411,-7.904,-7.709,-6.587,-3.336,-0.949,-7.862,-1.673,-3.972,-4.664,-7.208,0,-60.223,-12.445,-1.477,-178.167,-17.056
72793.979,295.381,0.859,14.918,95.527,93.622,-12.002,-7.136,-5.454,-3.655,-3.455,-8.203,-8.118,-8.351,-6.699,-3.232,0.317,-8.074,-1.673,-3.658,-5.39,-7.321,0,-60.165,-12.516,-1.475,-178.167,-17.066
72802.041,295.38,0.859,14.917,95.527,93.622,-12.542,-7.359,-5.667,-4.281,-2.915,-8.619,-8.545,-7.923,-6.587,-3.961,0,-8.393,-1.255,-3.031,-4.25,-6.758,0,-60.069,-12.607,-1.472,-178.167,-17.056
72802.041,295.381,0.859,14.911,95.448,93.782,-12.542,-6.355,-5.881,-4.177,-3.131,-8.723,-8.011,-7.173,-6.14,-4.378,-0.316,-7.331,-1.778,-3.031,-4.457,-7.546,0,-59.992,-12.658,-1.471,-178.151,-17.045
72793.979,295.381,0.859,14.899,95.29,93.782,-12.218,-6.021,-5.56,-3.968,-2.591,-7.996,-8.438,-7.495,-5.917,-4.378,0.106,-7.437,-1.255,-3.867,-4.457,-6.307,0,-59.915,-12.719,-1.47,-178.183,-17.045
72793.979,295.38,0.859,14.918,95.527,93.622,-12.65,-6.69,-5.026,-4.49,-2.591,-8.307,-8.652,-7.28,-6.364,-3.127,-0.422,-7.862,-1.046,-3.972,-4.353,-6.758,0,-59.799,-12.79,-1.469,-178.2,-17.056
72802.041,295.383,0.859,14.911,95.448,93.782,-12.11,-6.69,-5.56,-3.864,-2.699,-8.203,-8.011,-8.244,-6.587,-3.127,-0.527,-7.012,-1.359,-3.24,-4.457,-7.208,0,-59.722,-12.841,-1.468,-178.167,-17.034
72798.01,295.38,0.859,14.923,95.606,93.782,-12.002,-7.47,-5.454,-3.968,-3.239,-8.723,-7.798,-7.709,-6.922,-3.961,-0.633,-8.605,-1.255,-3.449,-4.975,-7.208,0,-59.626,-12.922,-1.469,-178.167,-17.066
72802.041,295.384,0.859,14.929,95.685,93.782,-12.65,-6.578,-5.667,-4.072,-2.051,-8.515,-8.225,-7.602,-6.14,-3.649,-0.105,-7.437,-1.359,-3.449,-4.768,-8.109,0,-59.511,-12.983,-1.468,-178.167,-17.056
72798.01,295.381,0.859,14.911,95.448,93.622,-12.002,-6.801,-5.988,-3.759,-2.915,-8.619,-8.545,-8.137,-6.364,-4.691,-0.633,-7.756,-1.882,-3.554,-4.664,-7.096,0,-59.453,-13.054,-1.468,-178.167,-17.045
72802.041,295.381,0.859,14.917,95.527,93.782,-12.326,-7.136,-5.454,-5.117,-2.915,-8.93,-9.079,-8.03,-6.364,-3.336,-0.422,-7.862,-1.255,-3.867,-4.872,-7.208,0,-59.318,-13.095,-1.469,-178.167,-17.056
72798.01,295.383,0.859,14.923,95.606,93.622,-12.542,-6.913,-5.24,-3.655,-2.915,-8.411,-8.011,-8.244,-6.14,-3.649,-0.949,-7.437,-1.777,-3.554,-5.286,-6.87,0,-59.241,-13.146,-1.47,-178.167,-17.045
72793.979,295.38,0.859,14.911,95.448,93.622,-12.434,-7.47,-5.347,-4.386,-3.779,-8.93,-8.545,-8.244,-6.81,-3.649,-0.211,-8.499,-2.091,-3.658,-4.872,-7.096,0,-59.087,-13.217,-1.472,-178.167,-17.056
