%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73092.300,297.984,0.855,14.888,94.703,94.946,-14.053,-8.918,-8.337,-6.367,-4.426,-10.482,-10.038,-9.739,-8.261,-5.940,-3.269,-9.772,-3.450,-4.702,-6.633,-10.020,0.000,30.717,20.029,-2.443,59.986,-29.976
73096.331,297.981,0.855,14.881,94.624,94.786,-13.620,-9.140,-8.017,-6.159,-4.318,-9.237,-10.999,-9.739,-8.261,-6.252,-2.742,-10.409,-2.509,-5.329,-6.633,-9.344,0.000,30.717,20.050,-2.444,60.018,-29.998
73080.205,297.984,0.854,14.883,94.624,94.786,-13.944,-9.363,-7.804,-6.367,-4.642,-9.963,-10.038,-9.632,-8.707,-5.836,-3.374,-10.515,-2.718,-5.225,-6.944,-10.020,0.000,30.698,20.040,-2.443,60.002,-29.987
73088.268,297.982,0.854,14.888,94.703,94.786,-13.080,-9.363,-7.483,-6.680,-4.858,-10.067,-10.572,-9.632,-8.707,-5.940,-2.320,-11.046,-2.823,-5.225,-7.566,-9.344,0.000,30.698,20.040,-2.442,60.018,-29.998
73096.331,297.982,0.855,14.888,94.703,94.946,-13.836,-8.918,-8.552,-6.472,-3.995,-10.482,-10.145,-9.418,-8.819,-5.419,-2.636,-10.090,-2.718,-4.807,-6.737,-10.583,0.000,30.679,20.019,-2.442,60.002,-29.987
73092.300,297.979,0.855,14.882,94.624,94.786,-12.972,-9.252,-8.659,-5.950,-4.534,-9.653,-10.999,-9.739,-8.484,-6.461,-2.847,-9.878,-2.718,-4.702,-7.151,-9.119,0.000,30.660,20.050,-2.441,60.018,-29.966
73092.300,297.982,0.855,14.882,94.624,94.786,-14.053,-8.583,-7.697,-6.889,-4.534,-9.653,-9.932,-9.632,-8.931,-5.419,-3.374,-10.090,-3.346,-5.538,-6.322,-9.457,0.000,30.717,20.040,-2.442,60.002,-29.966
73092.300,297.981,0.855,14.888,94.703,94.626,-13.080,-9.363,-8.232,-5.950,-4.426,-10.172,-9.718,-9.739,-8.596,-5.523,-2.425,-10.515,-2.718,-4.493,-6.841,-9.569,0.000,30.698,20.050,-2.441,60.035,-29.976
73092.300,297.981,0.855,14.876,94.545,94.946,-13.188,-9.252,-8.018,-6.367,-3.671,-10.069,-10.252,-9.632,-8.931,-5.836,-2.531,-9.984,-2.405,-5.120,-6.737,-10.132,0.000,30.660,20.029,-2.440,60.002,-29.976
73092.300,297.981,0.855,14.882,94.624,94.626,-13.404,-9.029,-8.232,-6.054,-4.210,-9.446,-9.718,-9.418,-7.591,-5.940,-2.636,-9.878,-2.405,-4.598,-6.841,-9.119,0.000,30.583,20.029,-2.439,60.018,-29.987
73080.205,297.981,0.854,14.889,94.703,95.106,-13.836,-8.806,-7.697,-6.889,-4.210,-9.550,-10.252,-9.204,-7.926,-5.315,-3.058,-10.090,-2.405,-5.120,-6.530,-9.569,0.000,30.563,20.009,-2.437,60.002,-29.976
73096.331,297.984,0.855,14.881,94.624,94.786,-13.296,-9.475,-8.018,-5.950,-4.966,-10.069,-9.718,-9.739,-8.038,-5.315,-2.742,-9.983,-2.614,-4.493,-7.773,-9.569,0.000,30.583,19.999,-2.437,60.002,-29.955
73084.237,297.979,0.854,14.883,94.624,94.786,-13.512,-9.363,-7.590,-6.054,-4.103,-10.276,-10.465,-9.846,-9.266,-5.627,-2.742,-10.514,-3.032,-4.389,-6.841,-10.132,0.000,30.486,20.009,-2.435,60.002,-29.976
73088.268,297.984,0.854,14.876,94.545,94.786,-13.512,-9.029,-8.018,-6.576,-3.995,-9.965,-10.572,-9.311,-8.149,-6.253,-3.058,-10.301,-3.032,-4.911,-6.841,-9.344,0.000,30.506,19.989,-2.436,59.986,-29.987
73080.205,297.981,0.854,14.871,94.466,94.786,-13.620,-9.029,-7.483,-6.889,-4.426,-9.653,-10.359,-9.739,-8.038,-5.627,-2.953,-10.089,-2.300,-5.538,-6.944,-10.020,0.000,30.448,19.979,-2.434,60.002,-29.976
73088.268,297.984,0.854,14.876,94.545,94.626,-13.404,-8.918,-7.483,-6.263,-4.426,-10.069,-9.718,-10.167,-8.149,-5.523,-2.847,-9.983,-2.614,-4.702,-7.670,-9.457,0.000,30.390,19.968,-2.433,59.986,-29.987
73088.268,297.984,0.854,14.870,94.466,94.946,-13.296,-9.586,-8.232,-6.367,-4.210,-9.861,-10.359,-9.632,-9.266,-5.523,-2.742,-11.151,-3.241,-4.807,-7.255,-9.344,0.000,30.352,19.948,-2.432,60.002,-29.966
73084.237,297.984,0.854,14.883,94.624,94.786,-13.512,-8.249,-8.552,-6.576,-4.750,-9.965,-10.252,-9.632,-7.703,-6.044,-2.953,-10.089,-3.241,-4.911,-6.530,-9.569,0.000,30.275,19.928,-2.432,60.002,-29.987
