%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72749.634,297.868,0.851,14.613,90.843,89.489,-9.080,-4.347,-3.314,-1.879,-1.619,-6.122,-6.193,-7.599,-4.354,-1.146,1.056,-5.947,1.256,-0.627,-3.420,-5.066,0.000,-6.839,25.737,-0.431,-90.006,-149.602
72749.634,297.868,0.851,14.613,90.843,89.649,-8.215,-5.574,-3.421,-2.192,-1.619,-5.500,-6.193,-5.993,-4.577,-1.042,1.056,-6.053,1.675,0.209,-2.695,-5.516,0.000,-6.839,25.727,-0.426,-90.006,-149.592
72741.571,297.869,0.851,14.620,90.922,89.649,-8.756,-4.459,-3.741,-1.983,-0.972,-6.330,-6.407,-6.207,-3.572,-1.459,0.951,-5.310,0.733,0.000,-2.902,-5.516,0.000,-6.839,25.717,-0.424,-90.054,-149.592
72745.602,297.866,0.851,14.613,90.843,89.169,-8.648,-4.013,-2.993,-2.610,-1.295,-5.292,-7.154,-6.100,-3.461,-1.146,1.056,-6.160,1.780,-0.522,-2.591,-4.616,0.000,-6.877,25.717,-0.422,-90.022,-149.602
72749.634,297.869,0.851,14.613,90.843,89.329,-9.296,-4.905,-3.100,-2.818,-1.187,-5.604,-6.086,-7.385,-3.796,-0.938,1.162,-5.629,1.361,-0.209,-3.213,-5.742,0.000,-6.877,25.717,-0.420,-90.006,-149.613
72745.602,297.869,0.851,14.620,90.922,89.329,-8.324,-5.574,-2.993,-2.296,-0.972,-5.811,-6.193,-6.421,-4.800,-1.042,1.162,-6.691,2.199,-0.313,-2.798,-5.291,0.000,-6.897,25.737,-0.419,-90.006,-149.613
72745.602,297.869,0.851,14.620,90.922,89.489,-8.756,-4.459,-3.634,-2.401,-0.648,-6.226,-5.979,-6.100,-3.014,-0.938,1.479,-5.416,0.733,0.000,-2.591,-5.854,0.000,-6.935,25.737,-0.416,-90.006,-149.581
72745.602,297.866,0.851,14.620,90.922,89.489,-8.648,-4.347,-3.100,-2.192,-1.403,-5.500,-7.261,-5.886,-3.684,-1.355,1.479,-6.160,1.152,-0.313,-2.798,-5.291,0.000,-6.954,25.717,-0.415,-90.006,-149.592
72749.634,297.869,0.851,14.607,90.764,89.169,-8.972,-4.682,-3.207,-2.401,-1.619,-5.915,-6.086,-6.743,-4.018,-0.729,0.739,-5.310,1.780,-0.522,-2.798,-5.516,0.000,-6.993,25.727,-0.413,-90.038,-149.581
72745.602,297.868,0.851,14.613,90.843,89.169,-8.756,-5.351,-3.421,-2.088,-1.511,-5.500,-6.086,-6.421,-3.349,-0.625,2.007,-6.584,1.570,-0.209,-3.006,-4.954,0.000,-7.012,25.737,-0.411,-90.022,-149.602
72741.571,297.868,0.851,14.620,90.922,89.329,-8.648,-4.236,-3.421,-2.192,-0.864,-6.226,-6.300,-6.636,-4.130,-1.355,0.739,-5.629,0.942,-0.313,-2.798,-5.967,0.000,-7.070,25.747,-0.410,-89.989,-149.602
72745.602,297.871,0.851,14.607,90.764,89.489,-8.864,-4.682,-3.421,-2.505,-1.079,-5.604,-6.727,-6.314,-3.460,-1.563,1.584,-5.734,1.466,-0.731,-2.591,-4.728,0.000,-7.089,25.717,-0.409,-90.022,-149.592
72745.602,297.868,0.851,14.607,90.764,89.169,-9.405,-4.793,-3.527,-2.818,-1.079,-5.707,-6.193,-6.850,-3.907,-0.521,0.634,-5.946,1.152,-1.149,-2.695,-4.954,0.000,-7.108,25.727,-0.408,-90.022,-149.581
72745.602,297.869,0.851,14.620,90.922,89.329,-8.864,-5.574,-3.314,-2.818,-1.619,-5.085,-6.086,-6.421,-3.572,-1.042,1.584,-6.477,0.942,-0.313,-3.213,-5.516,0.000,-7.166,25.717,-0.407,-90.038,-149.592
72745.602,297.869,0.851,14.613,90.843,89.649,-9.080,-4.682,-3.207,-2.818,-1.187,-7.056,-6.300,-6.314,-4.353,-0.625,1.479,-6.265,1.361,-0.522,-2.591,-6.079,0.000,-7.224,25.737,-0.407,-90.038,-149.602
72745.602,297.868,0.851,14.613,90.843,89.009,-8.648,-3.901,-3.421,-2.610,-0.972,-4.981,-6.300,-6.636,-3.237,-1.563,1.479,-6.053,1.152,-0.522,-3.006,-5.065,0.000,-7.262,25.727,-0.407,-90.038,-149.592
72745.602,297.868,0.851,14.607,90.764,89.169,-9.405,-5.351,-2.779,-3.131,-1.835,-5.707,-6.407,-6.421,-3.907,-0.625,0.845,-6.159,1.047,-1.149,-2.798,-5.178,0.000,-7.301,25.737,-0.407,-90.038,-149.602
72749.634,297.868,0.851,14.600,90.685,89.009,-8.107,-4.905,-3.421,-2.401,-1.187,-5.604,-6.407,-6.636,-3.572,-0.729,1.268,-6.371,1.047,-0.522,-3.524,-4.840,0.000,-7.320,25.717,-0.407,-90.038,-149.581
72741.571,297.868,0.851,14.614,90.843,89.169,-8.756,-5.351,-3.848,-2.505,-1.187,-5.707,-6.620,-5.993,-4.018,-1.355,1.373,-6.053,1.466,0.000,-2.902,-5.741,0.000,-7.378,25.727,-0.408,-90.038,-149.602
72749.634,297.869,0.851,14.613,90.843,89.169,-8.972,-4.347,-3.421,-2.192,-0.972,-5.707,-6.193,-6.528,-2.567,-1.459,1.479,-5.734,1.361,-0.522,-2.384,-5.291,0.000,-7.455,25.717,-0.409,-90.022,-149.613
72741.571,297.869,0.851,14.601,90.685,89.489,-8.972,-4.570,-3.314,-3.027,-1.187,-5.915,-5.979,-6.421,-3.683,-0.729,0.739,-5.734,0.942,-1.045,-2.798,-5.403,0.000,-7.474,25.747,-0.409,-90.038,-149.602
