%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73979.2,298.014,0.865,25.11,272.633,269.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.831,17.633,-0.009,27.975,-9.016
73979.2,298.016,0.865,25.117,272.791,269.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.85,17.633,-0.011,27.991,-9.027
73979.2,298.014,0.865,25.121,272.87,269.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.831,17.673,-0.014,27.975,-8.995
73987.263,298.013,0.865,25.109,272.633,269.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.85,17.694,-0.016,28.008,-9.016
73983.232,298.011,0.865,25.109,272.633,269.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.812,17.724,-0.018,27.991,-9.016
73975.169,298.013,0.865,25.111,272.633,269.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.812,17.755,-0.02,28.008,-9.027
73979.2,298.014,0.865,25.106,272.554,269.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.812,17.775,-0.024,27.975,-9.038
73987.263,298.014,0.865,25.112,272.712,269.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.793,17.816,-0.026,27.991,-9.016
73983.232,298.014,0.865,25.106,272.554,269.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.793,17.856,-0.029,27.991,-9.005
73987.263,298.013,0.865,25.105,272.554,269.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.85,17.887,-0.03,27.991,-9.016
73975.169,298.016,0.865,25.1,272.396,269.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.831,17.917,-0.032,28.008,-9.016
73979.2,298.011,0.865,25.103,272.475,269.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.812,17.927,-0.033,27.991,-9.027
73991.294,298.011,0.865,25.104,272.554,269.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.812,17.978,-0.036,28.008,-9.016
73991.294,298.016,0.865,25.104,272.554,268.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.831,17.978,-0.037,27.991,-9.027
73991.294,298.014,0.865,25.108,272.633,269.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.831,18.029,-0.039,27.991,-9.038
73987.263,298.018,0.865,25.098,272.396,269.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.87,18.039,-0.04,27.991,-9.027
73987.263,298.014,0.865,25.101,272.475,269.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.831,18.049,-0.041,27.959,-9.016
73987.263,298.014,0.865,25.098,272.396,269.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.87,18.08,-0.042,28.024,-9.016
73991.294,298.016,0.865,25.093,272.317,269.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.85,18.1,-0.044,27.975,-9.005
73987.263,298.014,0.865,25.098,272.396,269.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.87,18.12,-0.044,27.975,-9.016
