%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
74003.388,298.055,0.865,14.88,95.764,94.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.214,16.79,-0.729,-180.102,-16.033
74007.42,298.053,0.865,14.886,95.843,94.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.233,16.83,-0.733,-180.102,-16.033
74011.451,298.055,0.865,14.88,95.764,94.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.214,16.851,-0.736,-180.118,-16.044
74003.388,298.055,0.865,14.88,95.764,94.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.195,16.861,-0.74,-180.118,-16.055
73999.357,298.052,0.865,14.881,95.764,94.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.233,16.891,-0.744,-180.086,-16.044
74003.388,298.055,0.865,14.893,95.922,94.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.195,16.922,-0.747,-180.102,-16.033
74003.388,298.056,0.865,14.887,95.843,94.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.156,16.902,-0.749,-180.102,-16.023
74007.42,298.053,0.865,14.886,95.843,94.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.156,16.932,-0.753,-180.086,-16.023
74011.451,298.055,0.865,14.892,95.922,94.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.156,16.942,-0.755,-180.135,-16.023
74003.388,298.055,0.865,14.893,95.922,94.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.099,16.942,-0.758,-180.102,-16.023
74003.388,298.056,0.865,14.893,95.922,94.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.099,16.952,-0.76,-180.118,-16.023
74007.42,298.055,0.865,14.886,95.843,94.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.079,16.942,-0.763,-180.102,-16.033
73999.357,298.053,0.865,14.869,95.606,94.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.041,16.942,-0.764,-180.102,-16.044
74003.388,298.056,0.865,14.893,95.922,94.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.022,16.952,-0.766,-180.102,-16.033
74003.388,298.053,0.865,14.874,95.685,94.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.022,16.952,-0.767,-180.102,-16.033
74007.42,298.055,0.865,14.892,95.922,94.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.964,16.922,-0.768,-180.07,-16.044
74003.388,298.053,0.865,14.874,95.685,94.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.926,16.922,-0.769,-180.102,-16.044
74007.42,298.056,0.865,14.88,95.764,93.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.945,16.922,-0.769,-180.102,-16.044
74003.388,298.055,0.865,14.874,95.685,94.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.926,16.902,-0.77,-180.118,-16.044
73999.357,298.055,0.865,14.875,95.685,93.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.945,16.891,-0.771,-180.086,-16.044
