%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73023.766,298.179,0.853,15.02,96.239,93.875,-10.918,-7.134,-5.238,-3.862,-3.455,-7.784,-7.796,-7.706,-6.028,-2.814,-0.422,-8.179,-0.627,-2.09,-5.079,-6.867,0,42.021,-18.051,-0.264,18.115,-14.092
73023.766,298.179,0.853,15.014,96.16,93.875,-11.026,-7.468,-5.665,-4.28,-1.943,-8.303,-7.369,-7.385,-6.14,-3.543,-0.527,-7.647,-0.314,-2.09,-4.353,-6.755,0,42.021,-17.97,-0.265,18.115,-14.103
73019.735,298.174,0.853,15.014,96.16,93.715,-11.134,-6.354,-5.772,-3.862,-2.051,-7.369,-8.33,-8.241,-5.917,-4.168,-0.422,-7.541,-0.523,-2.717,-4.249,-6.755,0,42.079,-17.919,-0.265,18.131,-14.103
73023.766,298.179,0.853,15.02,96.239,93.875,-11.458,-7.246,-5.024,-4.593,-2.159,-7.369,-7.582,-7.492,-6.14,-2.814,-1.371,-7.329,-0.314,-2.508,-4.457,-6.755,0,42.117,-17.827,-0.265,18.115,-14.103
73027.798,298.177,0.853,15.026,96.318,93.875,-10.485,-6.688,-5.344,-3.862,-3.239,-7.576,-7.903,-7.813,-5.805,-2.918,-0.105,-7.754,-0.209,-2.09,-5.182,-6.304,0,42.137,-17.787,-0.266,18.082,-14.092
73031.829,298.182,0.853,15.019,96.239,93.875,-10.269,-6.354,-5.131,-4.071,-1.727,-7.472,-6.941,-7.492,-6.251,-3.23,-0.527,-7.647,-0.314,-1.985,-4.664,-7.543,0,42.175,-17.695,-0.265,18.098,-14.103
73027.798,298.177,0.853,15.014,96.16,93.715,-11.134,-6.688,-5.024,-3.758,-2.159,-7.161,-7.901,-7.599,-5.358,-3.23,0,-7.647,-0.105,-2.09,-4.146,-6.304,0,42.175,-17.634,-0.264,18.131,-14.092
73019.735,298.179,0.853,15.027,96.318,93.715,-11.674,-6.465,-5.024,-4.28,-2.375,-7.265,-7.795,-8.027,-5.805,-3.022,-1.055,-7.435,-0.209,-2.717,-4.664,-6.417,0,42.175,-17.553,-0.263,18.115,-14.092
73019.735,298.179,0.853,15.014,96.16,93.554,-10.269,-6.465,-5.131,-3.549,-2.591,-7.369,-7.688,-8.134,-6.252,-2.605,0.423,-7.116,0,-1.985,-4.768,-7.093,0,42.194,-17.472,-0.263,18.115,-14.092
73031.829,298.176,0.853,15.013,96.16,94.035,-10.593,-6.577,-5.238,-3.549,-2.159,-8.303,-7.474,-7.599,-6.028,-2.918,-0.316,-7.01,-0.105,-2.821,-4.249,-7.543,0,42.233,-17.38,-0.262,18.115,-14.092
73027.798,298.179,0.853,15.014,96.16,93.554,-11.134,-6.688,-5.772,-3.34,-2.159,-7.472,-7.795,-8.027,-5.247,-3.543,-0.633,-7.541,-0.627,-1.985,-4.56,-6.53,0,42.252,-17.319,-0.26,18.082,-14.081
73027.798,298.182,0.853,15.014,96.16,93.554,-11.35,-6.688,-4.81,-4.488,-2.159,-7.265,-7.474,-8.027,-5.582,-2.397,-1.16,-7.54,0,-2.717,-4.664,-6.642,0,42.271,-17.208,-0.259,18.115,-14.092
73027.798,298.181,0.853,15.014,96.16,93.554,-11.242,-6.688,-4.81,-3.862,-2.807,-7.472,-7.474,-8.241,-5.693,-2.814,-0.316,-7.859,-0.418,-2.194,-4.664,-6.755,0,42.291,-17.147,-0.257,18.131,-14.103
73031.829,298.179,0.853,15.026,96.318,93.554,-11.026,-6.465,-5.344,-4.071,-2.159,-7.888,-8.008,-7.599,-6.363,-2.709,-0.738,-7.434,-1.045,-2.821,-4.664,-7.093,0,42.291,-17.055,-0.255,18.115,-14.103
