%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73394.652,298.052,0.858,14.823,94.248,93.259,-13.838,-7.246,-5.560,-5.012,-2.807,-9.032,-7.902,-8.029,-6.587,-4.065,-1.266,-8.073,-2.509,-4.494,-4.872,-7.207,0.000,-39.245,3.045,-0.339,-176.995,-15.107
73394.652,298.052,0.858,14.836,94.406,93.419,-13.406,-7.804,-6.415,-4.281,-3.887,-9.758,-8.116,-8.243,-7.034,-4.274,-0.949,-8.711,-2.509,-3.553,-5.494,-7.320,0.000,-39.226,3.035,-0.343,-176.963,-15.086
73394.652,298.048,0.858,14.836,94.406,93.259,-13.514,-8.361,-6.308,-4.385,-2.591,-9.239,-8.863,-8.350,-7.704,-4.482,-0.949,-8.604,-1.986,-4.076,-5.286,-8.108,0.000,-39.207,2.974,-0.345,-176.995,-15.075
73386.589,298.048,0.858,14.830,94.327,93.419,-13.622,-6.689,-6.950,-4.594,-2.807,-8.824,-8.329,-8.457,-6.587,-4.795,-0.949,-7.967,-3.137,-3.867,-5.183,-8.108,0.000,-39.207,2.933,-0.347,-176.995,-15.097
73390.621,298.050,0.858,14.824,94.248,93.099,-13.946,-7.246,-5.987,-5.534,-3.347,-8.824,-9.077,-8.136,-6.922,-4.482,-0.949,-8.179,-1.882,-4.285,-4.872,-7.095,0.000,-39.168,2.882,-0.348,-176.979,-15.097
73386.589,298.052,0.858,14.824,94.248,93.579,-14.162,-7.804,-6.201,-4.490,-2.483,-9.239,-8.650,-8.671,-7.369,-3.648,-0.949,-7.648,-2.823,-3.867,-4.975,-7.320,0.000,-39.188,2.832,-0.349,-176.979,-15.086
73394.652,298.050,0.858,14.823,94.248,93.099,-13.189,-8.250,-6.629,-4.594,-3.131,-9.447,-8.756,-8.457,-7.592,-4.378,-0.527,-8.286,-2.196,-3.762,-5.183,-7.320,0.000,-39.149,2.791,-0.351,-176.963,-15.086
73394.652,298.052,0.858,14.829,94.327,93.259,-13.838,-7.023,-6.629,-4.698,-2.591,-9.758,-8.650,-8.136,-6.922,-4.378,-1.266,-8.498,-2.614,-4.389,-4.768,-7.883,0.000,-39.111,2.730,-0.352,-176.963,-15.075
73390.621,298.052,0.858,14.830,94.327,92.939,-14.379,-7.469,-6.522,-4.072,-3.671,-9.135,-8.970,-8.136,-6.699,-5.316,-0.422,-7.967,-2.091,-4.285,-5.494,-7.207,0.000,-39.111,2.699,-0.352,-176.995,-15.086
73390.621,298.052,0.858,14.817,94.169,93.259,-14.270,-7.804,-5.987,-5.429,-3.671,-9.135,-8.543,-8.243,-6.587,-4.169,-1.266,-8.498,-2.614,-4.494,-4.975,-7.545,0.000,-39.111,2.659,-0.353,-176.979,-15.107
