%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73664.754,297.592,0.862,25.05,270.568,190.227,-11.997,-7.914,-6.734,-4.802,-3.131,-8.407,-8.328,-8.348,-7.368,-3.855,-0.949,-8.496,-1.15,-3.239,-5.597,-8.556,0,28.837,6.932,-1.562,59.687,-10.148
73668.785,297.59,0.862,25.05,270.568,190.548,-11.781,-7.246,-6.948,-5.22,-3.347,-8.614,-8.649,-9.097,-6.363,-5.314,-1.687,-9.133,-1.673,-3.135,-5.597,-7.881,0,28.837,6.902,-1.561,59.72,-10.137
73668.785,297.592,0.862,25.042,270.41,190.708,-12.537,-7.468,-5.665,-5.846,-3.239,-7.784,-8.435,-8.241,-6.586,-3.438,-2.003,-8.496,-1.359,-3.971,-5.493,-7.993,0,28.857,6.861,-1.558,59.703,-10.127
73664.754,297.59,0.862,25.043,270.41,190.868,-11.889,-8.137,-6.627,-5.115,-3.671,-8.614,-8.862,-8.562,-6.921,-3.334,-1.476,-8.602,-1.15,-2.821,-6.011,-7.881,0,28.818,6.81,-1.557,59.687,-10.137
73664.754,297.59,0.862,25.047,270.489,191.348,-11.348,-7.914,-5.879,-4.802,-2.483,-8.614,-8.542,-8.241,-7.703,-3.751,-1.371,-9.027,-0.941,-3.657,-5.286,-8.894,0,28.818,6.81,-1.556,59.687,-10.137
73664.754,297.589,0.862,25.05,270.568,191.508,-12.213,-7.357,-6.627,-5.115,-3.455,-8.614,-8.862,-8.562,-6.475,-4.689,-1.687,-8.815,-1.045,-4.075,-6.011,-8.218,0,28.799,6.759,-1.554,59.687,-10.137
73668.785,297.589,0.862,25.046,270.489,191.188,-12.537,-7.58,-6.307,-5.846,-3.347,-8.51,-9.183,-8.562,-6.921,-3.647,-2.32,-9.239,-1.254,-4.493,-5.7,-7.656,0,28.76,6.729,-1.554,59.687,-10.137
73672.816,297.592,0.862,25.045,270.489,191.668,-12.213,-7.691,-6.627,-4.802,-3.671,-8.303,-8.328,-8.776,-7.033,-3.647,-0.949,-8.921,-1.673,-2.612,-5.804,-7.43,0,28.76,6.688,-1.553,59.687,-10.148
73664.754,297.59,0.862,25.039,270.331,191.668,-11.348,-7.357,-6.2,-4.594,-2.915,-8.614,-8.435,-8.134,-7.255,-3.959,-0.738,-9.027,-1.045,-3.553,-5.39,-8.669,0,28.703,6.637,-1.551,59.687,-10.137
73668.785,297.59,0.862,25.05,270.568,191.828,-11.457,-7.023,-6.948,-5.011,-3.023,-8.199,-9.183,-9.204,-6.251,-4.689,-1.371,-8.815,-1.986,-3.657,-5.597,-7.881,0,28.722,6.617,-1.549,59.687,-10.137
