%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72749.634,298.229,0.850,25.057,266.779,265.933,-13.836,-7.914,-6.627,-5.532,-3.131,-9.134,-8.543,-8.776,-7.256,-4.585,-1.582,-8.072,-2.718,-4.598,-5.182,-7.881,0.000,18.570,27.645,-1.201,-89.822,-47.511
72753.665,298.227,0.850,25.041,266.463,265.613,-13.836,-8.249,-6.520,-4.071,-3.347,-9.238,-7.902,-8.027,-6.810,-3.960,-0.316,-8.391,-2.509,-3.866,-5.389,-7.430,0.000,18.493,27.666,-1.203,-89.822,-47.521
72753.665,298.231,0.850,25.045,266.542,265.933,-13.728,-8.472,-6.093,-4.384,-3.131,-9.965,-8.330,-8.669,-7.368,-3.856,-0.949,-7.966,-2.405,-4.389,-4.560,-7.655,0.000,18.416,27.645,-1.204,-89.838,-47.511
72745.602,298.227,0.850,25.047,266.542,265.933,-13.404,-7.357,-6.200,-4.280,-2.483,-8.615,-7.689,-7.920,-6.251,-4.689,-0.527,-7.754,-2.718,-3.866,-5.079,-7.430,0.000,18.320,27.655,-1.207,-89.838,-47.521
72753.665,298.229,0.850,25.045,266.542,266.414,-13.944,-7.803,-6.306,-5.845,-3.563,-9.342,-8.223,-8.241,-7.591,-3.751,-1.476,-8.072,-2.823,-4.702,-5.493,-7.430,0.000,18.262,27.655,-1.209,-89.822,-47.511
72749.634,298.226,0.850,25.053,266.700,266.094,-13.836,-8.026,-6.520,-3.758,-3.671,-8.719,-7.582,-8.562,-6.698,-4.273,0.000,-7.860,-2.091,-3.866,-5.493,-7.093,0.000,18.185,27.645,-1.213,-89.838,-47.521
72749.634,298.227,0.850,25.050,266.621,265.933,-13.404,-7.468,-6.093,-4.175,-2.591,-9.134,-8.330,-7.492,-6.698,-4.377,-0.949,-7.754,-2.509,-3.762,-5.182,-7.881,0.000,18.127,27.666,-1.216,-89.806,-47.511
72745.602,298.227,0.850,25.061,266.858,265.773,-14.053,-7.134,-7.055,-4.593,-3.239,-8.408,-8.330,-8.027,-6.586,-4.898,-0.738,-8.179,-3.241,-4.389,-5.079,-7.993,0.000,18.089,27.655,-1.220,-89.822,-47.511
72757.696,298.226,0.850,25.055,266.779,265.933,-14.485,-8.137,-7.162,-5.637,-3.347,-9.031,-8.864,-8.455,-7.591,-4.377,-2.214,-8.391,-2.823,-5.016,-5.286,-7.430,0.000,18.012,27.676,-1.224,-89.838,-47.521
72749.634,298.229,0.850,25.053,266.700,265.773,-14.053,-8.026,-5.986,-4.175,-3.779,-9.134,-7.689,-8.776,-7.256,-3.855,-0.738,-8.603,-3.241,-3.448,-5.700,-7.768,0.000,17.935,27.696,-1.230,-89.822,-47.511
