%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73007.641,297.632,0.855,14.968,95.729,94.892,-9.296,-5.796,-3.314,-2.61,-1.943,-5.813,-6.728,-6.637,-4.242,-1.876,1.479,-6.479,0.524,-0.731,-3.732,-5.179,0,87.569,-0.51,-0.571,-102.683,-26.961
73015.704,297.629,0.855,14.961,95.65,95.212,-8.864,-5.573,-3.742,-2.923,-1.619,-6.851,-5.98,-6.744,-4.688,-1.876,1.057,-6.054,0.524,-1.254,-3.213,-6.193,0,87.531,-0.449,-0.573,-102.716,-26.94
73011.672,297.632,0.855,14.962,95.65,95.052,-9.08,-4.236,-3.849,-2.505,-1.188,-5.294,-6.194,-6.53,-3.684,-1.876,1.162,-5.735,0.628,-0.627,-3.317,-4.842,0,87.512,-0.408,-0.575,-102.699,-26.972
73011.672,297.631,0.855,14.962,95.65,94.572,-9.404,-5.685,-3.207,-3.549,-1.403,-6.332,-6.301,-6.423,-4.465,-0.834,-0.105,-6.16,0.942,-1.045,-3.006,-5.179,0,87.512,-0.388,-0.577,-102.732,-26.972
73015.704,297.631,0.855,14.967,95.729,94.732,-8.756,-5.239,-3.955,-2.819,-2.159,-5.916,-6.087,-7.28,-4.242,-1.459,1.057,-6.373,0.838,-0.731,-4.146,-5.517,0,87.492,-0.368,-0.579,-102.716,-26.961
73007.641,297.631,0.855,14.962,95.65,94.732,-8.756,-5.239,-3.742,-2.505,-0.756,-6.228,-6.087,-6.53,-5.582,-1.772,1.162,-6.585,1.152,-1.149,-3.006,-6.08,0,87.492,-0.347,-0.579,-102.683,-26.983
73011.672,297.629,0.855,14.968,95.729,94.892,-9.296,-5.239,-3.635,-2.505,-1.943,-6.02,-6.621,-7.173,-3.572,-2.606,0.845,-5.948,0.524,-1.567,-3.213,-5.179,0,87.512,-0.327,-0.58,-102.716,-26.972
73011.672,297.631,0.855,14.955,95.571,94.892,-9.729,-5.016,-3.207,-3.236,-1.08,-6.02,-6.301,-6.744,-4.465,-1.355,0.211,-6.798,1.047,-1.776,-3.421,-5.292,0,87.492,-0.347,-0.582,-102.699,-26.961
73007.641,297.631,0.855,14.956,95.571,94.892,-9.188,-5.462,-3.314,-2.401,-1.835,-6.124,-6.407,-6.53,-4.019,-1.146,1.162,-6.691,0.628,-0.94,-4.043,-5.855,0,87.569,-0.368,-0.583,-102.716,-26.961
73011.672,297.629,0.855,14.962,95.65,95.212,-9.296,-5.239,-3.528,-3.236,-0.864,-6.539,-6.301,-6.959,-5.023,-2.084,0.74,-6.798,0.838,-0.522,-3.213,-5.968,0,87.531,-0.357,-0.583,-102.716,-26.961
73015.704,297.631,0.855,14.967,95.729,95.212,-9.296,-5.239,-4.704,-2.819,-1.296,-6.124,-6.621,-6.959,-3.907,-2.814,0.951,-6.479,0.314,-1.463,-3.835,-5.855,0,87.627,-0.378,-0.583,-102.699,-26.994
73015.704,297.632,0.855,14.955,95.571,95.212,-9.404,-5.35,-3.207,-3.341,-1.511,-5.916,-6.941,-6.53,-3.684,-1.146,0.739,-6.267,1.047,-1.672,-3.006,-4.391,0,87.685,-0.378,-0.583,-102.699,-26.983
73007.641,297.632,0.855,14.968,95.729,94.892,-8.431,-5.128,-3.742,-2.505,-1.511,-6.02,-5.66,-7.173,-4.354,-1.25,1.162,-6.479,0.733,-0.627,-4.354,-5.292,0,87.723,-0.398,-0.581,-102.732,-26.983
73015.704,297.627,0.855,14.967,95.729,94.732,-9.404,-5.573,-3.849,-2.923,-0.432,-6.02,-6.407,-6.209,-5.247,-1.563,1.479,-6.585,0.733,-1.358,-3.006,-5.517,0,87.781,-0.449,-0.581,-102.716,-26.983
73007.641,297.629,0.855,14.968,95.729,94.892,-9.296,-4.124,-4.597,-2.505,-1.403,-5.813,-6.194,-6.209,-3.572,-1.355,0.528,-6.054,0.105,-0.731,-3.109,-5.517,0,87.877,-0.449,-0.58,-102.716,-26.983
73023.766,297.627,0.855,14.973,95.808,94.572,-9.512,-5.239,-3.528,-3.549,-1.511,-6.02,-6.301,-6.744,-3.907,-1.563,0.423,-6.904,0.733,-1.985,-3.731,-4.616,0,87.935,-0.479,-0.58,-102.699,-26.983
73015.704,297.631,0.855,14.967,95.729,94.892,-9.404,-5.128,-3.528,-2.61,-1.188,-5.916,-6.621,-7.601,-4.13,-1.146,0.528,-6.479,0.838,-1.358,-4.042,-5.516,0,87.993,-0.51,-0.578,-102.716,-26.961
73015.704,297.629,0.855,14.961,95.65,94.892,-9.404,-5.796,-3.955,-3.236,-1.188,-6.228,-6.834,-5.995,-5.023,-1.25,1.373,-6.479,0.628,-1.149,-3.006,-5.742,0,88.128,-0.53,-0.577,-102.683,-26.972
73019.735,297.631,0.855,14.961,95.65,94.892,-9.08,-4.682,-3.849,-2.819,-1.296,-6.435,-6.194,-6.851,-4.465,-2.084,0.423,-6.16,-0.105,-1.045,-3.628,-5.516,0,88.166,-0.571,-0.575,-102.699,-26.983
