%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73882.447,296.742,0.867,14.636,92.895,91.698,-9.620,-5.239,-5.025,-4.176,-1.943,-7.785,-7.582,-7.277,-5.582,-2.501,-0.211,-7.647,-0.627,-2.090,-4.457,-7.318,0.000,46.830,-29.450,-1.330,-102.724,-40.118
73894.542,296.742,0.868,14.634,92.895,91.858,-10.485,-5.462,-5.025,-3.967,-1.943,-6.020,-8.223,-7.706,-5.247,-3.126,-0.633,-7.435,0.733,-2.613,-4.975,-6.304,0.000,46.888,-29.419,-1.331,-102.708,-40.140
73894.542,296.739,0.868,14.640,92.974,92.018,-10.485,-7.134,-5.025,-4.593,-2.699,-7.370,-7.048,-7.920,-5.136,-2.397,-1.793,-7.541,-0.209,-2.299,-4.457,-6.642,0.000,46.849,-29.378,-1.332,-102.691,-40.140
73890.510,296.741,0.867,14.641,92.974,91.858,-9.404,-6.577,-5.025,-3.967,-2.807,-7.266,-7.796,-7.813,-5.247,-2.709,0.634,-8.178,0.314,-1.150,-4.871,-6.417,0.000,46.868,-29.317,-1.333,-102.724,-40.140
73886.479,296.742,0.867,14.641,92.974,91.858,-9.945,-5.908,-4.384,-3.549,-2.375,-7.058,-8.009,-7.384,-5.806,-2.293,0.106,-7.541,-0.105,-1.777,-4.560,-7.768,0.000,46.849,-29.256,-1.335,-102.708,-40.129
73886.479,296.742,0.867,14.635,92.895,91.698,-9.837,-6.354,-5.774,-3.758,-2.375,-6.747,-8.223,-7.384,-4.801,-3.543,-0.422,-7.754,-0.209,-2.195,-4.457,-6.755,0.000,46.811,-29.226,-1.338,-102.724,-40.129
73890.510,296.741,0.867,14.622,92.737,92.018,-10.269,-5.908,-4.491,-4.489,-2.699,-7.058,-8.223,-8.348,-5.694,-2.814,-1.266,-7.966,0.000,-3.031,-4.664,-6.304,0.000,46.772,-29.155,-1.340,-102.708,-40.150
73894.542,296.741,0.868,14.628,92.816,91.698,-10.485,-5.908,-4.384,-3.341,-2.807,-6.851,-7.689,-8.029,-5.247,-1.980,-0.105,-7.223,0.209,-1.881,-5.078,-7.205,0.000,46.734,-29.094,-1.343,-102.691,-40.140
73890.510,296.741,0.867,14.622,92.737,91.858,-9.945,-6.465,-4.384,-3.967,-2.051,-6.643,-8.436,-7.280,-6.140,-3.022,-0.527,-8.072,0.419,-2.299,-4.353,-6.867,0.000,46.676,-29.023,-1.345,-102.724,-40.150
73890.510,296.744,0.867,14.629,92.816,91.698,-10.377,-5.908,-5.667,-3.654,-1.835,-7.162,-7.475,-7.280,-4.800,-3.022,-0.316,-8.072,-0.627,-2.195,-4.871,-6.530,0.000,46.657,-28.962,-1.348,-102.691,-40.129
73898.573,296.741,0.868,14.634,92.895,91.858,-10.161,-5.908,-4.598,-4.071,-2.051,-6.851,-8.223,-7.173,-5.470,-2.501,-0.105,-7.541,1.047,-2.926,-4.249,-6.192,0.000,46.599,-28.881,-1.351,-102.724,-40.150
73898.573,296.741,0.868,14.634,92.895,92.018,-10.161,-5.685,-5.025,-3.445,-2.591,-7.058,-7.262,-8.671,-5.247,-2.293,-0.211,-7.860,0.209,-2.299,-4.871,-6.642,0.000,46.541,-28.799,-1.355,-102.724,-40.118
73890.510,296.741,0.867,14.628,92.816,91.698,-9.620,-7.691,-4.918,-4.071,-2.159,-6.851,-7.689,-7.494,-5.470,-2.397,-0.105,-8.922,0.105,-1.777,-4.664,-7.205,0.000,46.503,-28.718,-1.359,-102.724,-40.118
73894.542,296.741,0.868,14.622,92.737,91.858,-9.837,-6.019,-5.560,-4.176,-2.375,-7.370,-8.223,-7.280,-4.800,-2.397,0.106,-7.435,0.000,-2.090,-4.664,-7.318,0.000,46.445,-28.637,-1.362,-102.740,-40.118
73890.510,296.737,0.867,14.616,92.658,92.018,-10.053,-6.019,-4.384,-4.385,-2.267,-7.058,-7.796,-7.494,-5.247,-2.814,-0.527,-7.541,0.000,-2.612,-4.768,-6.755,0.000,46.387,-28.555,-1.365,-102.708,-40.129
73890.510,296.742,0.867,14.635,92.895,92.018,-11.134,-6.465,-4.705,-4.280,-2.267,-7.058,-7.475,-7.708,-5.470,-2.501,-1.371,-7.541,0.105,-2.403,-4.042,-6.417,0.000,46.349,-28.494,-1.368,-102.708,-40.150
73886.479,296.742,0.867,14.616,92.658,91.858,-9.512,-6.911,-5.132,-4.071,-2.699,-7.162,-7.689,-7.173,-5.470,-2.084,-0.105,-8.179,-0.314,-2.299,-5.390,-6.530,0.000,46.329,-28.413,-1.371,-102.691,-40.118
73894.542,296.741,0.868,14.622,92.737,91.858,-10.485,-6.354,-5.560,-4.698,-2.159,-7.992,-8.116,-7.494,-5.135,-2.814,-0.316,-7.754,0.314,-2.090,-4.560,-7.430,0.000,46.291,-28.332,-1.374,-102.724,-40.129
