%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73132.613,297.229,0.857,14.839,94.372,90.994,-9.945,-5.016,-3.741,-2.818,-1.188,-5.708,-5.873,-6.742,-4.019,-1.146,1.162,-5.842,0.523,-1.045,-3.006,-5.404,0.000,-6.785,42.570,-0.055,59.990,20.118
73140.676,297.231,0.857,14.826,94.214,91.314,-8.648,-6.242,-3.741,-2.818,-1.727,-6.331,-6.087,-6.528,-4.689,-1.876,1.268,-7.116,0.314,-1.045,-3.420,-5.179,0.000,-6.823,42.529,-0.053,60.006,20.129
73136.645,297.228,0.857,14.839,94.372,91.154,-8.972,-4.905,-3.634,-2.401,-1.403,-6.435,-5.767,-6.635,-4.242,-1.459,1.162,-6.373,-0.209,-1.567,-3.524,-6.192,0.000,-6.862,42.509,-0.051,59.974,20.118
73128.582,297.231,0.857,14.827,94.214,91.154,-9.729,-5.239,-3.741,-2.818,-1.727,-6.227,-6.835,-6.207,-4.019,-1.980,0.528,-6.160,0.733,-1.463,-3.628,-5.516,0.000,-6.881,42.448,-0.048,59.974,20.097
73136.645,297.229,0.857,14.839,94.372,90.994,-10.161,-5.462,-4.276,-3.027,-1.835,-6.227,-6.407,-7.599,-4.689,-1.250,0.211,-7.010,0.209,-1.045,-3.731,-5.291,0.000,-6.939,42.417,-0.046,59.957,20.129
73148.739,297.229,0.857,14.837,94.372,90.994,-9.513,-5.908,-3.848,-2.401,-1.404,-6.123,-6.087,-6.742,-4.577,-2.188,0.739,-7.010,0.105,-1.463,-3.835,-5.854,0.000,-6.958,42.387,-0.043,59.990,20.129
73136.645,297.226,0.857,14.845,94.451,91.154,-9.945,-5.128,-4.703,-2.923,-1.296,-7.057,-6.513,-6.635,-4.465,-2.188,0.317,-6.054,-0.105,-1.149,-3.628,-5.516,0.000,-6.977,42.366,-0.039,59.974,20.108
73144.707,297.229,0.857,14.838,94.372,91.475,-9.296,-5.016,-3.634,-3.236,-1.727,-6.435,-6.940,-6.742,-4.912,-2.501,0.423,-6.798,0.942,-1.567,-3.524,-5.629,0.000,-6.996,42.316,-0.035,59.990,20.118
73132.613,297.229,0.857,14.845,94.451,90.994,-9.837,-5.239,-3.634,-2.401,-0.648,-6.123,-5.979,-7.171,-4.465,-2.084,0.211,-6.373,0.314,-1.358,-3.835,-5.854,0.000,-6.996,42.265,-0.032,59.990,20.118
73140.676,297.229,0.857,14.844,94.451,90.994,-9.188,-6.465,-4.382,-2.610,-1.619,-6.331,-6.193,-6.207,-4.800,-1.772,1.056,-6.904,0.523,-1.254,-3.835,-5.179,0.000,-7.035,42.224,-0.029,59.990,20.118
