%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73076.174,297.244,0.856,24.916,265.838,264.208,-9.296,-5.462,-3.849,-2.088,-1.619,-5.917,-6.514,-7.277,-4.466,-1.042,1.268,-6.691,0.628,-0.627,-4.560,-5.629,0.000,-64.567,18.922,-0.890,-0.027,22.004
73076.174,297.245,0.856,24.916,265.838,263.888,-9.837,-6.242,-4.062,-2.610,-1.403,-6.643,-6.621,-6.635,-5.694,-1.667,0.951,-6.904,0.942,-1.568,-3.731,-6.530,0.000,-64.625,18.943,-0.892,0.006,22.015
73080.205,297.245,0.856,24.915,265.838,264.368,-10.269,-5.128,-4.597,-3.341,-1.296,-6.332,-6.514,-7.384,-4.354,-3.335,1.056,-6.373,0.105,-1.359,-3.524,-5.516,0.000,-64.702,18.963,-0.894,-0.010,22.015
73076.174,297.244,0.856,24.908,265.680,264.208,-9.404,-5.239,-3.207,-3.654,-1.403,-6.436,-6.835,-7.491,-4.801,-1.772,0.106,-6.691,1.152,-2.299,-3.835,-5.854,0.000,-64.721,18.994,-0.897,-0.010,22.004
73076.174,297.242,0.856,24.908,265.680,264.208,-9.945,-5.796,-4.383,-3.549,-2.267,-6.539,-6.407,-8.134,-4.913,-2.084,0.317,-6.691,0.419,-0.941,-4.560,-5.854,0.000,-64.798,19.034,-0.900,0.006,22.015
73076.174,297.244,0.856,24.908,265.680,264.208,-9.945,-6.800,-3.849,-2.923,-1.835,-6.747,-7.262,-7.170,-5.806,-2.397,1.056,-7.010,0.314,-1.150,-3.731,-6.079,0.000,-64.798,19.065,-0.902,-0.010,22.004
73080.205,297.240,0.857,24.911,265.759,264.208,-9.512,-4.905,-4.169,-3.027,-2.159,-6.539,-6.301,-6.635,-4.243,-2.397,0.740,-6.054,-0.105,-1.150,-3.627,-6.079,0.000,-64.894,19.065,-0.904,-0.010,22.004
73084.237,297.245,0.857,24.899,265.522,264.208,-9.404,-5.573,-3.100,-3.236,-1.727,-6.124,-7.155,-6.742,-4.578,-2.084,0.528,-6.904,0.524,-2.404,-4.249,-6.192,0.000,-64.894,19.105,-0.906,0.039,21.994
73076.174,297.242,0.856,24.893,265.364,264.208,-9.512,-5.239,-4.062,-3.027,-1.727,-6.436,-6.621,-7.706,-4.912,-1.876,0.423,-7.223,0.105,-1.777,-4.146,-6.530,0.000,-64.971,19.126,-0.909,-0.010,22.004
73080.205,297.242,0.857,24.900,265.522,264.368,-9.837,-6.465,-4.597,-3.341,-1.727,-6.228,-6.835,-6.956,-4.912,-1.667,0.951,-6.798,1.257,-1.150,-3.627,-5.629,0.000,-64.991,19.146,-0.911,0.006,22.015
73080.205,297.242,0.857,24.893,265.364,264.368,-9.512,-4.905,-4.597,-2.819,-1.188,-6.851,-7.048,-6.956,-4.130,-1.980,0.317,-6.691,-0.627,-0.941,-3.524,-6.304,0.000,-65.029,19.156,-0.912,-0.010,22.015
73076.174,297.240,0.856,24.901,265.522,264.208,-9.404,-5.350,-3.742,-3.236,-1.943,-6.228,-7.155,-6.849,-4.465,-2.084,0.740,-6.478,0.942,-1.463,-3.731,-5.291,0.000,-65.048,19.187,-0.913,-0.010,22.004
73072.143,297.242,0.856,24.894,265.364,264.368,-10.485,-5.462,-3.742,-2.923,-1.943,-6.228,-6.301,-7.170,-5.135,-1.459,0.317,-6.160,0.314,-1.045,-3.627,-5.179,0.000,-65.106,19.176,-0.913,0.022,22.004
73076.174,297.244,0.856,24.893,265.364,264.368,-9.512,-6.465,-4.062,-2.714,-1.619,-6.332,-6.407,-6.421,-4.465,-1.250,1.268,-6.691,0.838,-0.731,-3.731,-4.953,0.000,-65.125,19.197,-0.915,0.006,22.015
73076.174,297.242,0.856,24.890,265.285,264.528,-8.864,-4.459,-4.062,-3.132,-0.972,-6.955,-6.407,-6.207,-4.242,-1.563,0.528,-6.053,0.524,-1.254,-3.628,-6.417,0.000,-65.164,19.197,-0.915,0.022,22.004
73076.174,297.240,0.856,24.889,265.285,264.208,-9.620,-5.128,-3.955,-3.341,-1.727,-6.332,-7.902,-7.277,-4.577,-2.709,0.423,-7.328,0.838,-1.776,-4.353,-5.742,0.000,-65.202,19.197,-0.915,0.022,22.015
73064.080,297.244,0.856,24.888,265.206,264.368,-10.810,-5.128,-3.849,-3.341,-2.159,-6.124,-6.514,-7.384,-4.912,-0.938,-0.422,-7.009,0.733,-1.776,-3.939,-5.629,0.000,-65.183,19.197,-0.915,0.006,22.004
73072.143,297.242,0.856,24.887,265.206,264.688,-9.296,-6.354,-3.955,-3.236,-1.943,-6.747,-6.301,-6.849,-4.912,-1.980,1.268,-7.434,0.419,-1.358,-4.249,-5.742,0.000,-65.222,19.176,-0.913,-0.027,22.004
73072.143,297.244,0.856,24.894,265.364,264.528,-9.837,-5.573,-4.383,-3.445,-1.511,-7.370,-6.941,-6.849,-5.135,-2.605,0.211,-6.797,0.000,-1.672,-3.420,-6.079,0.000,-65.202,19.176,-0.913,-0.010,22.004
73072.143,297.244,0.856,24.887,265.206,264.368,-9.512,-5.350,-4.062,-3.132,-1.511,-5.501,-6.941,-6.314,-4.242,-2.605,0.845,-6.478,0.524,-1.463,-3.835,-5.291,0.000,-65.202,19.176,-0.911,0.039,22.015
73072.143,297.245,0.856,24.887,265.206,264.368,-9.945,-5.128,-3.742,-3.236,-1.727,-6.332,-6.621,-7.277,-4.242,-1.667,-0.211,-6.478,0.942,-2.090,-3.731,-5.629,0.000,-65.145,19.156,-0.909,0.022,22.004
73064.080,297.245,0.856,24.884,265.127,264.688,-9.188,-5.908,-4.062,-2.714,-2.159,-6.747,-6.301,-7.277,-4.689,-1.563,1.056,-7.222,0.419,-1.045,-3.524,-5.404,0.000,-65.145,19.136,-0.907,0.006,22.015
