%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83049.808,302.086,345.679,129.424,0.006,-0.009,5.000
83057.870,302.085,345.837,129.424,-0.027,-0.009,5.000
83049.808,302.083,345.758,129.264,0.006,0.024,5.000
83053.839,302.085,345.837,129.264,0.006,0.013,5.000
83049.808,302.086,345.916,129.264,-0.011,0.013,5.000
83057.870,302.085,345.837,129.103,0.038,-0.009,5.000
83049.808,302.085,345.916,129.103,0.022,0.002,5.000
83057.870,302.085,345.916,128.943,-0.011,-0.009,5.000
83053.839,302.083,345.995,128.943,0.006,-0.009,5.000
83053.839,302.083,345.916,128.783,0.006,-0.009,5.000
83057.870,302.081,345.995,128.623,0.022,0.002,5.000
83053.839,302.085,346.074,128.943,0.022,-0.009,5.000
83061.902,302.083,345.995,128.463,-0.027,-0.009,5.000
83057.870,302.083,345.995,128.623,0.006,-0.009,5.000
83057.870,302.083,345.995,128.623,0.022,0.002,5.000
83061.902,302.088,345.995,128.463,-0.011,-0.009,5.000
83053.839,302.085,345.995,128.623,0.022,0.013,5.000
83057.870,302.086,346.074,128.623,0.022,0.002,5.000
83057.870,302.085,346.074,128.623,0.006,-0.009,5.000
83061.902,302.089,345.916,128.783,-0.011,0.002,5.000
83061.902,302.085,346.074,128.303,-0.011,-0.009,5.000
83065.933,302.083,346.074,128.463,0.006,-0.009,5.000
83057.870,302.086,345.995,128.303,0.006,-0.009,5.000
83057.870,302.088,346.074,128.463,0.006,0.013,5.000
83061.902,302.085,346.074,128.143,0.022,0.002,5.000
83061.902,302.086,345.995,127.983,0.022,0.002,5.000
83061.902,302.086,346.074,128.143,0.006,0.002,5.000
83057.870,302.086,345.837,128.463,0.022,0.024,5.000
83053.839,302.085,345.837,128.143,0.006,-0.009,5.000
83061.902,302.088,345.916,128.303,0.006,-0.009,5.000
83065.933,302.086,345.837,128.143,-0.011,0.013,5.000
83065.933,302.083,345.837,128.303,0.006,-0.009,5.000
83061.902,302.086,345.679,128.623,0.022,-0.019,5.000
83061.902,302.088,345.837,128.783,-0.043,0.002,5.000
83061.902,302.086,345.679,128.623,0.022,0.013,5.000
83065.933,302.086,345.679,128.463,0.022,0.002,5.000
83057.870,302.083,345.521,128.783,0.006,0.002,5.000
83061.902,302.086,345.600,128.623,0.022,0.002,5.000
83061.902,302.086,345.600,128.783,-0.011,-0.009,5.000
83065.933,302.085,345.521,128.943,-0.011,0.002,5.000
83061.902,302.089,345.600,129.264,0.006,-0.009,5.000
83061.902,302.085,345.600,129.103,-0.011,0.002,5.000
83061.902,302.085,345.521,129.103,0.006,-0.009,5.000
83061.902,302.088,345.442,129.264,0.006,-0.009,5.000
83061.902,302.086,345.442,129.264,0.006,-0.009,5.000
83057.870,302.085,345.442,129.744,0.022,-0.009,5.000
83057.870,302.085,345.442,129.744,0.006,-0.019,5.000
83061.902,302.085,345.442,130.224,0.006,-0.009,5.000
83057.870,302.085,345.284,129.744,-0.011,-0.019,5.000
83057.870,302.083,345.284,130.064,-0.043,0.002,5.000
83057.870,302.085,345.284,130.064,-0.011,-0.009,5.000
83061.902,302.086,345.284,130.384,-0.011,0.013,5.000
83057.870,302.085,345.363,130.544,-0.011,-0.009,5.000
83057.870,302.085,345.284,130.544,0.006,-0.009,5.000
83057.870,302.085,345.284,131.025,-0.011,0.002,5.000
83057.870,302.085,345.521,131.185,0.006,-0.009,5.000
83061.902,302.088,345.205,131.185,0.006,-0.009,5.000
83057.870,302.088,345.363,131.185,-0.011,-0.009,5.000
83057.870,302.086,345.363,131.665,0.006,0.002,5.000
83061.902,302.088,345.205,131.345,0.006,-0.019,5.000
83065.933,302.085,345.126,131.665,0.006,0.002,5.000
83065.933,302.088,345.205,131.505,0.038,-0.019,5.000
83061.902,302.088,345.126,131.345,-0.011,0.002,5.000
83057.870,302.088,345.126,131.505,0.006,0.013,5.000
83057.870,302.089,345.205,131.505,0.006,-0.019,5.000
83061.902,302.088,345.126,131.665,-0.011,0.013,5.000
83057.870,302.089,345.126,131.825,-0.011,0.013,5.000
83061.902,302.088,345.205,131.665,0.006,-0.009,5.000
83057.870,302.088,345.126,132.145,-0.027,-0.009,5.000
83061.902,302.088,345.205,131.985,0.006,-0.009,5.000
83061.902,302.085,345.047,131.825,-0.011,0.002,5.000
83061.902,302.086,345.047,131.825,0.006,-0.009,5.000
83061.902,302.089,345.126,131.825,0.006,0.002,5.000
83061.902,302.089,345.047,131.825,0.006,-0.019,5.000
83057.870,302.089,344.968,132.145,0.022,-0.019,5.000
83057.870,302.086,345.047,131.985,0.006,0.002,5.000
83053.839,302.089,345.205,131.665,-0.011,-0.009,5.000
83057.870,302.088,345.126,131.665,0.022,-0.019,5.000
83065.933,302.089,344.968,131.505,-0.027,0.002,5.000
83057.870,302.086,345.126,131.505,0.006,0.002,5.000
83053.839,302.086,345.047,131.505,0.022,0.002,5.000
83057.870,302.088,345.047,131.505,0.006,0.002,5.000
83053.839,302.086,344.968,131.665,0.006,0.002,5.000
83053.839,302.086,344.968,131.505,0.006,-0.009,5.000
83045.776,302.091,345.047,131.185,0.038,-0.009,5.000
83041.745,302.089,344.968,131.505,0.006,-0.019,5.000
83049.808,302.089,345.047,131.185,-0.011,-0.009,5.000
83053.839,302.088,345.047,131.345,0.006,-0.009,5.000
83057.870,302.089,344.968,131.185,0.022,0.002,5.000
83057.870,302.086,344.968,131.185,0.006,-0.030,5.000
83053.839,302.086,345.205,131.345,-0.011,0.002,5.000
83053.839,302.085,345.126,131.505,0.006,-0.009,5.000
83053.839,302.086,345.047,131.345,0.022,0.002,5.000
83053.839,302.085,345.047,131.185,0.006,0.002,5.000
83053.839,302.086,345.047,131.665,0.022,-0.009,5.000
83053.839,302.088,345.047,131.665,-0.011,0.013,5.000
83053.839,302.085,345.047,131.505,0.006,0.002,5.000
83057.870,302.088,345.126,131.665,-0.027,-0.009,5.000
83053.839,302.085,345.126,131.505,0.006,-0.009,5.000
83061.902,302.085,345.047,131.665,-0.011,-0.009,5.000
83045.776,302.086,345.284,131.825,-0.011,0.013,5.000
83057.870,302.085,345.205,131.665,-0.011,0.013,5.000
83065.933,302.086,345.205,131.985,0.006,0.002,5.000
83057.870,302.085,345.363,131.985,-0.011,0.002,5.000
83053.839,302.083,345.363,132.145,-0.027,-0.009,5.000
83057.870,302.083,345.284,132.305,-0.027,0.002,5.000
83061.902,302.088,345.284,132.145,0.006,-0.009,5.000
83057.870,302.086,345.284,132.145,0.022,-0.009,5.000
83065.933,302.088,345.284,132.305,0.006,0.002,5.000
83053.839,302.089,345.205,132.626,0.006,0.013,5.000
83065.933,302.088,345.284,132.465,0.006,-0.009,5.000
83057.870,302.088,345.284,132.465,0.022,-0.009,5.000
83061.902,302.086,345.284,132.305,0.006,-0.019,5.000
83061.902,302.093,345.363,132.626,-0.011,0.002,5.000
83061.902,302.089,345.521,132.626,-0.011,0.013,5.000
83057.870,302.089,345.521,132.465,0.006,0.002,5.000
83057.870,302.089,345.363,132.626,-0.027,0.002,5.000
83057.870,302.089,345.442,132.626,-0.011,0.002,5.000
83061.902,302.089,345.442,132.305,-0.011,0.002,5.000
83061.902,302.088,345.442,132.626,0.006,-0.009,5.000
83057.870,302.088,345.521,132.305,-0.027,0.002,5.000
83061.902,302.089,345.521,132.305,0.006,0.013,5.000
83061.902,302.093,345.600,132.465,-0.011,-0.009,5.000
83061.902,302.086,345.363,131.825,-0.011,-0.009,5.000
83061.902,302.091,345.521,131.825,-0.011,-0.009,5.000
83053.839,302.093,345.363,131.985,0.006,-0.019,5.000
83061.902,302.089,345.284,131.665,0.006,-0.030,5.000
83061.902,302.091,345.284,131.505,-0.011,-0.009,5.000
83061.902,302.088,345.521,131.345,-0.011,0.002,5.000
83057.870,302.088,345.363,131.345,-0.011,0.013,5.000
83053.839,302.093,345.363,131.185,-0.011,0.002,5.000
83053.839,302.088,345.205,130.864,0.006,-0.009,5.000
83049.808,302.091,345.442,131.025,-0.011,-0.009,5.000
83049.808,302.093,345.442,130.704,0.022,0.002,5.000
83053.839,302.094,345.363,130.704,0.006,0.013,5.000
83057.870,302.091,345.363,130.064,-0.011,-0.019,5.000
83057.870,302.091,345.284,130.224,-0.011,-0.009,5.000
83057.870,302.091,345.284,130.064,-0.027,0.002,5.000
83049.808,302.091,345.284,130.224,-0.011,0.013,5.000
83053.839,302.089,345.284,130.064,0.022,0.002,5.000
83053.839,302.088,345.205,129.424,0.006,0.013,5.000
83061.902,302.088,345.126,129.424,0.038,0.002,5.000
83053.839,302.089,345.205,129.264,0.006,0.002,5.000
83053.839,302.088,345.205,129.103,-0.011,0.002,5.000
83057.870,302.086,345.205,129.424,0.006,-0.009,5.000
83053.839,302.088,345.126,129.103,-0.011,-0.009,5.000
83057.870,302.088,345.047,129.103,0.006,-0.019,5.000
83061.902,302.089,345.047,129.264,-0.011,0.013,5.000
83057.870,302.085,345.047,129.264,-0.011,0.024,5.000
83057.870,302.088,345.047,128.943,0.006,-0.019,5.000
83061.902,302.086,345.126,129.103,0.006,0.013,5.000
83065.933,302.088,344.968,128.943,0.006,0.013,5.000
83057.870,302.088,344.968,129.424,0.022,0.002,5.000
83057.870,302.086,345.047,129.264,-0.011,-0.009,5.000
83057.870,302.088,344.968,129.424,0.006,0.002,5.000
83065.933,302.089,344.968,129.103,0.006,-0.009,5.000
83061.902,302.089,344.968,129.744,-0.011,-0.009,5.000
83065.933,302.088,344.968,129.424,-0.027,0.002,5.000
83057.870,302.086,344.889,129.584,0.006,0.002,5.000
83061.902,302.088,344.889,129.744,0.006,-0.009,5.000
83065.933,302.086,344.968,129.904,0.022,0.002,5.000
83061.902,302.086,344.810,130.064,0.022,0.002,5.000
83065.933,302.088,344.889,130.064,0.006,0.002,5.000
83065.933,302.085,344.810,130.384,-0.011,-0.009,5.000
83065.933,302.083,345.126,130.384,-0.011,-0.009,5.000
83061.902,302.086,344.889,130.544,-0.027,0.013,5.000
83061.902,302.085,345.047,131.025,0.006,0.013,5.000
83057.870,302.086,344.968,131.345,-0.011,-0.009,5.000
83069.965,302.086,344.889,131.345,-0.011,0.002,5.000
83065.933,302.085,344.889,131.665,-0.011,-0.009,5.000
83065.933,302.086,344.968,131.505,0.022,-0.019,5.000
83061.902,302.085,344.968,132.305,0.006,-0.019,5.000
83061.902,302.086,344.889,132.145,0.022,-0.019,5.000
