%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82686.982,302.251,0.953,8.970,38.345,-55.192,-7.455,23.998,9.097,-8.141,-12.306,-20.852,-22.526,-24.394,-18.752,-17.815,-16.130,-21.768,-15.677,-17.028,-18.760,-20.709,-15.000,-544.798,-289.718,14.557,-375.504,22.392
82686.982,302.251,0.953,8.961,38.266,-55.192,-7.455,23.779,9.311,-7.619,-12.630,-19.711,-23.060,-23.752,-18.863,-18.752,-16.024,-22.193,-15.886,-16.819,-19.071,-19.808,-15.000,-544.798,-289.718,14.557,-375.521,22.392
82691.014,302.244,0.953,8.952,38.187,-55.352,-8.104,23.444,9.631,-7.723,-12.738,-20.333,-22.633,-25.357,-18.863,-18.023,-15.708,-22.830,-16.095,-16.923,-18.864,-20.371,-15.000,-544.798,-289.718,14.557,-375.504,22.371
82682.951,302.249,0.953,8.961,38.266,-55.352,-7.239,22.663,9.096,-7.932,-12.738,-20.437,-22.847,-23.645,-19.310,-17.398,-15.708,-23.255,-15.781,-16.819,-18.760,-20.596,-15.000,-544.798,-289.718,14.557,-375.504,22.382
82686.982,302.247,0.953,8.952,38.187,-55.352,-7.347,23.667,8.347,-7.619,-12.522,-20.748,-23.167,-24.287,-18.082,-17.815,-15.813,-22.405,-15.990,-16.923,-18.553,-20.258,-15.000,-544.798,-289.718,14.557,-375.537,22.403
82678.919,302.244,0.953,8.980,38.424,-54.872,-7.671,23.332,9.738,-8.350,-12.306,-19.818,-23.060,-24.394,-18.752,-16.877,-16.551,-22.405,-15.781,-17.132,-18.967,-20.146,-15.000,-544.798,-289.718,14.557,-375.504,22.371
82678.919,302.247,0.953,8.971,38.345,-55.192,-7.131,22.997,8.454,-7.932,-12.846,-19.922,-22.740,-24.394,-18.305,-17.398,-16.130,-23.361,-15.677,-16.505,-18.656,-20.033,-15.000,-544.798,-289.718,14.557,-375.537,22.382
82678.919,302.247,0.953,8.962,38.266,-55.192,-7.239,23.667,9.203,-7.515,-12.306,-20.233,-22.634,-24.073,-18.305,-17.606,-16.340,-21.662,-15.781,-17.028,-18.346,-20.371,-15.000,-544.798,-289.718,14.557,-375.537,22.403
82678.919,302.249,0.953,8.962,38.266,-55.192,-7.455,23.891,9.417,-7.932,-12.198,-19.922,-23.061,-23.753,-17.747,-18.231,-16.340,-22.299,-15.259,-16.819,-18.864,-20.146,-15.000,-544.798,-289.718,14.557,-375.521,22.392
82686.982,302.247,0.953,8.933,38.029,-55.192,-7.347,23.667,9.524,-7.306,-11.982,-19.299,-21.993,-24.715,-17.747,-17.398,-16.657,-22.617,-15.468,-15.983,-18.656,-19.808,-15.000,-544.798,-289.718,14.557,-375.488,22.392
82682.951,302.247,0.953,8.971,38.345,-55.192,-6.807,23.332,9.417,-7.723,-11.874,-19.818,-21.779,-23.539,-19.198,-18.336,-15.811,-21.980,-15.572,-15.983,-17.931,-20.371,-15.000,-544.798,-289.718,14.557,-375.504,22.403
82682.951,302.247,0.953,8.943,38.108,-55.192,-6.915,24.114,8.561,-7.097,-12.090,-19.299,-22.313,-23.325,-17.970,-18.961,-15.811,-22.405,-15.154,-16.714,-18.760,-19.358,-15.000,-544.798,-289.718,14.557,-375.504,22.392
82686.982,302.246,0.953,8.961,38.266,-55.192,-7.780,23.444,9.524,-7.828,-11.658,-19.195,-21.673,-24.180,-17.747,-17.815,-16.443,-22.193,-15.259,-16.296,-18.346,-19.471,-15.000,-544.798,-289.718,14.557,-375.504,22.403
82682.951,302.251,0.953,8.961,38.266,-54.872,-6.159,23.221,8.775,-7.723,-12.306,-19.507,-22.313,-23.646,-17.747,-18.544,-15.811,-23.255,-15.677,-16.610,-18.346,-19.358,-15.000,-544.798,-289.718,14.557,-375.521,22.382
82678.919,302.246,0.953,8.962,38.266,-55.032,-7.023,23.891,8.561,-7.306,-12.198,-20.233,-21.779,-24.180,-18.417,-18.648,-16.654,-21.980,-16.304,-16.401,-18.553,-20.258,-15.000,-544.798,-289.718,14.557,-375.553,22.392
82670.857,302.249,0.953,8.953,38.187,-55.192,-7.455,23.667,9.845,-7.932,-12.090,-19.507,-23.381,-23.646,-18.751,-18.648,-16.654,-22.511,-15.050,-17.132,-19.071,-20.033,-15.000,-544.798,-289.718,14.557,-375.521,22.392
82674.888,302.249,0.953,8.962,38.266,-55.512,-7.673,24.225,9.738,-7.306,-12.306,-19.299,-21.886,-24.715,-18.193,-18.232,-15.495,-21.768,-15.468,-16.087,-18.967,-19.808,-15.000,-544.798,-289.718,14.557,-375.521,22.403
82678.919,302.247,0.953,8.962,38.266,-55.352,-7.889,23.444,9.524,-7.410,-11.982,-19.507,-21.993,-24.287,-19.533,-17.919,-15.705,-22.405,-15.468,-16.714,-18.449,-20.821,-15.000,-544.798,-289.718,14.557,-375.521,22.403
82674.888,302.249,0.953,8.953,38.187,-55.192,-7.457,24.337,8.883,-7.619,-11.766,-19.299,-22.420,-23.860,-18.193,-18.753,-15.705,-21.980,-15.572,-16.714,-18.553,-19.583,-15.000,-544.798,-289.718,14.557,-375.521,22.382
82686.982,302.251,0.953,8.970,38.345,-55.512,-7.673,23.556,9.204,-7.828,-11.766,-19.299,-22.740,-24.180,-19.086,-16.565,-16.338,-22.724,-16.095,-16.610,-18.345,-19.245,-15.000,-544.798,-289.718,14.557,-375.521,22.392
82699.076,302.252,0.953,17.426,144.719,-201.197,-20.637,93.202,32.215,-34.024,-52.246,-72.618,-81.138,-84.738,-70.542,-83.969,-79.910,-86.116,-79.846,-79.079,-79.808,-80.583,-15.000,-544.798,-289.718,14.557,-375.504,22.392
82695.045,302.251,0.953,17.431,144.798,-201.197,-20.961,93.872,32.643,-34.650,-51.923,-72.411,-80.818,-84.203,-70.542,-82.510,-80.859,-85.691,-77.965,-79.810,-79.704,-81.596,-15.000,-544.798,-289.718,14.557,-375.504,22.371
82699.076,302.252,0.953,17.445,145.035,-201.357,-21.394,93.426,33.067,-34.233,-52.354,-72.618,-80.818,-84.310,-71.212,-83.552,-80.015,-86.647,-79.115,-79.497,-80.223,-80.808,-15.000,-544.798,-289.718,14.557,-375.537,22.414
82703.108,302.252,0.953,17.454,145.193,-201.677,-21.178,94.207,32.960,-33.816,-51.707,-72.515,-80.818,-84.096,-70.877,-83.239,-80.015,-85.479,-79.219,-78.139,-79.083,-80.583,-15.000,-544.798,-289.718,14.557,-375.537,22.392
82695.045,302.252,0.953,17.455,145.193,-201.677,-19.989,93.984,33.174,-33.920,-52.031,-72.411,-81.779,-84.310,-70.877,-82.614,-81.069,-84.948,-77.443,-79.079,-78.875,-79.683,-15.000,-544.798,-289.718,14.557,-375.537,22.403
82703.108,302.252,0.953,17.454,145.193,-201.677,-20.529,93.761,33.067,-33.503,-52.247,-72.112,-80.711,-84.524,-70.207,-82.927,-79.488,-85.267,-78.174,-77.616,-79.497,-80.358,-15.000,-544.798,-289.718,14.557,-375.521,22.392
82699.076,302.252,0.953,17.464,145.351,-201.997,-20.205,93.203,32.853,-33.816,-52.031,-72.631,-81.139,-83.775,-71.770,-82.198,-80.121,-85.904,-79.428,-78.348,-79.808,-81.821,-15.000,-544.798,-289.718,14.557,-375.488,22.403
82695.045,302.252,0.953,17.474,145.509,-201.837,-21.934,94.542,32.532,-34.338,-52.571,-72.112,-81.032,-84.846,-71.212,-82.927,-80.121,-85.054,-78.801,-79.288,-80.430,-81.146,-15.000,-544.798,-289.718,14.557,-375.521,22.403
82699.076,302.249,0.953,17.478,145.588,-202.157,-21.826,94.207,32.532,-34.338,-52.247,-72.216,-81.245,-85.060,-72.104,-81.468,-79.383,-86.647,-79.637,-79.915,-81.570,-82.834,-15.000,-544.798,-289.718,14.557,-375.504,22.392
