cd-rfile,
Iteration,cd
"(""Iteration""",cd)
1,1.968339993
2,2.479692192
3,2.880015205
4,3.10137189
5,3.205853854
6,3.230784735
7,3.183850256
8,3.007417422
9,2.814155952
10,2.585050334
11,2.398733693
12,2.195486668
13,2.021319245
14,1.884465549
15,1.775421279
16,1.677712534
17,1.580309385
18,1.480169873
19,1.378752641
20,1.27619425
21,1.173626694
22,1.072483134
23,0.973878922
24,0.8792688
25,0.789256749
26,0.704053195
27,0.623649034
28,0.548081518
29,0.477267745
30,0.411096367
31,0.349287935
32,0.291763495
33,0.238275841
34,0.188551096
35,0.14264758
36,0.100444329
37,0.061819296
38,0.026672906
39,-0.00508833
40,-0.033556057
41,-0.058850693
42,-0.081075867
43,-0.100374085
44,-0.116898631
45,-0.130830893
46,-0.142377471
47,-0.151738465
48,-0.159113801
49,-0.164727573
50,-0.168792441
51,-0.171499189
52,-0.17305232
53,-0.173575954
54,-0.173659761
55,-0.172697207
56,-0.171543148
57,-0.16986047
58,-0.167737365
59,-0.165227899
60,-0.162401052
61,-0.159278778
62,-0.155900827
63,-0.15227281
64,-0.148402902
65,-0.144342237
66,-0.140042999
67,-0.135518599
68,-0.13064207
69,-0.125484812
70,-0.120025019
71,-0.114232791
72,-0.108059763
73,-0.101480016
74,-0.094483794
75,-0.087058492
76,-0.07920041
77,-0.070919101
78,-0.062184993
79,-0.05300487
80,-0.043393833
81,-0.033366854
82,-0.022941845
83,-0.012163345
84,-0.001048337
85,0.010360479
86,0.022030047
87,0.033916513
88,0.045888364
89,0.057980691
90,0.070160156
91,0.082375175
92,0.094556701
93,0.106670422
94,0.118691296
95,0.130548355
96,0.14220534
97,0.153613403
98,0.164695424
99,0.175473456
100,0.185912789
101,0.195982382
102,0.205651048
103,0.214894534
104,0.223679482
105,0.231988736
106,0.239800318
107,0.24709951
108,0.253845046
109,0.260047758
110,0.265686783
111,0.270737649
112,0.275202012
113,0.279069219
114,0.282332548
115,0.284980125
116,0.287005287
117,0.28840801
118,0.289171088
119,0.289294767
120,0.288781536
121,0.287635883
122,0.285868138
123,0.283482587
124,0.280494766
125,0.276902788
126,0.272734351
127,0.268007822
128,0.262743243
129,0.256961885
130,0.250687158
131,0.243949152
132,0.236776542
133,0.229202272
134,0.221259861
135,0.213033755
136,0.204503822
137,0.195708891
138,0.186689839
139,0.177484388
140,0.168137337
141,0.15868442
142,0.149167094
143,0.139628844
144,0.130109908
145,0.12065137
146,0.11129356
147,0.102077161
148,0.093038481
149,0.08421455
150,0.075632712
151,0.067329344
152,0.059351589
153,0.05171944
154,0.044455771
155,0.037583984
156,0.031127098
157,0.025101956
158,0.01952728
159,0.014413264
160,0.009773146
161,0.005614456
162,0.001945089
163,-0.001235117
164,-0.003923619
165,-0.006124287
166,-0.0078406
167,-0.009079282
168,-0.009844735
169,-0.010149059
170,-0.010004396
171,-0.009429843
172,-0.008434049
173,-0.007033742
174,-0.005244112
175,-0.003080692
176,-0.000563939
177,0.002286264
178,0.005450912
179,0.008912904
180,0.012649672
181,0.016641788
182,0.020867711
183,0.025307448
184,0.029941466
185,0.034748563
186,0.039714629
187,0.04481131
188,0.050027221
189,0.055346127
190,0.060741603
191,0.066195659
192,0.071689957
193,0.077210167
194,0.082730481
195,0.088245823
196,0.093741707
197,0.099207303
198,0.104621369
199,0.109970718
200,0.115241019
201,0.120419993
202,0.125495873
203,0.130453751
204,0.135281406
205,0.139964768
206,0.144500531
207,0.148875602
208,0.15308176
209,0.157105904
210,0.160939772
