cd-rfile,
Iteration,cd
"(""Iteration""",cd)
1,1.316208509
2,1.501665229
3,1.634743896
4,1.664549983
5,1.645714819
6,1.585266387
7,1.49580457
8,1.381404113
9,1.24752997
10,1.110882519
11,0.986406964
12,0.876587624
13,0.791810461
14,0.698772342
15,0.61874852
16,0.555971493
17,0.499651259
18,0.448915223
19,0.40309459
20,0.361545871
21,0.32330843
22,0.287405773
23,0.253250685
24,0.220532414
25,0.189096345
26,0.156544438
27,0.128971403
28,0.100953297
29,0.075304712
30,0.051804954
31,0.030448049
32,0.011191844
33,-0.006003558
34,-0.021163521
35,-0.034338881
36,-0.045559618
37,-0.054869028
38,-0.062325468
39,-0.067983771
40,-0.071934184
41,-0.074253796
42,-0.075057634
43,-0.074448739
44,-0.072537274
45,-0.069447803
46,-0.065307736
47,-0.060256862
48,-0.054433324
49,-0.047966511
50,-0.040990171
51,-0.033640691
52,-0.026045035
53,-0.018322548
54,-0.010563872
55,-0.002903695
56,0.004568563
57,0.011758201
58,0.018598157
59,0.025026829
60,0.0309905
61,0.036441453
62,0.041346573
63,0.045688471
64,0.04945024
65,0.052624219
66,0.055217134
67,0.057244512
68,0.058729993
69,0.059699058
70,0.060184645
71,0.06022064
72,0.059852412
73,0.05912345
74,0.0580823
75,0.056783785
76,0.055266829
77,0.053582072
78,0.05176699
79,0.049884025
80,0.047968248
81,0.046058218
82,0.044195296
83,0.042406512
84,0.040717904
85,0.039156879
86,0.037741606
87,0.036489404
88,0.035416493
89,0.034531171
90,0.033837016
91,0.033334855
92,0.033022449
93,0.03289605
94,0.03294571
95,0.033164593
96,0.033549381
97,0.034069433
98,0.034710809
99,0.035455736
100,0.036284565
101,0.037171953
102,0.038106781
103,0.039072504
104,0.040049649
105,0.041021329
106,0.041974876
107,0.042881351
108,0.043729597
109,0.044508302
110,0.045206631
111,0.045812263
112,0.046311097
113,0.046699196
114,0.046969529
115,0.047113226
116,0.047128827
117,0.047014261
118,0.046769539
119,0.046392461
120,0.045887457
121,0.045258771
122,0.044511723
123,0.04365291
124,0.042693227
125,0.041639904
126,0.040501794
127,0.039292226
128,0.038020846
129,0.036699246
130,0.0353409
131,0.033958793
132,0.032564562
133,0.031170045
134,0.029786644
135,0.028426726
136,0.027097566
137,0.025809956
138,0.024574304
139,0.023397471
140,0.022286402
141,0.021245638
142,0.020281958
143,0.019400169
144,0.018603311
145,0.017892861
146,0.017270298
147,0.016735879
148,0.016289025
149,0.015927235
150,0.015647327
151,0.015446758
152,0.015319957
153,0.015262516
154,0.015269339
155,0.015334726
156,0.015452586
157,0.015618075
158,0.015824438
159,0.01606576
160,0.016334479
161,0.016624933
162,0.016930611
163,0.01724521
164,0.01756354
165,0.01787866
166,0.018187577
167,0.01848695
168,0.018771277
169,0.019038201
170,0.019285051
171,0.019509714
172,0.019710229
173,0.019885243
174,0.020032824
175,0.020153896
176,0.020248693
177,0.020315742
178,0.020356705
179,0.020375584
180,0.020372439
181,0.020351022
182,0.02031354
183,0.02026381
184,0.020203551
185,0.020137052
186,0.020067239
187,0.019997425
188,0.019930901
189,0.019871014
190,0.019821251
191,0.01978483
192,0.019765152
193,0.019766055
194,0.019789707
195,0.01983921
196,0.019915031
197,0.020018966
198,0.020152836
199,0.020317052
200,0.020510573
201,0.0207365
202,0.020993436
203,0.021280603
204,0.02159672
205,0.02193915
206,0.022306533
207,0.022698065
208,0.023108761
209,0.023536327
210,0.023976248
211,0.024425573
212,0.024880482
213,0.025336928
214,0.02579106
