cl-rfile,
Iteration,cl
"(""Iteration""",cl)
1,-0.845396241
2,-1.279632318
3,-1.626879832
4,-1.830590802
5,-1.947882457
6,-1.983125305
7,-1.953167788
8,-1.868312538
9,-1.759594843
10,-1.65246154
11,-1.557978698
12,-1.476356171
13,-1.422772236
14,-1.352373055
15,-1.29144147
16,-1.245968936
17,-1.2019924
18,-1.15869018
19,-1.114638968
20,-1.070204739
21,-1.025412503
22,-0.979593148
23,-0.932595652
24,-0.88448873
25,-0.835365271
26,-0.784696567
27,-0.735008142
28,-0.684868125
29,-0.634931943
30,-0.585037021
31,-0.53577907
32,-0.487313719
33,-0.439757528
34,-0.393289362
35,-0.348072161
36,-0.304216479
37,-0.26176207
38,-0.220963085
39,-0.181726326
40,-0.144163875
41,-0.108323442
42,-0.074229517
43,-0.041945797
44,-0.011480193
45,0.017163614
46,0.043971682
47,0.068889016
48,0.092108966
49,0.113601293
50,0.133347684
51,0.151407605
52,0.167819916
53,0.182637649
54,0.195847432
55,0.207553766
56,0.217809151
57,0.226693146
58,0.234223325
59,0.240432809
60,0.24534042
61,0.249005194
62,0.251455538
63,0.252698703
64,0.252764434
65,0.251700203
66,0.249455259
67,0.246052719
68,0.241495578
69,0.235774125
70,0.228884279
71,0.220806065
72,0.211593425
73,0.201251994
74,0.189799804
75,0.177223878
76,0.163572317
77,0.148877884
78,0.133173458
79,0.116505242
80,0.098904819
81,0.080448615
82,0.06119688
83,0.041208822
84,0.02058157
85,-0.000624522
86,-0.022327548
87,-0.044433961
88,-0.066855822
89,-0.089493345
90,-0.112250318
91,-0.135028235
92,-0.157727613
93,-0.180256459
94,-0.202507303
95,-0.224388169
96,-0.245855624
97,-0.266755976
98,-0.286990039
99,-0.306478251
100,-0.325147033
101,-0.342917115
102,-0.359719994
103,-0.375504891
104,-0.390218569
105,-0.403811048
106,-0.416263108
107,-0.42747142
108,-0.43747351
109,-0.446253291
110,-0.453806075
111,-0.460128986
112,-0.465185447
113,-0.469046584
114,-0.471729619
115,-0.47325792
116,-0.47365536
117,-0.472957872
118,-0.471200021
119,-0.468417643
120,-0.464658199
121,-0.459973869
122,-0.454417044
123,-0.448036888
124,-0.440888824
125,-0.433036498
126,-0.424536996
127,-0.415448651
128,-0.40583354
129,-0.395747195
130,-0.385248722
131,-0.374393621
132,-0.363236625
133,-0.351830456
134,-0.340225599
135,-0.328468011
136,-0.316609919
137,-0.304693987
138,-0.292763539
139,-0.280860351
140,-0.269023171
141,-0.257278242
142,-0.245668598
143,-0.234231053
144,-0.222992663
145,-0.21198062
146,-0.20122576
147,-0.190752878
148,-0.180590434
149,-0.170759898
150,-0.161282679
151,-0.152180696
152,-0.143473461
153,-0.135184873
154,-0.127326526
155,-0.119922968
156,-0.112985428
157,-0.106540712
158,-0.100600718
159,-0.095179325
160,-0.090295217
161,-0.085957309
162,-0.082175802
163,-0.078969141
164,-0.0763376
165,-0.074293375
166,-0.07284549
167,-0.0719997
168,-0.071761488
169,-0.072131097
170,-0.073104421
171,-0.074680627
172,-0.076857567
173,-0.07961828
174,-0.082964147
175,-0.086884508
176,-0.091365385
177,-0.096384203
178,-0.101942418
179,-0.10800654
180,-0.114554213
181,-0.121562901
182,-0.129001882
183,-0.136842816
184,-0.145059995
185,-0.153617914
186,-0.162485351
187,-0.171626866
188,-0.181004728
189,-0.190585136
190,-0.200324961
191,-0.210196029
192,-0.220149146
193,-0.230149804
194,-0.240154091
195,-0.250127826
196,-0.260033107
197,-0.269829587
198,-0.279479801
199,-0.288949985
200,-0.298199142
201,-0.307203722
202,-0.315919638
203,-0.32432374
204,-0.332381242
205,-0.340066278
206,-0.347351238
207,-0.354213134
208,-0.360635198
209,-0.366597893
210,-0.372080075
211,-0.377069918
212,-0.381555917
213,-0.385525588
214,-0.388974583
215,-0.391893971
216,-0.394280217
217,-0.396130838
218,-0.397451564
219,-0.398244157
220,-0.398513048
221,-0.39826246
222,-0.397502395
223,-0.396247754
224,-0.39450945
225,-0.392304534
226,-0.389646451
227,-0.386554699
228,-0.38304781
229,-0.379146996
230,-0.374877284
231,-0.370259471
232,-0.365320672
233,-0.360083335
234,-0.354580003
235,-0.348833004
236,-0.342870451
237,-0.336720544
238,-0.330418385
239,-0.323986632
240,-0.317455671
241,-0.310849288
242,-0.304204885
243,-0.29754934
244,-0.290911512
245,-0.284313119
246,-0.277784325
247,-0.271350032
248,-0.265042674
249,-0.258880272
250,-0.252888317
251,-0.247082762
252,-0.241487519
253,-0.236124274
254,-0.231010531
255,-0.226159647
256,-0.221589425
257,-0.217312757
258,-0.213338669
259,-0.209681518
260,-0.206351845
261,-0.203354823
262,-0.200697934
263,-0.198387887
264,-0.196425265
265,-0.19481376
266,-0.193555949
267,-0.192650041
268,-0.192095274
269,-0.191886553
270,-0.192022941
271,-0.192498264
272,-0.193309503
273,-0.194444519
274,-0.195899463
275,-0.197663175
276,-0.199728369
277,-0.20208223
278,-0.204716783
279,-0.207617434
280,-0.21077272
281,-0.214171534
282,-0.217798493
283,-0.221642355
284,-0.225685104
285,-0.229911873
286,-0.23430818
287,-0.238858626
288,-0.243548281
289,-0.248364454
290,-0.253285654
291,-0.258295643
292,-0.263379416
293,-0.268523159
294,-0.273706321
295,-0.278914276
296,-0.284129627
297,-0.289336364
298,-0.294515911
299,-0.299649721
300,-0.304725213
301,-0.30973232
302,-0.314649367
303,-0.319457745
304,-0.324148087
305,-0.328705103
306,-0.333115275
307,-0.337366707
308,-0.341445565
309,-0.345338259
310,-0.349035795
311,-0.352524305
312,-0.355799866
313,-0.358852811
314,-0.361674102
315,-0.364253511
316,-0.366585855
317,-0.368663519
318,-0.370484415
319,-0.372045833
320,-0.373343303
321,-0.374377028
322,-0.375143252
323,-0.375646538
324,-0.375883282
325,-0.375862593
326,-0.375584755
327,-0.375055331
328,-0.374277842
329,-0.373260653
330,-0.372008207
331,-0.370527825
332,-0.368831405
333,-0.366931227
334,-0.364835353
335,-0.362555646
336,-0.360104183
337,-0.357491556
338,-0.354731488
339,-0.3518363
340,-0.348820044
341,-0.345698868
342,-0.342487661
343,-0.339200223
344,-0.33585149
345,-0.332458063
346,-0.329034044
347,-0.3255971
348,-0.322159682
349,-0.318734474
350,-0.315338474
351,-0.311982759
352,-0.308689558
353,-0.305468274
354,-0.302329952
355,-0.299290104
356,-0.296362023
357,-0.293555442
358,-0.290883194
359,-0.288355083
360,-0.28598114
361,-0.283765995
362,-0.28172166
363,-0.27985807
364,-0.278178943
365,-0.276687848
366,-0.275392051
367,-0.27429773
368,-0.273404061
369,-0.27271673
370,-0.272238554
371,-0.271961529
372,-0.271891699
373,-0.272028494
374,-0.272367968
375,-0.272906877
376,-0.273641343
377,-0.274572394
378,-0.27568986
379,-0.276989891
380,-0.278468005
381,-0.280114613
382,-0.281923004
383,-0.283885539
384,-0.285990772
385,-0.288229978
386,-0.290596469
387,-0.293077318
388,-0.295669944
389,-0.298361381
390,-0.301136477
391,-0.303987311
392,-0.306905154
393,-0.309875237
394,-0.312886042
395,-0.315930126
396,-0.318993681
397,-0.322068421
398,-0.325143763
399,-0.328208037
400,-0.331252858
401,-0.334266576
402,-0.337241321
403,-0.340160712
404,-0.343023279
405,-0.345821598
406,-0.348544142
407,-0.351183494
408,-0.353730023
409,-0.356178722
410,-0.358523301
411,-0.360755276
412,-0.362871974
413,-0.364869532
414,-0.366741664
415,-0.36848504
416,-0.370093787
417,-0.371572191
418,-0.372912522
419,-0.37411068
420,-0.375172735
421,-0.376094286
422,-0.376874471
423,-0.377515733
424,-0.378015749
425,-0.378376716
426,-0.378600992
427,-0.378693981
428,-0.378654152
429,-0.378483542
430,-0.37819157
431,-0.3777817
432,-0.377253835
433,-0.376614637
434,-0.375865517
435,-0.375016405
436,-0.374069501
437,-0.373031402
438,-0.371909664
439,-0.370710583
440,-0.369434691
441,-0.368094501
442,-0.366699652
443,-0.365252633
444,-0.363759097
445,-0.362225753
446,-0.36066054
447,-0.359068137
448,-0.357458293
449,-0.355839154
450,-0.354216664
451,-0.352592146
452,-0.350976489
453,-0.349374863
454,-0.347797313
455,-0.346246452
456,-0.344729572
457,-0.343249225
458,-0.341811733
459,-0.34042552
460,-0.339095015
461,-0.337822763
462,-0.336613705
463,-0.335472312
464,-0.334405427
465,-0.333419095
466,-0.332509548
467,-0.33168388
468,-0.330943486
469,-0.330291367
470,-0.329729415
471,-0.329258747
472,-0.328882673
473,-0.328597983
474,-0.328406793
475,-0.328310995
476,-0.328311644
477,-0.328407796
478,-0.328600286
479,-0.328887608
480,-0.329269733
481,-0.329742128
482,-0.330302459
483,-0.330949873
484,-0.331677954
485,-0.332488242
486,-0.333379293
