%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72479.532,296.950,0.850,15.251,98.884,93.783,-13.406,-7.024,-5.987,-4.907,-3.239,-8.097,-8.436,-7.708,-6.363,-3.127,-0.844,-7.967,-1.255,-3.971,-4.561,-6.532,0.000,-5.357,41.406,-1.397,23.020,-12.911
72483.564,296.947,0.850,15.250,98.884,93.623,-12.000,-6.912,-5.559,-4.072,-2.699,-8.513,-7.902,-8.457,-6.586,-3.439,-0.527,-7.861,-1.255,-2.821,-4.976,-7.320,0.000,-5.395,41.365,-1.397,23.020,-12.911
72491.626,296.952,0.850,15.237,98.726,94.103,-12.325,-7.469,-5.774,-4.072,-2.375,-8.513,-8.329,-7.280,-6.698,-3.543,-0.527,-7.755,-1.464,-2.717,-4.354,-6.982,0.000,-5.434,41.325,-1.397,23.036,-12.901
72479.532,296.952,0.850,15.245,98.805,93.783,-12.325,-6.466,-5.881,-4.176,-2.699,-8.720,-7.902,-8.029,-5.916,-3.335,-0.844,-7.861,-1.986,-2.926,-4.561,-7.095,0.000,-5.434,41.284,-1.399,23.036,-12.933
72483.564,296.950,0.850,15.238,98.726,93.783,-12.325,-6.912,-5.025,-4.385,-2.807,-8.305,-8.863,-8.136,-6.363,-3.543,-0.527,-7.542,-0.941,-3.239,-4.976,-7.207,0.000,-5.491,41.274,-1.400,23.036,-12.901
72483.564,296.952,0.850,15.244,98.805,93.783,-13.189,-7.023,-5.881,-4.385,-2.699,-7.890,-7.689,-8.136,-6.586,-3.439,-1.371,-7.861,-0.836,-3.344,-4.665,-7.207,0.000,-5.530,41.233,-1.401,23.003,-12.922
72479.532,296.952,0.850,15.233,98.647,93.463,-11.784,-7.246,-5.453,-4.385,-3.671,-8.201,-8.543,-8.564,-6.698,-3.856,-0.211,-8.180,-1.359,-2.926,-4.872,-7.658,0.000,-5.587,41.223,-1.402,23.020,-12.911
72483.564,296.952,0.850,15.226,98.568,93.783,-12.325,-6.801,-5.560,-3.968,-2.483,-8.409,-8.223,-7.494,-7.033,-2.710,-0.316,-7.861,-1.568,-2.612,-4.354,-7.545,0.000,-5.587,41.203,-1.405,23.020,-12.911
72479.532,296.952,0.850,15.239,98.726,93.943,-12.433,-6.689,-6.522,-4.072,-2.591,-8.305,-8.543,-8.136,-6.029,-4.273,-0.633,-7.648,-1.673,-3.344,-5.183,-6.982,0.000,-5.703,41.182,-1.407,23.052,-12.911
72479.532,296.952,0.850,15.233,98.647,93.463,-12.000,-6.801,-5.667,-4.594,-3.023,-8.305,-8.650,-8.029,-6.476,-3.544,-0.633,-7.755,-0.941,-3.553,-4.561,-7.545,0.000,-5.722,41.193,-1.409,23.036,-12.911
72483.564,296.950,0.850,15.226,98.568,93.623,-12.433,-6.466,-4.918,-3.968,-2.591,-8.097,-7.582,-8.243,-5.917,-2.814,-0.738,-7.648,-0.732,-2.612,-4.665,-7.432,0.000,-5.818,41.193,-1.411,22.987,-12.911
72483.564,296.952,0.850,15.232,98.647,93.303,-11.784,-8.027,-5.987,-3.654,-2.807,-7.786,-8.329,-8.243,-6.252,-3.439,-0.527,-8.709,-1.464,-2.926,-4.976,-7.207,0.000,-5.876,41.182,-1.414,23.036,-12.922
72483.564,296.952,0.850,15.226,98.568,93.303,-11.892,-6.355,-5.881,-4.072,-2.915,-8.616,-8.650,-7.922,-6.252,-3.752,-0.949,-7.860,-1.777,-2.717,-4.768,-8.108,0.000,-5.934,41.213,-1.416,23.020,-12.879
72483.564,296.953,0.850,15.232,98.647,93.303,-11.892,-6.466,-5.560,-3.654,-2.483,-7.890,-8.650,-7.708,-5.806,-4.273,-0.211,-7.647,-1.568,-3.762,-4.768,-6.644,0.000,-6.011,41.233,-1.419,23.020,-12.922
72487.595,296.953,0.850,15.226,98.568,93.143,-12.757,-6.801,-5.560,-4.907,-3.239,-8.201,-8.009,-7.815,-5.917,-3.231,-1.266,-7.860,-0.941,-3.448,-4.560,-6.757,0.000,-6.069,41.233,-1.421,23.020,-12.911
72483.564,296.952,0.850,15.226,98.568,93.143,-12.000,-7.135,-5.453,-3.759,-3.347,-7.994,-8.543,-8.564,-6.141,-3.648,-0.527,-7.860,-1.882,-3.135,-5.493,-7.431,0.000,-6.146,41.284,-1.424,23.036,-12.911
72487.595,296.952,0.850,15.219,98.489,93.143,-12.539,-7.358,-5.881,-4.176,-2.483,-8.409,-8.650,-7.601,-6.699,-3.544,-0.527,-8.178,-1.464,-2.717,-4.768,-7.882,0.000,-6.184,41.315,-1.429,23.052,-12.933
72483.564,296.952,0.850,15.214,98.410,92.823,-11.998,-6.689,-6.629,-4.594,-2.807,-8.824,-8.650,-7.708,-5.359,-3.856,-0.422,-7.754,-1.777,-2.612,-4.457,-7.319,0.000,-6.280,41.335,-1.431,23.003,-12.911
72491.626,296.952,0.850,15.213,98.410,92.823,-11.998,-6.578,-5.453,-4.698,-2.267,-7.994,-9.077,-7.494,-5.917,-3.439,-0.949,-7.966,-1.359,-3.657,-5.286,-7.657,0.000,-6.338,41.396,-1.433,23.020,-12.901
72487.595,296.950,0.850,15.213,98.410,92.823,-12.755,-6.912,-5.453,-4.490,-2.915,-8.201,-7.582,-8.136,-6.141,-2.918,-0.316,-7.754,-1.255,-2.717,-4.560,-7.206,0.000,-6.396,41.436,-1.436,23.020,-12.922
72491.626,296.949,0.850,15.219,98.489,92.823,-11.782,-7.581,-6.094,-3.968,-3.347,-7.890,-8.329,-8.350,-6.476,-3.544,-0.527,-8.497,-0.836,-3.344,-4.664,-7.206,0.000,-6.492,41.467,-1.439,23.003,-12.901
72495.658,296.950,0.850,15.212,98.410,92.502,-11.998,-6.578,-5.881,-4.072,-2.591,-9.032,-8.009,-8.136,-6.476,-3.856,-0.527,-7.541,-1.568,-3.553,-4.871,-7.994,0.000,-6.550,41.487,-1.443,23.003,-12.922
72487.595,296.953,0.850,15.213,98.410,92.823,-13.079,-7.023,-6.629,-4.490,-3.023,-7.994,-8.650,-8.136,-6.141,-4.065,-0.316,-7.435,-1.568,-2.926,-4.353,-6.868,0.000,-6.646,41.558,-1.444,23.020,-12.922
72491.626,296.950,0.850,15.207,98.331,92.502,-11.782,-6.578,-5.025,-4.803,-2.483,-8.097,-7.902,-7.922,-6.476,-3.648,-1.055,-7.647,-1.359,-3.866,-5.286,-7.544,0.000,-6.723,41.589,-1.447,23.003,-12.901
72487.595,296.952,0.850,15.207,98.331,92.662,-11.998,-7.135,-5.667,-3.550,-3.239,-8.201,-8.116,-8.457,-6.029,-3.544,-0.527,-8.391,-1.568,-3.030,-5.286,-7.431,0.000,-6.800,41.619,-1.449,23.020,-12.901
