%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73047.955,296.460,0.858,24.728,262.447,259.089,-13.624,-7.135,-6.201,-4.176,-2.375,-9.552,-7.797,-7.923,-6.699,-3.857,-0.844,-7.862,-2.196,-4.285,-4.664,-7.770,0.000,-54.906,5.011,-0.775,-90.057,0.012
73043.923,296.462,0.858,24.736,262.605,258.769,-13.299,-7.023,-5.987,-4.698,-3.023,-8.306,-8.971,-8.351,-7.034,-4.691,-0.738,-7.649,-2.196,-3.867,-4.768,-6.869,0.000,-54.983,5.052,-0.776,-90.073,0.012
73035.860,296.463,0.858,24.734,262.526,258.609,-14.164,-6.912,-5.774,-4.385,-2.915,-8.410,-8.010,-7.709,-6.587,-2.919,-0.738,-7.331,-1.778,-3.762,-4.975,-6.869,0.000,-55.060,5.052,-0.779,-90.041,0.001
73047.955,296.462,0.858,24.728,262.447,258.929,-13.083,-7.692,-5.881,-3.863,-2.915,-8.721,-8.010,-8.137,-6.922,-3.857,0.423,-7.756,-1.778,-3.240,-5.183,-6.869,0.000,-55.194,5.072,-0.780,-90.090,0.012
73039.892,296.462,0.858,24.733,262.526,258.609,-13.408,-7.358,-5.667,-4.281,-2.375,-8.929,-8.651,-7.923,-7.369,-3.752,-0.633,-7.968,-2.510,-3.971,-4.353,-7.883,0.000,-55.214,5.102,-0.782,-90.057,0.001
73043.923,296.462,0.858,24.729,262.447,258.769,-13.516,-7.246,-6.844,-4.385,-2.807,-8.409,-8.224,-7.281,-6.252,-4.274,-0.316,-7.649,-2.091,-3.344,-4.353,-6.081,0.000,-55.291,5.113,-0.785,-90.041,-0.010
73047.955,296.462,0.858,24.721,262.289,258.449,-13.408,-7.246,-5.454,-4.698,-2.807,-8.824,-8.332,-7.923,-6.699,-3.544,-0.422,-7.756,-1.464,-4.180,-5.286,-6.757,0.000,-55.348,5.133,-0.787,-90.073,-0.010
73039.892,296.463,0.858,24.726,262.368,258.769,-13.408,-7.915,-5.988,-4.385,-2.807,-9.032,-8.439,-8.887,-6.922,-3.961,-0.633,-8.287,-1.882,-3.658,-5.286,-7.545,0.000,-55.406,5.153,-0.789,-90.090,0.001
73043.923,296.460,0.858,24.725,262.368,258.929,-12.759,-7.469,-5.988,-4.281,-3.023,-8.824,-8.439,-7.495,-7.144,-4.378,-0.527,-8.606,-2.405,-3.658,-5.079,-7.432,0.000,-55.406,5.153,-0.791,-90.073,0.001
73043.923,296.463,0.858,24.722,262.289,258.609,-13.191,-6.912,-6.309,-4.281,-2.483,-8.824,-7.477,-7.388,-5.805,-3.960,0.106,-7.331,-2.091,-3.449,-4.353,-7.320,0.000,-55.445,5.194,-0.793,-90.073,-0.010
73043.923,296.462,0.858,24.714,262.131,258.609,-13.191,-7.023,-5.988,-4.281,-2.915,-9.135,-8.866,-7.923,-6.474,-4.377,-0.844,-8.181,-1.778,-3.971,-5.286,-7.207,0.000,-55.464,5.194,-0.793,-90.090,0.001
73043.923,296.460,0.858,24.725,262.368,258.449,-14.164,-8.138,-6.309,-4.385,-2.591,-9.032,-8.118,-8.458,-6.809,-3.856,-2.004,-7.861,-2.196,-3.971,-5.286,-7.095,0.000,-55.483,5.163,-0.794,-90.073,0.012
73043.923,296.460,0.858,24.714,262.131,258.929,-12.975,-8.138,-6.309,-3.654,-3.563,-8.824,-8.011,-7.495,-5.916,-3.439,-0.105,-8.286,-2.196,-3.658,-4.872,-7.207,0.000,-55.541,5.184,-0.794,-90.073,0.001
73047.955,296.462,0.858,24.717,262.210,258.449,-13.516,-7.246,-5.774,-4.698,-2.807,-9.343,-8.225,-8.244,-7.256,-3.856,-0.633,-7.861,-2.196,-3.762,-4.664,-7.770,0.000,-55.579,5.163,-0.796,-90.073,0.001
73035.860,296.460,0.858,24.704,261.894,258.449,-13.191,-6.912,-6.202,-4.176,-2.591,-8.616,-8.225,-7.709,-6.251,-4.690,-0.211,-7.861,-2.823,-3.762,-4.768,-7.432,0.000,-55.599,5.163,-0.795,-90.057,0.001
73043.923,296.460,0.858,24.703,261.894,258.289,-14.164,-7.358,-5.881,-5.220,-3.347,-8.824,-7.905,-8.030,-6.474,-3.335,-1.055,-8.073,-2.091,-4.911,-4.354,-6.869,0.000,-55.676,5.133,-0.794,-90.073,0.001
73039.892,296.460,0.858,24.707,261.973,258.609,-13.513,-8.027,-5.881,-4.176,-3.887,-8.824,-8.118,-8.351,-6.698,-3.439,-0.844,-7.861,-2.614,-3.239,-5.390,-7.432,0.000,-55.733,5.113,-0.793,-90.090,-0.010
73039.892,296.458,0.858,24.700,261.815,258.449,-13.513,-7.915,-5.988,-4.281,-2.591,-9.239,-8.332,-7.495,-7.144,-3.439,-0.105,-8.923,-2.509,-3.866,-4.665,-7.320,0.000,-55.772,5.102,-0.791,-90.057,-0.020
73039.892,296.460,0.858,24.704,261.894,258.449,-13.838,-7.023,-6.630,-3.967,-2.159,-9.135,-8.118,-7.388,-6.251,-4.169,-0.316,-7.755,-2.509,-3.866,-4.354,-7.432,0.000,-55.849,5.072,-0.789,-90.041,0.023
73043.923,296.455,0.858,24.703,261.894,258.129,-13.297,-6.354,-5.347,-4.907,-2.915,-8.201,-8.652,-7.816,-6.586,-4.377,-0.738,-8.392,-1.882,-4.284,-5.079,-6.982,0.000,-55.887,5.031,-0.787,-90.073,0.012
73039.892,296.457,0.858,24.700,261.815,258.129,-14.270,-7.692,-6.202,-4.281,-3.455,-9.447,-8.118,-8.565,-6.251,-3.335,-0.844,-7.542,-1.882,-3.344,-4.665,-7.545,0.000,-55.945,5.011,-0.783,-90.090,0.012
73043.923,296.462,0.858,24.695,261.736,258.449,-12.973,-8.361,-5.774,-4.176,-3.131,-8.512,-7.798,-7.173,-7.256,-3.648,-0.211,-8.392,-1.777,-3.448,-4.976,-6.869,0.000,-56.041,4.960,-0.781,-90.073,0.012
73039.892,296.458,0.858,24.696,261.736,258.449,-13.297,-6.577,-5.988,-4.385,-2.915,-9.031,-8.010,-7.709,-6.698,-4.273,-0.949,-7.967,-2.823,-3.866,-4.976,-7.770,0.000,-56.099,4.950,-0.777,-90.073,0.001
73035.860,296.460,0.858,24.697,261.736,258.449,-13.297,-7.023,-5.881,-4.385,-3.347,-8.305,-8.117,-7.602,-6.140,-4.273,0.106,-7.542,-1.359,-4.389,-4.146,-6.757,0.000,-56.176,4.889,-0.774,-90.057,0.023
73039.892,296.458,0.858,24.692,261.657,258.449,-13.622,-6.912,-5.561,-4.803,-2.267,-8.720,-8.117,-8.351,-6.363,-3.335,-1.371,-8.180,-2.405,-4.284,-4.561,-7.545,0.000,-56.253,4.848,-0.770,-90.073,-0.010
73039.892,296.460,0.858,24.692,261.657,258.609,-13.189,-7.692,-6.202,-4.072,-3.347,-8.305,-8.331,-7.709,-6.474,-3.335,0.000,-7.542,-2.509,-3.448,-4.872,-6.532,0.000,-56.311,4.808,-0.767,-90.090,-0.010
73035.860,296.458,0.858,24.689,261.577,258.289,-13.189,-7.135,-5.774,-3.863,-2.699,-9.031,-8.224,-7.709,-7.144,-3.439,-0.738,-8.286,-2.509,-4.180,-4.665,-8.108,0.000,-56.368,4.757,-0.762,-90.073,-0.010
73031.829,296.457,0.858,24.697,261.736,258.449,-13.946,-8.027,-6.630,-4.698,-3.347,-9.239,-8.865,-8.137,-6.698,-4.690,-0.527,-7.648,-2.300,-3.657,-4.665,-7.207,0.000,-56.426,4.716,-0.758,-90.106,-0.010
73035.860,296.457,0.858,24.700,261.815,258.449,-13.405,-6.689,-5.347,-4.907,-3.023,-8.824,-8.331,-7.602,-6.363,-3.856,-0.949,-7.967,-2.196,-5.433,-5.183,-7.545,0.000,-56.503,4.655,-0.756,-90.090,-0.010
73035.860,296.457,0.858,24.697,261.736,258.609,-13.622,-7.469,-5.774,-4.072,-3.131,-8.512,-7.476,-8.565,-6.586,-3.543,-0.844,-7.967,-1.986,-3.135,-4.561,-7.432,0.000,-56.561,4.645,-0.752,-90.073,0.012
73035.860,296.457,0.858,24.682,261.419,258.769,-12.757,-7.469,-5.774,-4.072,-2.267,-8.097,-8.010,-7.495,-6.809,-4.169,-0.211,-7.755,-1.464,-3.449,-4.872,-7.432,0.000,-56.599,4.584,-0.749,-90.090,0.012
73027.798,296.457,0.858,24.691,261.577,258.449,-12.973,-6.800,-7.058,-4.490,-3.347,-9.031,-8.865,-7.495,-6.474,-4.169,-0.949,-7.755,-2.927,-3.762,-4.768,-7.320,0.000,-56.657,4.564,-0.747,-90.057,0.001
73035.860,296.455,0.858,24.689,261.577,258.449,-13.514,-7.023,-5.988,-4.176,-2.915,-8.409,-8.651,-7.923,-6.251,-3.960,-0.316,-7.330,-1.882,-4.285,-4.872,-7.320,0.000,-56.696,4.513,-0.744,-90.073,0.001
73035.860,296.457,0.858,24.689,261.577,258.289,-13.946,-6.577,-5.881,-4.907,-2.915,-8.616,-8.010,-8.458,-6.921,-4.377,-1.898,-8.392,-2.509,-4.076,-4.872,-7.095,0.000,-56.657,4.493,-0.743,-90.073,-0.010
73027.798,296.455,0.858,24.694,261.657,258.449,-13.297,-7.581,-5.881,-4.385,-3.455,-8.720,-8.437,-7.709,-6.809,-3.752,-0.527,-8.392,-2.718,-3.762,-5.701,-7.658,0.000,-56.734,4.442,-0.740,-90.090,0.001
73039.892,296.457,0.858,24.688,261.577,258.129,-13.514,-7.469,-6.523,-4.594,-3.023,-9.239,-8.010,-7.495,-6.809,-3.335,-0.211,-7.436,-1.986,-3.658,-4.561,-7.432,0.000,-56.773,4.411,-0.740,-90.090,0.023
73035.860,296.457,0.858,24.685,261.498,258.289,-13.297,-6.912,-6.095,-4.281,-2.915,-8.824,-7.797,-8.351,-5.358,-4.169,-0.527,-7.755,-2.091,-3.344,-4.872,-6.194,0.000,-56.753,4.391,-0.738,-90.090,0.001
73031.829,296.455,0.858,24.686,261.498,258.289,-14.054,-7.135,-5.774,-5.534,-2.699,-8.824,-8.117,-7.923,-5.916,-3.439,-0.633,-7.436,-2.196,-4.703,-4.561,-7.207,0.000,-56.792,4.350,-0.739,-90.057,0.001
73031.829,296.453,0.858,24.690,261.577,258.449,-13.189,-7.581,-5.881,-4.176,-3.239,-8.824,-8.011,-8.458,-6.921,-3.752,-0.422,-7.967,-2.405,-3.449,-5.494,-6.982,0.000,-56.792,4.310,-0.738,-90.090,0.012
