%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72773.822,295.609,0.858,24.835,264.484,260.447,-13.297,-6.689,-5.026,-3.967,-2.915,-8.928,-8.011,-8.672,-6.922,-4.065,-1.266,-8.181,-1.568,-4.18,-4.872,-6.869,0,18.406,17.415,-0.2,-178.114,-16.957
72777.853,295.607,0.858,24.831,264.405,260.447,-12.649,-8.027,-5.774,-3.863,-3.023,-8.928,-8.011,-7.923,-6.587,-3.648,0.106,-8.074,-1.882,-3.135,-5.286,-6.644,0,18.463,17.425,-0.198,-178.114,-16.957
72781.884,295.607,0.858,24.834,264.484,260.127,-12.432,-7.358,-5.667,-4.176,-3.239,-8.928,-8.866,-7.923,-7.257,-3.857,-0.316,-8.393,-1.673,-3.135,-4.353,-7.658,0,18.521,17.435,-0.197,-178.13,-16.957
72781.884,295.61,0.858,24.83,264.405,260.287,-12.757,-6.466,-6.202,-4.281,-2.375,-8.72,-8.225,-7.709,-6.587,-4.274,-0.211,-7.331,-1.673,-2.822,-4.25,-7.658,0,18.617,17.435,-0.194,-178.098,-16.968
72773.822,295.607,0.858,24.828,264.326,260.287,-12.108,-6.466,-5.133,-4.698,-3.239,-9.031,-8.652,-7.816,-6.587,-4.586,-0.844,-8.287,-1.568,-4.389,-4.768,-7.32,0,18.617,17.435,-0.193,-178.098,-16.979
72777.853,295.609,0.858,24.827,264.326,259.966,-13.838,-7.246,-5.667,-4.281,-3.023,-8.928,-7.798,-8.244,-6.922,-3.752,-1.371,-8.074,-1.778,-4.285,-4.561,-6.531,0,18.714,17.435,-0.191,-178.13,-16.957
72781.884,295.607,0.858,24.826,264.326,260.127,-12.541,-7.135,-5.347,-3.341,-3.131,-8.201,-8.332,-8.137,-6.475,-3.544,-0.105,-7.968,-1.987,-3.24,-5.597,-7.432,0,18.81,17.435,-0.19,-178.098,-16.968
72781.884,295.61,0.858,24.823,264.247,260.287,-12.865,-7.692,-6.202,-4.49,-3.131,-9.447,-8.866,-8.137,-7.927,-4.065,-0.844,-7.543,-1.255,-2.926,-4.353,-7.207,0,18.848,17.446,-0.189,-178.098,-16.957
72777.853,295.61,0.858,24.831,264.405,260.287,-12.432,-5.909,-6.095,-3.654,-2.591,-8.512,-7.37,-7.709,-5.582,-3.44,-0.316,-7.968,-2.3,-3.658,-4.353,-7.432,0,18.887,17.466,-0.187,-178.114,-16.968
72781.884,295.609,0.858,24.819,264.168,260.127,-13.297,-6.912,-5.561,-4.072,-2.807,-7.993,-8.973,-7.816,-5.806,-3.961,-0.105,-7.118,-1.359,-3.553,-4.043,-7.432,0,18.945,17.446,-0.185,-178.13,-16.957
72777.853,295.609,0.858,24.831,264.405,259.966,-13.405,-7.358,-6.095,-4.281,-3.023,-8.824,-8.439,-8.458,-6.81,-3.857,-2.215,-8.181,-1.673,-4.076,-4.768,-6.644,0,18.983,17.446,-0.184,-178.114,-16.968
72777.853,295.61,0.858,24.82,264.168,259.966,-12.216,-7.804,-5.667,-3.863,-3.239,-8.201,-8.439,-7.602,-6.475,-4.065,0.423,-8.073,-1.464,-3.24,-4.872,-7.207,0,18.964,17.415,-0.184,-178.098,-16.968
72781.884,295.609,0.858,24.826,264.326,259.966,-12.324,-7.023,-4.919,-3.863,-2.267,-8.928,-7.798,-8.244,-6.81,-3.648,-0.949,-8.498,-1.569,-3.553,-4.664,-8.558,0,19.022,17.415,-0.182,-178.114,-16.957
