%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73056.017,297.953,0.854,24.992,266.758,267.236,-13.512,-9.140,-7.589,-5.741,-4.210,-9.550,-10.145,-9.632,-8.037,-6.357,-2.742,-10.197,-2.509,-4.807,-7.255,-9.457,0.000,19.536,6.730,0.700,59.819,-30.086
73056.017,297.955,0.854,24.992,266.758,267.396,-14.269,-9.140,-8.231,-6.994,-4.318,-9.861,-10.252,-9.846,-9.154,-5.523,-3.691,-10.303,-3.032,-5.747,-7.048,-9.907,0.000,19.363,6.700,0.700,59.786,-30.086
73060.049,297.955,0.854,24.995,266.837,267.556,-13.296,-9.698,-7.590,-5.741,-3.887,-9.238,-9.504,-9.418,-8.596,-5.002,-2.109,-10.197,-2.718,-4.284,-7.462,-9.569,0.000,19.228,6.680,0.701,59.819,-30.065
73056.017,297.955,0.854,24.996,266.837,267.236,-13.728,-9.475,-8.232,-6.263,-4.858,-10.380,-10.145,-9.311,-8.931,-5.940,-2.004,-9.878,-2.091,-4.180,-6.737,-9.682,0.000,19.055,6.669,0.702,59.770,-30.086
73056.017,297.953,0.854,24.996,266.837,267.556,-12.863,-8.137,-7.911,-5.950,-3.671,-9.653,-10.252,-9.418,-8.261,-6.252,-2.953,-10.303,-3.137,-5.225,-6.944,-9.794,0.000,18.940,6.608,0.703,59.786,-30.075
73068.111,297.952,0.854,24.997,266.916,267.396,-14.269,-9.475,-8.232,-6.889,-4.210,-9.550,-9.825,-9.204,-8.149,-5.523,-3.269,-9.772,-2.091,-5.538,-6.426,-10.020,0.000,18.767,6.558,0.706,59.786,-30.075
73068.111,297.955,0.854,24.994,266.837,267.236,-13.512,-9.809,-8.125,-6.263,-5.074,-9.965,-10.252,-9.311,-8.707,-5.523,-3.374,-10.621,-2.405,-4.389,-6.944,-9.119,0.000,18.632,6.537,0.705,59.803,-30.075
73060.049,297.952,0.854,24.995,266.837,267.236,-13.080,-9.140,-7.483,-6.367,-3.779,-9.653,-10.145,-9.097,-9.265,-5.419,-2.109,-10.515,-2.614,-4.807,-7.048,-10.020,0.000,18.478,6.497,0.706,59.786,-30.086
73068.111,297.953,0.854,24.997,266.916,267.076,-13.404,-8.695,-8.873,-6.158,-4.318,-9.653,-9.932,-9.204,-7.703,-6.148,-2.425,-9.878,-3.032,-4.911,-6.633,-9.457,0.000,18.324,6.466,0.707,59.819,-30.075
73076.174,297.953,0.854,24.996,266.916,267.236,-13.296,-9.029,-7.804,-7.098,-4.642,-9.965,-10.893,-9.739,-8.149,-5.210,-2.953,-10.197,-2.196,-5.852,-6.633,-9.794,0.000,18.093,6.426,0.708,59.803,-30.075
73068.111,297.955,0.854,24.994,266.837,267.236,-13.296,-8.583,-7.697,-6.054,-4.318,-9.134,-9.718,-10.060,-8.484,-5.523,-3.269,-10.621,-2.823,-5.120,-6.944,-9.794,0.000,18.016,6.385,0.708,59.786,-30.065
73068.111,297.953,0.854,24.993,266.837,267.396,-13.512,-9.809,-7.697,-7.202,-4.642,-10.380,-10.145,-8.990,-9.266,-5.523,-2.531,-10.726,-2.509,-4.180,-6.426,-9.569,0.000,17.881,6.334,0.709,59.819,-30.065
73064.080,297.956,0.854,24.991,266.758,267.236,-12.972,-8.472,-8.125,-6.263,-3.995,-10.380,-9.718,-9.311,-8.149,-6.357,-3.585,-10.620,-3.345,-5.120,-6.944,-10.020,0.000,17.785,6.324,0.709,59.803,-30.075
73068.111,297.955,0.854,24.997,266.916,267.236,-13.512,-9.140,-7.804,-6.263,-3.887,-9.965,-10.252,-9.097,-8.038,-5.002,-3.164,-10.408,-2.300,-5.120,-6.944,-8.669,0.000,17.631,6.273,0.710,59.819,-30.086
73072.143,297.955,0.854,24.997,266.916,267.396,-13.836,-8.918,-7.590,-6.367,-4.318,-10.069,-10.145,-10.595,-8.596,-5.523,-3.374,-9.877,-2.927,-5.120,-6.944,-9.682,0.000,17.516,6.232,0.711,59.786,-30.075
73076.174,297.953,0.854,25.000,266.995,267.076,-13.404,-9.475,-7.804,-6.054,-4.318,-9.653,-9.932,-9.739,-8.931,-6.044,-2.847,-10.939,-3.241,-5.225,-7.152,-9.682,0.000,17.419,6.202,0.711,59.770,-30.086
73072.143,297.958,0.854,25.000,266.995,267.236,-13.944,-9.252,-8.766,-6.680,-4.750,-10.588,-10.145,-9.632,-8.261,-6.148,-3.480,-9.877,-3.554,-5.225,-7.048,-9.569,0.000,17.285,6.172,0.711,59.819,-30.075
73072.143,297.953,0.854,24.996,266.916,267.236,-13.404,-8.472,-7.483,-6.472,-4.750,-9.550,-10.572,-9.418,-8.261,-5.940,-3.164,-10.726,-2.927,-5.852,-7.152,-9.907,0.000,17.227,6.141,0.711,59.803,-30.075
73068.111,297.955,0.854,25.001,266.995,267.396,-14.809,-9.252,-8.018,-6.472,-4.210,-9.757,-9.718,-9.739,-8.484,-4.689,-3.269,-10.514,-2.718,-4.180,-6.841,-9.569,0.000,17.111,6.111,0.712,59.819,-30.054
73072.143,297.955,0.854,25.000,266.995,267.236,-12.755,-9.252,-7.590,-6.263,-4.642,-10.069,-9.825,-9.204,-8.484,-5.732,-2.320,-10.726,-2.404,-4.807,-7.152,-9.119,0.000,17.092,6.080,0.711,59.786,-30.086
73068.111,297.956,0.854,24.997,266.916,267.236,-13.512,-8.918,-7.911,-6.263,-4.318,-10.484,-9.504,-9.204,-7.926,-5.940,-2.742,-10.089,-3.450,-4.493,-7.048,-10.132,0.000,16.996,6.060,0.711,59.803,-30.054
73068.111,297.958,0.854,25.001,266.995,267.396,-13.836,-8.472,-7.697,-6.576,-4.858,-9.653,-10.252,-9.311,-7.591,-5.836,-2.953,-9.877,-2.614,-5.120,-6.737,-9.232,0.000,16.957,6.029,0.710,59.770,-30.075
73068.111,297.955,0.854,24.997,266.916,267.236,-14.161,-8.918,-7.911,-6.576,-3.995,-9.238,-10.252,-9.525,-8.484,-5.002,-3.374,-10.195,-2.823,-4.807,-6.841,-9.457,0.000,16.900,5.989,0.709,59.803,-30.054
73068.111,297.955,0.854,24.997,266.916,267.236,-13.080,-9.698,-8.018,-6.054,-4.966,-9.965,-10.465,-9.953,-8.707,-5.732,-2.847,-11.045,-3.659,-5.016,-7.462,-10.020,0.000,16.861,5.958,0.709,59.803,-30.086
73068.111,297.952,0.854,24.997,266.916,267.236,-13.836,-9.252,-8.659,-7.098,-4.210,-11.210,-10.252,-9.418,-8.707,-5.732,-2.953,-10.408,-2.927,-4.702,-7.048,-10.470,0.000,16.842,5.958,0.708,59.803,-30.075
73068.111,297.955,0.854,24.997,266.916,267.076,-13.080,-8.360,-7.590,-5.323,-4.210,-9.238,-10.572,-9.204,-8.038,-6.357,-2.953,-9.877,-2.927,-4.911,-6.841,-9.232,0.000,16.784,5.907,0.707,59.786,-30.065
73060.049,297.953,0.854,25.002,266.995,267.396,-14.161,-9.140,-7.804,-6.680,-4.210,-9.446,-9.825,-8.990,-8.261,-4.794,-3.374,-10.195,-2.823,-5.120,-7.152,-8.781,0.000,16.765,5.897,0.706,59.803,-30.075
73060.049,297.955,0.854,24.999,266.916,267.396,-13.188,-9.475,-7.804,-6.472,-4.750,-10.172,-10.572,-9.846,-8.261,-5.419,-3.164,-10.939,-2.718,-5.016,-7.462,-9.682,0.000,16.765,5.887,0.704,59.803,-30.065
73056.017,297.956,0.854,24.996,266.837,267.556,-12.863,-9.029,-7.911,-6.263,-3.671,-10.380,-10.038,-8.669,-8.261,-5.732,-2.320,-10.408,-2.195,-5.120,-6.841,-10.020,0.000,16.765,5.836,0.704,59.819,-30.086
73064.080,297.955,0.854,25.002,266.995,267.396,-13.620,-8.472,-8.232,-6.472,-4.750,-9.757,-10.679,-9.953,-7.591,-6.878,-2.742,-10.620,-3.345,-5.016,-7.152,-9.007,0.000,16.765,5.826,0.703,59.770,-30.065
73060.049,297.955,0.854,24.995,266.837,267.396,-13.512,-9.252,-7.804,-6.889,-3.671,-9.653,-9.718,-9.418,-8.038,-4.898,-3.480,-9.983,-2.300,-5.538,-7.048,-9.119,0.000,16.707,5.806,0.701,59.786,-30.086
73064.080,297.956,0.854,24.998,266.916,266.916,-13.080,-9.475,-7.911,-6.158,-5.182,-10.069,-10.359,-10.167,-8.819,-5.732,-2.742,-10.620,-2.927,-4.598,-7.566,-9.457,0.000,16.707,5.775,0.701,59.803,-30.075
73060.049,297.955,0.854,24.991,266.758,267.076,-13.404,-9.475,-8.232,-5.741,-4.642,-9.653,-10.359,-8.990,-9.154,-5.419,-3.058,-10.514,-2.823,-5.225,-6.841,-9.682,0.000,16.688,5.755,0.700,59.786,-30.065
73064.080,297.956,0.854,24.994,266.837,267.396,-13.728,-9.252,-8.659,-6.367,-3.887,-10.172,-10.465,-9.953,-8.038,-6.148,-3.269,-10.620,-2.823,-5.120,-6.530,-9.457,0.000,16.688,5.704,0.699,59.786,-30.086
73060.049,297.956,0.854,24.995,266.837,267.556,-13.728,-8.806,-7.803,-7.098,-3.995,-10.069,-10.465,-9.418,-8.261,-5.419,-2.425,-10.514,-2.509,-5.852,-7.255,-9.682,0.000,16.669,5.684,0.698,59.770,-30.054
73056.017,297.958,0.854,25.003,266.995,267.076,-13.404,-9.475,-8.444,-6.263,-5.074,-9.653,-9.825,-10.167,-8.484,-5.627,-2.847,-10.514,-3.136,-4.911,-7.566,-9.457,0.000,16.611,5.674,0.698,59.786,-30.065
73056.017,297.958,0.854,24.999,266.916,267.236,-13.836,-9.809,-8.124,-6.158,-4.534,-10.069,-10.145,-8.990,-9.154,-5.523,-3.058,-11.045,-3.032,-4.389,-7.152,-9.569,0.000,16.611,5.633,0.698,59.819,-30.065
73064.080,297.960,0.854,24.991,266.758,266.916,-13.080,-8.806,-8.444,-6.263,-3.779,-9.965,-9.825,-9.525,-8.261,-6.461,-2.953,-10.514,-3.659,-5.225,-6.944,-9.344,0.000,16.553,5.643,0.696,59.803,-30.065
73064.080,297.958,0.854,24.998,266.916,267.236,-13.404,-8.918,-7.375,-6.576,-4.426,-9.550,-10.572,-9.525,-8.707,-5.419,-2.847,-10.301,-2.404,-5.747,-7.566,-9.344,0.000,16.515,5.613,0.696,59.786,-30.065
73056.017,297.958,0.854,24.996,266.837,267.076,-13.404,-8.918,-7.482,-6.576,-4.534,-9.861,-9.932,-10.488,-8.819,-5.315,-3.480,-10.408,-2.927,-4.702,-7.359,-9.344,0.000,16.476,5.572,0.695,59.803,-30.065
73060.049,297.956,0.854,24.988,266.679,267.236,-13.620,-10.032,-7.910,-6.158,-4.534,-10.069,-10.572,-9.204,-8.819,-5.627,-2.531,-10.620,-2.823,-4.598,-6.115,-9.344,0.000,16.438,5.541,0.695,59.786,-30.075
73051.986,297.960,0.854,24.993,266.758,266.916,-13.944,-8.806,-8.337,-6.472,-4.642,-10.276,-10.465,-9.739,-7.926,-5.419,-3.058,-9.877,-3.554,-4.807,-6.841,-9.457,0.000,16.380,5.541,0.694,59.803,-30.075
73060.049,297.958,0.854,24.995,266.837,267.076,-13.080,-8.472,-7.803,-6.263,-4.210,-8.927,-11.106,-9.632,-7.926,-5.523,-3.269,-9.983,-2.927,-5.643,-7.255,-9.682,0.000,16.342,5.521,0.693,59.770,-30.086
73047.955,297.960,0.854,24.993,266.758,267.236,-14.269,-9.252,-8.017,-6.576,-4.642,-10.484,-9.932,-10.274,-8.707,-5.627,-3.269,-10.195,-3.032,-5.434,-7.462,-10.132,0.000,16.265,5.491,0.692,59.803,-30.054
73068.111,297.955,0.854,24.990,266.758,266.916,-13.512,-10.144,-8.017,-6.263,-4.426,-9.757,-10.038,-9.204,-8.596,-5.627,-2.425,-10.514,-2.614,-4.493,-6.944,-9.457,0.000,16.188,5.460,0.689,59.786,-30.075
73051.986,297.960,0.854,24.993,266.758,267.236,-13.728,-8.806,-8.124,-6.680,-3.887,-10.380,-9.718,-9.204,-8.484,-6.044,-2.320,-9.877,-3.450,-4.911,-7.152,-9.795,0.000,16.091,5.460,0.689,59.786,-30.075
