%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73688.942,297.181,0.864,25.016,270.289,269.134,-9.946,-6.131,-4.491,-4.176,-2.375,-6.539,-8.116,-7.601,-5.136,-2.293,-0.316,-7.116,0.524,-2.403,-4.561,-6.418,0,-12.002,3.421,-0.367,-90.162,-40.008
73692.973,297.184,0.864,25.019,270.368,269.294,-10.379,-5.908,-4.598,-3.967,-2.051,-6.747,-7.048,-8.243,-5.136,-2.189,-0.738,-7.86,0.105,-1.776,-4.561,-6.756,0,-12.117,3.39,-0.369,-90.162,-40.03
73688.942,297.184,0.864,25.023,270.447,269.134,-9.73,-7.022,-5.132,-3.863,-2.915,-6.747,-7.902,-7.494,-5.582,-2.189,0.106,-8.922,0.105,-1.985,-4.457,-6.756,0,-12.271,3.339,-0.373,-90.162,-40.019
73697.005,297.184,0.864,25.022,270.447,268.974,-9.946,-6.354,-5.025,-3.863,-2.051,-7.681,-7.902,-7.173,-5.024,-2.501,0.211,-7.222,-0.418,-1.567,-3.835,-7.769,0,-12.348,3.339,-0.375,-90.162,-40.019
73684.91,297.179,0.864,25.028,270.526,269.134,-9.838,-5.908,-5.132,-3.758,-2.699,-7.058,-7.796,-8.136,-5.247,-3.127,-0.105,-7.116,0.943,-1.985,-4.457,-6.981,0,-12.444,3.329,-0.378,-90.194,-40.019
73688.942,297.184,0.864,25.02,270.368,269.294,-10.595,-5.908,-4.277,-3.758,-1.835,-6.643,-7.796,-7.708,-5.247,-2.189,-1.055,-7.647,0.524,-2.612,-4.043,-7.094,0,-12.56,3.319,-0.381,-90.178,-40.019
73688.942,297.184,0.864,25.02,270.368,269.134,-9.838,-6.688,-4.491,-3.654,-2.915,-7.058,-7.796,-8.136,-5.136,-2.71,0.423,-7.541,-0.314,-1.672,-4.354,-6.531,0,-12.637,3.299,-0.385,-90.162,-40.019
73692.973,297.181,0.864,25.023,270.447,269.294,-9.622,-5.908,-4.918,-3.341,-1.511,-7.681,-8.116,-7.28,-5.582,-2.397,-0.316,-7.116,0.105,-1.881,-4.457,-7.544,0,-12.733,3.278,-0.387,-90.162,-40.019
73688.942,297.181,0.864,25.023,270.447,268.814,-10.054,-6.019,-5.025,-3.654,-2.159,-7.058,-7.262,-7.708,-5.023,-3.544,-0.422,-7.541,0,-2.299,-3.835,-6.305,0,-12.772,3.309,-0.389,-90.178,-39.998
73688.942,297.181,0.864,25.023,270.447,268.974,-10.379,-5.908,-4.491,-5.011,-1.943,-6.747,-7.902,-8.136,-5.358,-2.293,-0.422,-7.647,0,-2.09,-4.146,-6.531,0,-12.849,3.299,-0.392,-90.178,-40.019
73688.942,297.182,0.864,25.02,270.368,268.974,-10.054,-6.242,-4.705,-3.549,-2.591,-6.851,-7.689,-7.922,-5.247,-2.918,-0.633,-8.285,-0.314,-1.776,-5.079,-7.206,0,-12.887,3.309,-0.395,-90.178,-40.019
73684.91,297.179,0.864,25.02,270.368,268.974,-10.487,-7.134,-4.918,-3.863,-2.375,-7.577,-8.116,-7.173,-6.14,-2.606,-0.527,-8.072,0.628,-2.508,-4.146,-7.094,0,-12.945,3.339,-0.397,-90.162,-40.008
73684.91,297.181,0.864,25.024,270.447,269.134,-10.379,-5.908,-5.667,-3.967,-1.943,-7.058,-7.796,-7.28,-5.023,-2.814,-0.422,-8.072,-0.209,-1.881,-4.043,-6.418,0,-12.945,3.349,-0.399,-90.145,-40.019
73676.848,297.182,0.864,25.029,270.526,268.974,-10.379,-5.573,-4.491,-3.967,-2.267,-7.058,-8.543,-7.601,-4.912,-2.293,-0.422,-7.86,0.209,-2.612,-4.354,-6.193,0,-12.945,3.38,-0.4,-90.178,-40.03
73684.91,297.181,0.864,25.024,270.447,268.974,-10.703,-6.688,-5.132,-4.071,-2.699,-7.162,-7.796,-8.243,-5.247,-2.397,-1.055,-7.647,-0.105,-1.776,-4.664,-7.094,0,-12.945,3.4,-0.4,-90.194,-40.03
73684.91,297.181,0.864,25.028,270.526,269.134,-10.162,-6.577,-5.346,-3.967,-2.159,-7.162,-7.902,-7.601,-5.023,-2.606,-0.422,-8.391,0.314,-1.985,-4.249,-6.417,0,-12.926,3.441,-0.402,-90.162,-40.03
73676.848,297.179,0.864,25.022,270.368,269.134,-9.73,-6.019,-5.239,-4.176,-2.159,-8.096,-7.475,-7.494,-5.135,-2.814,-0.527,-7.223,-0.836,-1.985,-4.353,-7.318,0,-12.868,3.482,-0.402,-90.194,-40.041
73680.879,297.178,0.864,25.025,270.447,269.134,-9.622,-6.131,-4.598,-4.176,-2.483,-6.954,-8.757,-7.922,-5.135,-2.814,-0.316,-7.647,0.314,-2.403,-4.768,-6.642,0,-12.829,3.522,-0.403,-90.178,-40.019
73684.91,297.179,0.864,25.02,270.368,268.974,-10.919,-5.908,-4.491,-4.071,-2.483,-6.851,-7.796,-8.029,-5.358,-2.397,-0.738,-7.754,-0.105,-2.09,-4.042,-6.755,0,-12.791,3.573,-0.402,-90.162,-40.019
73676.848,297.181,0.864,25.022,270.368,268.974,-9.189,-6.799,-5.025,-3.549,-2.699,-6.851,-7.368,-7.494,-5.358,-2.71,-0.527,-8.179,0,-1.776,-4.249,-6.98,0,-12.752,3.593,-0.401,-90.162,-40.03
73676.848,297.181,0.864,25.025,270.447,268.974,-9.946,-6.019,-5.346,-4.698,-2.483,-7.992,-7.796,-7.708,-5.582,-3.231,0.106,-7.329,0.209,-2.299,-4.353,-6.98,0,-12.656,3.634,-0.4,-90.162,-40.03
73680.879,297.182,0.864,25.021,270.368,268.974,-10.054,-6.131,-4.491,-3.758,-1.943,-6.643,-8.436,-7.494,-5.023,-2.189,0,-7.435,0.209,-1.985,-4.457,-5.967,0,-12.579,3.664,-0.399,-90.162,-40.019
73680.879,297.179,0.864,25.021,270.368,268.814,-10.162,-6.019,-4.598,-4.071,-2.159,-6.643,-7.262,-7.387,-5.247,-2.293,-0.949,-7.329,0.209,-2.299,-4.146,-6.192,0,-12.541,3.715,-0.397,-90.178,-40.008
73680.879,297.178,0.864,25.021,270.368,269.134,-9.73,-6.131,-5.025,-3.654,-2.915,-7.37,-7.475,-8.029,-5.247,-2.084,-0.211,-7.754,0.209,-1.776,-4.664,-6.867,0,-12.406,3.725,-0.395,-90.162,-40.019
73688.942,297.178,0.864,25.012,270.21,268.974,-10.054,-6.242,-4.704,-3.967,-1.619,-7.162,-7.796,-7.494,-5.582,-2.293,-0.422,-7.966,-0.105,-1.672,-4.146,-7.205,0,-12.31,3.766,-0.392,-90.178,-40.008
73676.848,297.179,0.864,25.014,270.21,268.974,-9.946,-6.242,-5.667,-3.863,-2.483,-6.747,-7.475,-8.029,-4.8,-3.127,-0.105,-7.754,0,-2.299,-3.938,-6.304,0,-12.213,3.776,-0.389,-90.162,-40.019
73684.91,297.178,0.864,25.02,270.368,268.974,-9.838,-6.242,-4.491,-3.863,-2.267,-6.747,-7.689,-6.958,-4.354,-1.668,-0.633,-6.904,0.419,-2.403,-3.938,-6.642,0,-12.117,3.847,-0.387,-90.162,-40.03
