%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
74007.42,298.101,0.865,14.958,96.756,95.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.178,5.121,-0.306,27.975,-16.013
73999.357,298.1,0.865,14.965,96.835,95.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.12,5.09,-0.309,27.991,-16.002
73999.357,298.098,0.865,14.965,96.835,95.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.082,5.06,-0.312,27.991,-15.991
74003.388,298.098,0.865,14.958,96.756,95.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.062,5.039,-0.316,27.975,-16.034
73999.357,298.101,0.865,14.959,96.756,95.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.062,4.999,-0.32,28.024,-16.013
74003.388,298.1,0.865,14.965,96.835,95.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.005,5.009,-0.325,28.007,-16.013
74003.388,298.098,0.865,14.958,96.756,95.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.005,4.978,-0.329,28.007,-16.023
74007.42,298.1,0.865,14.964,96.835,95.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.985,4.968,-0.335,28.007,-15.991
74011.451,298.101,0.865,14.97,96.914,95.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.947,4.968,-0.339,27.991,-16.013
74007.42,298.098,0.865,14.964,96.835,95.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.928,4.958,-0.344,28.007,-16.013
74007.42,298.1,0.865,14.958,96.756,95.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.908,4.948,-0.349,28.007,-16.013
74007.42,298.1,0.865,14.958,96.756,95.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.87,4.938,-0.354,27.991,-16.023
