%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73039.892,296.26,0.859,25.014,268.696,265.222,-13.514,-7.022,-5.881,-3.967,-2.591,-9.03,-7.475,-7.494,-5.806,-4.482,-0.422,-7.541,-2.091,-3.762,-4.872,-7.206,0,-544.798,-289.718,14.557,-89.846,-18.827
73043.923,296.263,0.859,25.017,268.775,265.062,-13.298,-7.245,-5.667,-4.593,-3.131,-8.615,-8.436,-7.387,-6.587,-3.648,-0.105,-8.072,-1.986,-4.389,-4.146,-6.643,0,-544.798,-289.718,14.557,-89.878,-18.827
73039.892,296.26,0.859,25.014,268.696,265.062,-12.757,-7.022,-5.132,-3.549,-2.699,-8.408,-7.475,-8.35,-6.922,-4.065,-0.844,-7.541,-1.986,-3.344,-4.561,-7.319,0,-544.798,-289.718,14.557,-89.878,-18.827
73035.86,296.263,0.859,25.018,268.775,265.062,-13.514,-8.583,-5.774,-4.28,-2.483,-9.238,-7.689,-7.28,-7.034,-3.231,-0.105,-8.072,-1.568,-3.239,-4.25,-7.319,0,-544.798,-289.718,14.557,-89.895,-18.817
73039.892,296.263,0.859,25.014,268.696,265.222,-13.19,-6.799,-6.094,-4.176,-2.591,-9.238,-8.223,-7.28,-6.252,-4.169,-0.738,-7.329,-2.613,-3.762,-4.665,-7.769,0,-544.798,-289.718,14.557,-89.895,-18.849
73043.923,296.262,0.859,25.017,268.775,264.902,-13.838,-7.468,-6.201,-4.489,-2.807,-9.03,-8.97,-7.708,-6.699,-4.065,0,-7.86,-1.464,-4.389,-4.354,-6.868,0,-544.798,-289.718,14.557,-89.927,-18.827
73039.892,296.263,0.859,25.018,268.775,264.742,-13.514,-7.245,-5.453,-3.863,-2.591,-8.719,-7.582,-8.243,-6.587,-3.648,-0.633,-7.329,-1.464,-3.344,-4.457,-6.756,0,-544.798,-289.718,14.557,-89.862,-18.838
73043.923,296.26,0.859,25.024,268.933,265.222,-12.217,-7.468,-5.881,-3.341,-2.375,-8.511,-7.048,-7.815,-6.699,-3.752,0.106,-8.285,-2.195,-3.553,-5.287,-7.319,0,-544.798,-289.718,14.557,-89.895,-18.827
73043.923,296.265,0.859,25.017,268.775,265.062,-13.406,-7.134,-5.881,-4.28,-2.807,-9.238,-8.223,-8.029,-6.698,-4.377,-1.16,-8.178,-2.091,-3.866,-5.079,-7.882,0,-544.798,-289.718,14.557,-89.911,-18.827
73043.923,296.262,0.859,25.013,268.696,265.222,-13.406,-7.134,-6.094,-4.28,-2.915,-8.304,-7.902,-7.922,-6.251,-4.586,0,-7.435,-1.673,-3.448,-4.665,-6.418,0,-544.798,-289.718,14.557,-89.878,-18.849
