%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73318.056,295.136,0.865,25.174,274.223,161.891,-13.514,-7.804,-6.629,-4.803,-3.455,-8.823,-8.970,-8.243,-6.252,-5.212,-0.844,-8.498,-2.300,-4.284,-5.286,-7.994,0.000,-18.007,21.643,-0.096,38.011,-164.006
73326.119,295.136,0.866,25.180,274.381,161.570,-14.054,-8.138,-6.415,-5.847,-3.347,-9.446,-8.757,-8.564,-7.145,-3.857,-1.371,-7.967,-1.568,-4.807,-5.079,-7.431,0.000,-18.065,21.663,-0.097,38.011,-164.006
73318.056,295.138,0.865,25.189,274.539,161.410,-13.298,-8.027,-6.414,-3.968,-3.671,-9.238,-8.543,-8.671,-6.810,-4.169,-1.477,-8.498,-2.405,-3.971,-5.908,-7.544,0.000,-18.219,21.633,-0.097,38.027,-163.985
73326.119,295.139,0.866,25.184,274.460,161.410,-13.730,-8.027,-6.521,-4.803,-3.239,-9.549,-8.650,-8.457,-7.704,-4.274,-1.371,-9.136,-2.196,-4.598,-5.390,-7.769,0.000,-18.334,21.623,-0.099,38.027,-163.995
73330.150,295.138,0.866,25.186,274.539,161.410,-13.730,-7.246,-7.269,-5.325,-3.455,-9.861,-9.184,-8.243,-7.034,-5.212,-1.582,-8.604,-3.346,-4.807,-5.494,-7.769,0.000,-18.469,21.613,-0.099,38.011,-163.995
73318.056,295.139,0.865,25.185,274.460,161.090,-14.162,-8.250,-6.949,-5.220,-3.455,-8.928,-9.077,-8.243,-6.699,-4.586,-0.844,-8.392,-2.405,-4.807,-5.805,-7.994,0.000,-18.680,21.633,-0.101,38.011,-163.985
73330.150,295.136,0.866,25.179,274.381,160.930,-14.271,-8.138,-6.521,-5.534,-3.779,-9.551,-8.863,-8.885,-7.145,-4.378,-1.266,-8.392,-2.614,-4.075,-5.494,-7.769,0.000,-18.777,21.633,-0.103,38.011,-163.995
73322.087,295.136,0.865,25.188,274.539,160.770,-13.298,-8.807,-6.521,-4.803,-3.671,-8.824,-8.223,-8.350,-7.369,-4.795,-1.266,-9.136,-2.823,-4.284,-5.494,-8.107,0.000,-18.988,21.602,-0.106,37.978,-163.974
73322.087,295.138,0.865,25.184,274.460,159.969,-14.162,-7.915,-7.376,-4.803,-2.915,-10.485,-8.757,-8.564,-7.814,-5.316,-1.160,-8.923,-2.718,-4.493,-5.390,-8.219,0.000,-19.123,21.613,-0.108,38.011,-163.995
73322.087,295.138,0.865,25.184,274.460,160.290,-13.838,-7.692,-7.376,-4.594,-3.455,-9.551,-9.184,-8.671,-6.809,-5.524,-1.160,-8.604,-2.300,-4.284,-6.323,-8.107,0.000,-19.277,21.592,-0.110,37.994,-163.995
