%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73060.049,298.027,0.854,24.982,266.492,200.329,-11.024,-5.796,-5.558,-4.072,-2.699,-7.265,-8.969,-7.492,-5.805,-3.230,-0.633,-7.646,0.105,-2.612,-4.871,-6.867,0.000,-1.015,-4.950,0.600,-69.997,-160.418
73060.049,298.029,0.854,24.982,266.492,200.169,-12.105,-6.577,-5.238,-3.967,-2.915,-7.369,-7.688,-8.348,-6.140,-3.126,-0.843,-7.965,-0.627,-2.403,-5.079,-7.318,0.000,-1.053,-4.950,0.600,-69.997,-160.418
73056.017,298.031,0.854,24.983,266.492,200.009,-10.700,-7.580,-5.879,-4.072,-3.023,-7.576,-7.688,-7.171,-6.140,-2.918,-0.316,-8.496,-0.314,-2.612,-4.560,-7.093,0.000,-1.072,-4.960,0.599,-69.997,-160.429
73060.049,298.027,0.854,24.974,266.334,200.169,-11.024,-6.465,-5.558,-3.654,-2.159,-7.680,-7.474,-7.064,-5.470,-3.126,-0.527,-7.328,-0.523,-1.881,-4.353,-6.642,0.000,-1.149,-4.970,0.600,-69.997,-160.397
73060.049,298.029,0.854,24.978,266.413,199.689,-11.240,-6.688,-5.451,-4.072,-2.591,-7.576,-8.649,-7.813,-6.028,-3.960,-0.633,-7.859,-0.627,-2.926,-5.182,-6.642,0.000,-1.130,-4.950,0.600,-69.997,-160.407
73056.017,298.029,0.854,24.979,266.413,199.689,-12.537,-6.688,-5.131,-4.698,-2.375,-7.161,-7.367,-8.134,-6.140,-2.709,-1.160,-7.434,-0.523,-2.299,-4.560,-6.417,0.000,-1.169,-4.950,0.601,-70.013,-160.429
73056.017,298.027,0.854,24.971,266.255,199.689,-10.376,-6.688,-5.024,-3.967,-2.699,-7.369,-7.047,-7.706,-5.805,-3.022,0.000,-7.753,-0.627,-2.403,-4.768,-6.980,0.000,-1.226,-4.960,0.601,-69.997,-160.418
73060.049,298.029,0.854,24.974,266.334,199.528,-10.808,-6.019,-5.772,-4.594,-1.511,-8.095,-7.688,-7.278,-6.586,-3.752,-0.633,-7.753,-0.941,-2.612,-4.871,-7.543,0.000,-1.265,-4.950,0.600,-69.997,-160.450
73064.080,298.031,0.854,24.978,266.413,199.368,-10.916,-6.242,-5.131,-4.072,-2.267,-7.161,-7.795,-7.492,-5.134,-3.126,0.000,-7.646,-0.105,-1.985,-5.079,-6.417,0.000,-1.323,-4.919,0.601,-69.981,-160.429
73060.049,298.027,0.854,24.978,266.413,199.368,-12.105,-6.131,-4.703,-4.072,-2.267,-7.265,-7.154,-7.813,-5.358,-2.293,-0.949,-7.222,-0.523,-1.881,-4.146,-6.642,0.000,-1.323,-4.909,0.601,-69.997,-160.407
73064.080,298.029,0.854,24.970,266.255,199.368,-10.808,-6.800,-5.024,-3.758,-2.915,-7.265,-7.688,-7.599,-6.251,-3.439,-0.422,-8.071,-1.045,-2.194,-4.768,-7.318,0.000,-1.400,-4.909,0.601,-69.981,-160.440
73056.017,298.029,0.854,24.979,266.413,198.888,-10.916,-6.242,-5.665,-4.072,-2.051,-7.888,-7.901,-7.492,-6.027,-2.918,-0.422,-7.540,-1.150,-2.821,-4.664,-7.543,0.000,-1.438,-4.909,0.603,-70.013,-160.418
73064.080,298.031,0.854,24.978,266.413,198.728,-11.457,-5.685,-5.131,-3.758,-2.375,-6.954,-8.008,-7.492,-5.358,-3.022,-0.211,-7.540,-0.209,-2.090,-4.560,-6.530,0.000,-1.554,-4.859,0.602,-69.981,-160.418
73064.080,298.031,0.854,24.978,266.413,198.728,-11.024,-6.800,-5.131,-4.072,-2.267,-7.680,-7.474,-7.492,-5.692,-3.022,-0.949,-7.646,-0.627,-2.717,-4.560,-6.755,0.000,-1.592,-4.869,0.601,-69.981,-160.429
73064.080,298.029,0.854,24.978,266.413,198.568,-10.700,-7.246,-5.238,-4.072,-3.239,-7.576,-7.581,-7.599,-6.251,-2.918,-0.316,-8.496,-0.523,-2.090,-5.493,-6.755,0.000,-1.669,-4.848,0.601,-69.981,-160.429
73072.143,298.029,0.854,24.980,266.492,198.408,-10.700,-6.354,-5.238,-3.758,-2.267,-8.095,-7.688,-7.385,-6.027,-3.126,-0.738,-7.115,-0.941,-2.926,-4.975,-7.767,0.000,-1.746,-4.838,0.601,-70.030,-160.418
73072.143,298.026,0.854,24.976,266.413,198.568,-11.024,-5.908,-5.131,-3.758,-2.375,-7.472,-8.008,-7.599,-5.469,-3.335,-0.316,-7.115,-0.314,-2.403,-4.457,-6.191,0.000,-1.842,-4.828,0.600,-70.013,-160.429
73064.080,298.026,0.854,24.974,266.334,198.408,-11.240,-6.354,-4.703,-4.176,-2.591,-7.057,-7.474,-7.813,-5.469,-2.605,-1.371,-7.965,-0.732,-3.030,-5.079,-7.204,0.000,-1.881,-4.808,0.599,-69.981,-160.429
73072.143,298.029,0.854,24.972,266.334,198.088,-10.700,-7.134,-5.879,-4.280,-3.563,-7.784,-8.115,-8.134,-6.585,-3.335,-0.316,-8.390,-0.732,-2.403,-5.597,-6.979,0.000,-1.938,-4.808,0.599,-69.981,-160.418
73068.111,298.029,0.854,24.981,266.492,197.767,-11.457,-5.796,-5.451,-4.280,-2.267,-8.199,-7.688,-7.920,-6.251,-3.022,0.106,-7.859,-0.418,-2.403,-4.249,-7.542,0.000,-2.035,-4.808,0.597,-69.981,-160.397
73068.111,298.029,0.854,24.977,266.413,197.767,-10.700,-5.796,-5.558,-3.653,-1.943,-6.746,-7.688,-7.278,-5.358,-3.752,0.106,-7.115,-0.209,-2.821,-4.560,-6.304,0.000,-2.073,-4.798,0.596,-70.030,-160.407
73076.174,298.029,0.854,24.979,266.492,197.927,-11.889,-6.465,-4.810,-4.593,-2.807,-7.576,-8.008,-8.241,-5.581,-2.918,-1.160,-7.540,-0.627,-2.926,-4.664,-6.754,0.000,-2.169,-4.787,0.594,-69.981,-160.418
