%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72822.198,297.316,0.853,14.821,93.719,93.759,-13.298,-8.583,-6.414,-4.489,-3.455,-9.342,-8.009,-7.813,-7.144,-4.586,-1.160,-9.028,-2.509,-3.658,-5.286,-7.655,0.000,10.644,19.254,0.791,213.079,-47.544
72822.198,297.316,0.853,14.827,93.798,93.439,-14.271,-7.468,-6.949,-4.907,-2.591,-9.861,-7.689,-7.385,-6.475,-4.065,-0.738,-7.966,-3.032,-4.180,-5.286,-7.768,0.000,10.760,19.243,0.788,213.111,-47.544
72826.229,297.316,0.853,14.827,93.798,93.599,-13.190,-7.580,-6.201,-5.011,-3.023,-8.615,-8.864,-8.562,-6.698,-4.065,-1.687,-8.603,-2.404,-5.121,-5.182,-7.768,0.000,10.837,19.203,0.786,213.128,-47.555
72818.167,297.318,0.853,14.828,93.798,93.599,-14.271,-8.360,-5.987,-4.593,-3.131,-9.031,-8.116,-8.776,-7.368,-4.273,-1.476,-8.285,-2.195,-3.658,-5.079,-7.993,0.000,10.894,19.162,0.785,213.111,-47.534
72826.229,297.315,0.853,14.827,93.798,93.599,-12.325,-8.583,-6.414,-4.280,-3.347,-8.719,-8.223,-7.920,-7.144,-4.273,-0.633,-8.603,-2.823,-4.285,-5.079,-7.768,0.000,10.971,19.121,0.783,213.111,-47.555
72818.167,297.316,0.853,14.828,93.798,93.599,-13.514,-7.803,-6.628,-4.385,-2.807,-9.550,-8.330,-7.706,-6.475,-4.169,-0.738,-7.860,-2.823,-3.971,-5.389,-7.881,0.000,11.068,19.071,0.780,213.111,-47.544
72822.198,297.318,0.853,14.828,93.798,93.759,-13.838,-7.245,-5.880,-4.280,-2.807,-8.927,-8.436,-7.920,-6.698,-3.856,-0.738,-7.860,-2.091,-4.494,-4.664,-7.655,0.000,11.145,19.030,0.780,213.079,-47.534
72822.198,297.313,0.853,14.827,93.798,93.439,-14.271,-7.691,-6.414,-4.593,-2.159,-8.615,-7.902,-8.562,-6.810,-3.544,-1.160,-8.603,-2.718,-3.762,-6.011,-7.768,0.000,11.222,18.969,0.778,213.111,-47.555
72822.198,297.318,0.853,14.828,93.798,93.599,-14.055,-8.695,-6.628,-5.011,-3.131,-9.134,-8.009,-8.027,-7.255,-4.065,-0.316,-9.559,-1.986,-3.971,-5.286,-7.430,0.000,11.279,18.928,0.777,213.111,-47.544
72818.167,297.315,0.853,14.828,93.798,93.439,-13.514,-7.691,-6.949,-5.011,-3.239,-9.446,-8.543,-8.241,-7.143,-4.689,-0.633,-8.178,-3.450,-4.389,-5.079,-8.218,0.000,11.356,18.857,0.777,213.111,-47.534
72834.292,297.311,0.853,14.826,93.798,93.599,-14.163,-7.245,-6.094,-5.220,-3.023,-9.238,-8.864,-8.134,-6.697,-4.481,-1.371,-8.603,-2.300,-4.807,-5.079,-6.980,0.000,11.414,18.796,0.775,213.095,-47.555
72826.229,297.316,0.853,14.840,93.956,93.759,-14.055,-8.026,-6.628,-4.698,-3.455,-9.031,-7.902,-8.883,-6.920,-4.585,-2.003,-8.390,-2.823,-4.180,-4.975,-7.768,0.000,11.530,18.715,0.776,213.111,-47.544
72830.261,297.318,0.853,14.833,93.877,93.439,-13.622,-9.252,-6.521,-4.176,-3.563,-9.342,-8.223,-8.348,-7.478,-4.273,-1.160,-8.921,-2.718,-4.076,-5.286,-7.768,0.000,11.530,18.664,0.776,213.095,-47.555
