%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72785.916,297.927,0.851,25.007,266.128,265.234,-14.487,-7.580,-6.414,-5.115,-2.375,-9.031,-8.223,-8.241,-6.698,-4.273,-1.371,-8.285,-2.927,-4.389,-4.975,-7.768,0.000,15.696,20.036,-1.691,210.001,-47.519
72777.853,297.929,0.851,25.013,266.207,265.394,-13.514,-8.249,-6.735,-4.280,-3.563,-9.031,-7.796,-8.348,-6.921,-3.856,-0.422,-8.816,-1.673,-3.762,-5.389,-6.642,0.000,15.715,20.036,-1.688,210.017,-47.519
72777.853,297.927,0.851,25.009,266.128,265.234,-13.190,-7.245,-5.666,-4.698,-2.591,-9.861,-8.330,-7.813,-6.363,-4.065,-0.738,-7.966,-2.613,-3.971,-4.871,-8.669,0.000,15.696,20.036,-1.687,209.968,-47.497
72785.916,297.927,0.851,25.011,266.207,265.074,-14.271,-8.026,-6.094,-4.698,-2.375,-8.927,-8.436,-7.599,-6.698,-4.482,-0.844,-7.647,-2.195,-4.285,-4.975,-6.867,0.000,15.696,20.036,-1.684,210.001,-47.519
72773.822,297.927,0.851,25.006,266.049,265.074,-14.379,-7.580,-5.987,-4.907,-3.131,-8.719,-8.009,-8.562,-6.698,-4.169,-1.582,-7.754,-2.300,-4.076,-4.975,-7.543,0.000,15.677,20.036,-1.680,210.001,-47.508
72785.916,297.931,0.851,25.008,266.128,265.234,-12.974,-8.918,-5.987,-4.489,-3.023,-8.823,-7.582,-7.599,-6.475,-3.648,-0.105,-8.391,-2.091,-3.762,-5.286,-7.655,0.000,15.677,20.016,-1.679,210.001,-47.519
72785.916,297.929,0.851,25.011,266.207,265.394,-13.406,-7.468,-6.842,-4.489,-3.563,-10.276,-8.650,-8.669,-7.479,-4.794,-0.844,-8.816,-3.136,-4.285,-5.493,-8.556,0.000,15.715,20.026,-1.676,210.001,-47.508
72785.916,297.927,0.851,25.011,266.207,265.234,-14.055,-7.580,-6.307,-4.489,-2.591,-8.615,-8.864,-7.813,-6.698,-4.065,-0.949,-8.285,-1.568,-4.285,-5.493,-7.543,0.000,15.658,20.036,-1.673,210.001,-47.519
72777.853,297.929,0.851,25.009,266.128,265.234,-14.055,-7.580,-5.773,-4.071,-2.591,-9.342,-8.116,-8.883,-6.586,-4.377,-1.055,-8.497,-2.718,-4.180,-5.493,-7.768,0.000,15.658,20.036,-1.673,210.017,-47.519
72781.884,297.932,0.851,25.012,266.207,265.234,-13.298,-9.363,-6.414,-4.907,-3.347,-9.031,-9.184,-7.920,-7.368,-4.376,-0.949,-8.922,-2.300,-4.285,-5.493,-7.993,0.000,15.677,20.036,-1.671,210.001,-47.519
72769.790,297.929,0.851,25.007,266.049,265.234,-13.730,-7.803,-6.521,-4.489,-2.699,-9.342,-8.009,-7.920,-5.917,-4.480,-0.949,-7.966,-2.823,-4.494,-5.597,-7.881,0.000,15.658,20.005,-1.670,209.985,-47.508
