%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73664.754,297.024,0.864,25.026,270.562,264.891,-11.458,-7.468,-5.559,-5.533,-3.023,-7.785,-8.863,-8.243,-6.921,-3.022,-2.109,-8.497,-1.359,-3.866,-5.287,-7.206,0,-32.037,-3.205,0.243,179.982,-36.975
73676.848,297.024,0.864,25.031,270.72,265.211,-11.674,-8.249,-6.2,-4.593,-3.671,-8.304,-8.65,-8.564,-6.363,-3.335,-1.16,-8.922,-1.359,-3.03,-6.219,-8.22,0,-31.999,-3.155,0.242,179.998,-36.965
73676.848,297.026,0.864,25.035,270.799,264.731,-12.107,-8.137,-6.094,-5.742,-3.455,-8.927,-9.077,-8.457,-7.591,-3.856,-2.109,-8.922,-1.255,-3.239,-5.287,-8.22,0,-31.999,-3.155,0.24,179.982,-36.975
73668.785,297.026,0.864,25.033,270.72,265.211,-11.242,-7.245,-6.415,-4.907,-3.239,-8.2,-8.65,-8.243,-5.916,-3.856,-1.371,-9.028,-1.777,-3.344,-6.012,-7.544,0,-32.018,-3.114,0.236,179.965,-36.975
73668.785,297.026,0.864,25.029,270.641,264.891,-11.566,-7.468,-5.239,-5.846,-3.455,-8.096,-9.397,-8.136,-6.363,-3.752,-1.582,-8.709,-1.046,-3.657,-6.012,-7.769,0,-31.979,-3.063,0.233,180.014,-36.986
73668.785,297.028,0.864,25.033,270.72,264.731,-11.566,-7.357,-6.201,-4.907,-3.563,-9.134,-9.291,-9.635,-7.144,-3.752,-1.793,-9.347,-1.568,-3.239,-6.116,-7.994,0,-31.979,-3.053,0.23,179.982,-36.975
73672.816,297.026,0.864,25.028,270.641,265.051,-11.674,-8.694,-6.843,-4.802,-2.915,-7.889,-8.436,-7.815,-7.033,-3.439,-0.633,-8.816,-0.627,-2.508,-4.561,-7.544,0,-31.979,-3.023,0.227,179.998,-36.975
73676.848,297.028,0.864,25.028,270.641,265.051,-11.566,-6.911,-6.629,-5.011,-3.131,-8.927,-9.077,-8.35,-6.475,-3.96,-2.004,-8.922,-1.673,-3.135,-4.976,-8.107,0,-31.999,-2.992,0.222,179.965,-36.965
73672.816,297.024,0.864,25.028,270.641,264.731,-11.242,-7.022,-6.308,-5.22,-3.239,-8.096,-9.077,-8.35,-6.251,-3.648,-1.266,-8.709,-0.732,-3.239,-6.012,-7.544,0,-31.96,-2.962,0.218,179.998,-36.997
73668.785,297.029,0.864,25.022,270.483,265.051,-11.999,-7.022,-6.201,-5.115,-3.239,-8.304,-8.65,-8.136,-6.14,-2.918,-1.793,-8.391,-0.836,-3.03,-4.976,-7.431,0,-31.941,-2.911,0.214,179.965,-36.997
73680.879,297.031,0.864,25.016,270.404,264.891,-11.134,-8.472,-6.201,-5.324,-3.887,-8.719,-8.757,-8.671,-6.475,-3.96,-1.371,-9.347,-1.255,-3.762,-6.116,-7.769,0,-31.999,-2.89,0.209,179.982,-36.986
73668.785,297.031,0.864,25.018,270.404,265.211,-11.999,-7.357,-6.629,-4.907,-2.699,-8.927,-9.184,-8.778,-6.586,-3.96,-1.371,-8.603,-1.464,-3.239,-5.39,-7.769,0,-31.96,-2.88,0.204,179.982,-36.986
73672.816,297.029,0.864,25.018,270.404,264.731,-11.026,-6.8,-6.522,-4.698,-3.023,-7.577,-9.291,-8.136,-6.475,-4.482,-0.949,-8.71,-1.046,-3.657,-5.494,-7.769,0,-31.941,-2.84,0.199,179.982,-36.975
73672.816,297.029,0.864,25.014,270.325,265.051,-12.323,-7.468,-6.522,-5.22,-3.887,-8.2,-8.65,-8.671,-6.475,-3.648,-2.214,-8.603,-0.627,-3.448,-5.183,-7.657,0,-31.96,-2.809,0.195,179.998,-36.975
73672.816,297.028,0.864,25.021,270.483,265.051,-11.134,-7.468,-6.522,-4.698,-3.671,-8.2,-8.65,-8.457,-6.363,-3.544,-1.476,-9.241,-1.359,-3.762,-6.322,-7.994,0,-31.902,-2.789,0.189,179.982,-36.975
73676.848,297.031,0.864,25.017,270.404,265.211,-11.782,-7.58,-6.201,-5.011,-2.807,-8.615,-8.65,-8.136,-6.698,-3.022,-0.422,-8.179,-0.627,-2.612,-4.457,-7.43,0,-31.883,-2.758,0.184,179.982,-36.986
73672.816,297.031,0.864,25.01,270.246,264.891,-10.701,-6.131,-6.415,-4.698,-2.915,-7.889,-8.863,-8.457,-6.028,-4.273,-1.476,-9.028,-1.359,-3.762,-5.804,-7.993,0,-31.864,-2.728,0.18,179.965,-36.975
73680.879,297.032,0.864,25.016,270.404,264.891,-11.89,-7.914,-6.094,-6.055,-3.023,-8.096,-9.397,-8.778,-6.14,-2.814,-1.476,-8.603,-0.732,-4.075,-5.286,-7.543,0,-31.825,-2.687,0.176,179.982,-36.986
73684.91,297.032,0.864,25.008,270.246,264.891,-11.89,-7.468,-6.094,-4.593,-3.131,-8.304,-8.436,-8.778,-5.693,-3.335,-1.793,-8.816,-1.673,-3.344,-6.011,-7.543,0,-31.864,-2.657,0.169,179.998,-36.975
73680.879,297.031,0.864,25.009,270.246,264.731,-11.782,-7.914,-6.201,-4.698,-3.239,-8.096,-8.33,-8.243,-6.586,-3.439,-1.16,-8.71,-0.836,-2.926,-5.079,-7.993,0,-31.787,-2.647,0.166,179.998,-36.986
73688.942,297.031,0.864,25.008,270.246,265.371,-11.674,-7.357,-6.95,-5.846,-3.239,-8.511,-8.757,-8.778,-6.475,-4.377,-2.004,-8.816,-1.777,-3.866,-6.011,-8.218,0,-31.768,-2.626,0.161,179.982,-36.965
73680.879,297.032,0.864,25.016,270.404,265.531,-12.215,-7.58,-6.201,-5.533,-3.347,-7.889,-9.504,-8.243,-5.805,-3.439,-1.265,-8.603,-0.836,-4.075,-5.286,-7.993,0,-31.729,-2.586,0.156,179.982,-36.965
73684.91,297.031,0.864,25.008,270.246,265.371,-11.674,-7.134,-5.774,-5.22,-3.563,-7.992,-8.543,-8.993,-6.698,-3.335,-1.793,-9.241,-1.882,-3.239,-5.804,-7.881,0,-31.691,-2.575,0.152,179.998,-36.997
73684.91,297.032,0.864,25.001,270.088,265.051,-11.35,-8.026,-6.201,-4.907,-3.131,-8.408,-8.757,-8.35,-6.586,-3.127,-0.844,-9.666,-1.046,-3.135,-5.597,-7.881,0,-31.652,-2.555,0.149,179.982,-36.997
73688.942,297.031,0.864,25.008,270.246,265.211,-11.566,-7.468,-6.736,-5.324,-3.347,-9.03,-9.397,-8.885,-6.14,-4.169,-1.898,-9.347,-1.777,-4.075,-6.426,-8.781,0,-31.595,-2.555,0.144,179.982,-36.954
73697.005,297.032,0.864,24.999,270.088,265.531,-11.566,-7.357,-5.988,-4.907,-2.807,-7.577,-8.863,-8.243,-5.582,-3.648,-1.16,-8.71,-0.418,-3.553,-5.597,-7.318,0,-31.537,-2.525,0.141,179.982,-36.975
73692.973,297.032,0.864,25,270.088,265.531,-11.566,-7.357,-6.308,-4.907,-2.807,-7.577,-8.436,-8.35,-5.805,-2.814,-2.004,-8.922,-1.15,-3.762,-5.389,-7.881,0,-31.498,-2.514,0.137,179.982,-36.954
73692.973,297.032,0.864,25,270.088,265.371,-11.458,-7.691,-6.094,-5.011,-3.563,-7.992,-8.436,-7.708,-5.917,-3.856,-0.844,-8.71,-1.777,-3.239,-5.804,-8.444,0,-31.421,-2.494,0.134,179.998,-36.965
73697.005,297.032,0.864,24.999,270.088,265.531,-11.134,-7.022,-6.201,-5.115,-3.455,-8.615,-8.543,-8.029,-6.921,-3.752,-0.949,-8.816,-1.568,-3.553,-5.908,-8.556,0,-31.344,-2.484,0.131,179.982,-36.975
73692.973,297.031,0.864,25,270.088,265.371,-11.242,-6.911,-6.415,-4.907,-3.023,-7.889,-8.543,-8.564,-5.693,-4.169,-1.16,-8.71,-1.568,-3.448,-5.389,-7.881,0,-31.248,-2.504,0.128,179.982,-36.965
73688.942,297.032,0.864,25,270.088,265.691,-11.782,-7.245,-6.201,-5.951,-3.239,-7.889,-9.397,-8.778,-6.586,-3.96,-2.109,-9.134,-1.568,-4.389,-5.597,-7.543,0,-31.19,-2.504,0.126,179.998,-36.975
73688.942,297.031,0.864,24.997,270.009,265.691,-11.999,-7.357,-5.667,-4.907,-3.239,-7.889,-8.116,-9.1,-6.251,-3.022,-1.055,-8.497,-1.464,-3.239,-6.011,-7.655,0,-31.094,-2.494,0.124,179.965,-36.975
73697.005,297.032,0.864,24.999,270.088,265.691,-11.458,-8.694,-6.094,-4.802,-3.455,-8.304,-8.863,-8.35,-6.921,-3.856,-1.793,-9.241,-1.464,-3.657,-6.011,-8.444,0,-30.959,-2.514,0.123,179.982,-36.975
73688.942,297.028,0.864,25,270.088,265.851,-11.35,-7.022,-6.736,-4.802,-2.483,-8.304,-8.65,-8.029,-5.693,-3.856,-1.371,-8.71,-2.405,-3.239,-5.7,-7.881,0,-30.882,-2.525,0.12,179.982,-36.986
