%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72785.916,297.565,0.852,14.988,95.710,95.045,-13.730,-7.914,-5.773,-4.802,-2.699,-9.134,-8.543,-8.027,-7.814,-4.273,-0.949,-8.710,-2.091,-3.971,-4.975,-7.543,0.000,14.231,0.355,-0.550,-89.586,-47.562
72789.947,297.563,0.852,14.981,95.631,95.205,-13.730,-7.468,-7.056,-4.593,-2.915,-8.927,-8.330,-7.813,-6.140,-4.690,-0.949,-7.647,-3.136,-3.971,-5.182,-7.655,0.000,14.212,0.385,-0.548,-89.603,-47.551
72789.947,297.563,0.852,14.981,95.631,95.045,-13.947,-7.580,-6.307,-5.637,-3.347,-9.031,-8.650,-8.455,-6.698,-4.169,-1.160,-8.816,-2.509,-4.807,-5.597,-7.881,0.000,14.250,0.426,-0.546,-89.570,-47.583
72785.916,297.561,0.852,14.982,95.631,95.205,-13.622,-8.026,-5.880,-4.176,-3.239,-8.927,-7.796,-8.562,-6.810,-3.544,-0.949,-8.497,-2.404,-4.076,-5.389,-7.318,0.000,14.212,0.446,-0.545,-89.586,-47.562
72793.979,297.565,0.852,14.993,95.789,95.205,-13.190,-8.695,-6.307,-4.802,-2.807,-8.927,-8.116,-7.385,-7.926,-4.273,-1.265,-8.285,-2.718,-3.449,-4.871,-8.218,0.000,14.270,0.477,-0.544,-89.586,-47.572
72798.010,297.565,0.852,14.987,95.710,94.885,-14.163,-8.137,-7.163,-4.280,-3.023,-9.134,-8.223,-8.027,-6.698,-4.794,-1.265,-7.860,-2.718,-4.285,-5.079,-7.543,0.000,14.231,0.517,-0.542,-89.603,-47.572
72789.947,297.566,0.852,14.969,95.473,95.045,-13.406,-7.580,-5.773,-4.698,-3.239,-9.031,-8.757,-8.348,-7.256,-4.586,-1.582,-8.710,-2.404,-4.598,-5.597,-7.543,0.000,14.212,0.548,-0.543,-89.619,-47.572
72798.010,297.565,0.852,14.980,95.631,94.885,-13.514,-8.137,-6.201,-3.967,-3.671,-9.238,-8.223,-8.348,-6.921,-4.169,-0.633,-7.966,-2.091,-3.658,-5.700,-7.768,0.000,14.173,0.588,-0.543,-89.603,-47.562
72785.916,297.563,0.852,14.982,95.631,95.205,-13.622,-8.360,-6.307,-4.280,-2.483,-8.927,-8.116,-7.920,-7.368,-4.169,-1.055,-8.178,-1.986,-3.971,-5.182,-7.993,0.000,14.173,0.609,-0.543,-89.619,-47.562
72781.884,297.565,0.852,14.976,95.552,94.724,-14.055,-6.800,-6.307,-4.176,-2.807,-9.134,-8.436,-8.455,-6.475,-5.106,-1.055,-8.072,-2.927,-4.180,-4.871,-7.993,0.000,14.077,0.639,-0.544,-89.586,-47.562
72793.979,297.563,0.852,14.968,95.473,94.724,-13.947,-8.137,-6.521,-5.324,-3.023,-9.031,-8.970,-8.455,-6.810,-4.273,-1.265,-8.178,-2.300,-5.121,-4.768,-7.318,0.000,14.019,0.690,-0.545,-89.586,-47.572
72798.010,297.566,0.852,14.974,95.552,94.564,-13.838,-8.026,-5.987,-4.489,-3.131,-8.823,-8.543,-8.776,-6.363,-3.752,-1.054,-8.602,-2.718,-4.076,-5.597,-7.318,0.000,14.019,0.710,-0.545,-89.619,-47.594
72798.010,297.568,0.852,14.974,95.552,95.205,-13.082,-8.472,-6.521,-4.907,-2.915,-9.031,-8.116,-7.813,-7.368,-4.273,-0.738,-8.284,-2.614,-3.867,-4.768,-7.655,0.000,13.942,0.761,-0.547,-89.586,-47.583
72793.979,297.566,0.852,14.975,95.552,94.885,-13.947,-7.914,-7.270,-4.489,-3.239,-9.031,-8.009,-8.134,-6.251,-5.210,-0.949,-8.390,-3.136,-3.866,-5.079,-7.655,0.000,13.865,0.802,-0.549,-89.603,-47.572
72789.947,297.566,0.852,14.981,95.631,95.045,-13.730,-7.803,-5.666,-5.429,-2.807,-8.927,-8.330,-8.562,-6.363,-3.752,-1.582,-8.602,-1.882,-4.911,-5.182,-7.318,0.000,13.827,0.842,-0.550,-89.603,-47.594
72793.979,297.566,0.852,14.975,95.552,95.205,-13.406,-7.803,-5.987,-4.385,-3.671,-9.031,-8.650,-8.562,-6.363,-4.168,-1.371,-8.284,-3.136,-4.180,-6.219,-7.768,0.000,13.769,0.883,-0.553,-89.586,-47.583
72789.947,297.566,0.852,14.969,95.473,95.205,-13.730,-7.691,-6.414,-4.385,-2.807,-9.134,-8.009,-8.134,-7.145,-3.960,-1.265,-8.284,-2.300,-3.762,-5.079,-7.768,0.000,13.673,0.924,-0.555,-89.603,-47.572
72789.947,297.568,0.852,14.975,95.552,94.724,-14.271,-7.357,-6.521,-4.385,-3.455,-8.927,-8.116,-7.706,-6.586,-5.002,-1.160,-8.284,-2.614,-3.657,-5.493,-6.980,0.000,13.596,0.924,-0.557,-89.586,-47.562
