%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73697.005,297.031,0.864,14.945,96.534,95.638,-12.757,-7.357,-5.988,-4.802,-2.915,-7.992,-8.650,-8.671,-6.699,-3.335,-2.004,-8.922,-1.045,-3.448,-5.805,-7.431,0.000,9.275,-8.568,-0.760,-89.963,-39.902
73701.036,297.032,0.864,14.939,96.455,95.798,-11.027,-8.472,-5.774,-5.220,-3.779,-8.200,-8.650,-8.671,-6.587,-4.169,-1.055,-9.772,-1.673,-3.553,-5.597,-8.220,0.000,9.198,-8.518,-0.760,-89.897,-39.913
73692.973,297.034,0.864,14.934,96.376,95.958,-11.568,-7.691,-6.308,-5.533,-2.915,-9.342,-8.757,-8.457,-6.699,-3.856,-1.582,-8.709,-1.150,-3.762,-5.701,-8.782,0.000,9.083,-8.477,-0.761,-89.930,-39.892
73701.036,297.031,0.864,14.933,96.376,95.638,-11.244,-7.245,-5.988,-5.011,-3.023,-8.200,-9.611,-8.457,-6.811,-4.273,-1.160,-8.816,-1.150,-3.239,-5.701,-7.882,0.000,8.987,-8.436,-0.761,-89.946,-39.913
73692.973,297.034,0.864,14.934,96.376,95.798,-11.892,-7.357,-6.094,-5.115,-2.807,-7.785,-8.650,-8.564,-6.476,-3.648,-2.109,-8.922,-1.254,-3.553,-5.287,-7.882,0.000,8.871,-8.386,-0.762,-89.930,-39.924
73705.067,297.032,0.864,14.932,96.376,95.798,-11.135,-8.137,-6.629,-5.011,-3.779,-8.304,-9.077,-8.350,-6.811,-3.648,-1.477,-9.347,-1.045,-2.926,-6.219,-7.544,0.000,8.717,-8.345,-0.762,-89.930,-39.902
73697.005,297.034,0.864,14.927,96.297,95.798,-11.892,-7.803,-6.522,-5.011,-3.131,-8.719,-9.077,-8.457,-7.257,-4.169,-1.582,-8.922,-1.568,-3.344,-5.183,-8.220,0.000,8.659,-8.325,-0.762,-89.914,-39.913
73701.036,297.034,0.864,14.927,96.297,95.638,-11.784,-7.245,-6.415,-5.011,-3.131,-7.992,-9.184,-8.350,-5.917,-3.960,-1.160,-8.922,-1.359,-3.762,-5.701,-7.769,0.000,8.563,-8.284,-0.761,-89.930,-39.913
73697.005,297.029,0.864,14.939,96.455,95.958,-12.108,-7.691,-5.881,-5.846,-2.915,-8.200,-9.291,-8.029,-6.363,-3.856,-1.793,-8.391,-0.732,-4.075,-5.390,-7.431,0.000,8.506,-8.233,-0.760,-89.946,-39.913
73697.005,297.032,0.864,14.933,96.376,95.958,-11.568,-7.468,-6.094,-5.429,-2.807,-7.992,-8.757,-8.885,-6.028,-3.231,-1.055,-8.497,-1.254,-2.717,-5.908,-7.544,0.000,8.390,-8.213,-0.759,-89.930,-39.924
73697.005,297.031,0.864,14.921,96.218,95.798,-11.784,-8.026,-5.881,-4.802,-3.455,-7.992,-8.436,-8.029,-6.810,-3.544,-1.055,-9.028,-0.836,-2.090,-5.287,-7.431,0.000,8.390,-8.152,-0.758,-89.946,-39.902
73701.036,297.034,0.864,14.933,96.376,95.798,-11.460,-7.022,-6.950,-4.802,-3.131,-8.615,-8.223,-8.136,-6.028,-4.273,-1.476,-8.710,-1.882,-3.030,-5.494,-8.107,0.000,8.236,-8.142,-0.757,-89.930,-39.902
73705.067,297.032,0.864,14.920,96.218,95.958,-11.244,-6.800,-5.453,-5.011,-2.915,-7.889,-9.184,-8.243,-6.028,-3.439,-1.265,-8.391,-0.836,-3.657,-5.183,-7.431,0.000,8.236,-8.101,-0.755,-89.930,-39.913
73709.099,297.032,0.864,14.926,96.297,95.958,-11.892,-7.803,-5.667,-5.011,-2.699,-8.200,-8.543,-8.885,-6.363,-3.544,-1.476,-8.497,-1.046,-3.030,-5.597,-7.319,0.000,8.178,-8.060,-0.754,-89.930,-39.913
73701.036,297.032,0.864,14.939,96.455,95.958,-11.027,-7.803,-5.988,-4.698,-2.807,-8.096,-8.543,-8.350,-6.475,-3.231,-1.582,-9.559,-1.255,-3.657,-5.700,-7.657,0.000,8.140,-8.050,-0.752,-89.930,-39.913
73705.067,297.029,0.864,14.920,96.218,95.638,-11.027,-6.911,-6.201,-5.011,-2.591,-8.511,-8.863,-8.350,-5.693,-3.856,-1.898,-8.922,-1.359,-3.135,-5.700,-7.881,0.000,8.121,-8.020,-0.747,-89.914,-39.924
73701.036,297.034,0.864,14.933,96.376,96.118,-11.890,-7.468,-5.988,-5.220,-3.455,-8.304,-9.611,-8.671,-6.698,-4.273,-1.898,-9.028,-1.359,-3.971,-6.011,-8.106,0.000,8.101,-7.999,-0.745,-89.914,-39.924
73701.036,297.032,0.864,14.933,96.376,95.958,-12.431,-8.026,-5.988,-5.220,-3.455,-8.304,-8.863,-8.457,-6.810,-3.439,-2.214,-8.497,-1.673,-4.075,-5.700,-7.993,0.000,8.063,-7.979,-0.743,-89.930,-39.892
73697.005,297.029,0.864,14.933,96.376,95.638,-11.350,-8.471,-6.522,-5.429,-3.994,-8.511,-9.184,-8.885,-6.475,-3.856,-1.476,-9.559,-1.882,-3.344,-6.322,-7.430,0.000,8.101,-7.949,-0.740,-89.946,-39.902
73701.036,297.032,0.864,14.927,96.297,95.958,-11.782,-7.245,-6.415,-4.907,-3.347,-9.134,-9.291,-8.778,-7.033,-4.169,-1.793,-9.028,-1.464,-4.075,-5.389,-9.006,0.000,8.063,-7.928,-0.736,-89.914,-39.892
73701.036,297.029,0.864,14.939,96.455,95.798,-11.674,-7.914,-6.415,-5.011,-3.131,-8.408,-9.291,-8.564,-6.251,-4.273,-1.793,-9.241,-0.941,-3.553,-5.908,-7.430,0.000,8.082,-7.918,-0.734,-89.946,-39.913
73697.005,297.032,0.864,14.933,96.376,95.478,-12.107,-7.357,-5.774,-6.159,-2.915,-8.200,-8.436,-9.100,-6.586,-3.648,-2.109,-8.816,-1.882,-3.657,-5.597,-7.768,0.000,8.101,-7.888,-0.730,-89.930,-39.913
