%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73104.394,297.118,0.857,25.089,269.778,263.483,-9.404,-5.573,-5.024,-3.340,-2.267,-6.332,-6.514,-7.063,-4.912,-2.710,0.423,-6.479,0.209,-1.358,-3.731,-5.291,0.000,-5.184,27.469,-0.441,60.083,22.045
73108.425,297.118,0.857,25.092,269.857,263.323,-9.837,-5.573,-3.741,-2.818,-0.864,-6.020,-6.301,-6.742,-4.577,-1.042,0.528,-6.054,0.942,-2.090,-3.317,-5.291,0.000,-5.107,27.459,-0.442,60.083,22.034
73108.425,297.118,0.857,25.092,269.857,263.483,-9.188,-5.685,-3.956,-2.610,-1.835,-5.917,-5.767,-6.528,-4.800,-1.042,1.162,-6.479,0.838,-1.045,-3.938,-5.404,0.000,-5.088,27.418,-0.444,60.083,22.056
73108.425,297.119,0.857,25.096,269.936,263.163,-9.512,-5.908,-4.169,-2.714,-1.727,-6.851,-6.728,-6.635,-4.800,-2.293,0.634,-6.054,0.419,-1.358,-3.420,-6.304,0.000,-4.972,27.438,-0.447,60.034,22.034
73108.425,297.123,0.857,25.096,269.936,263.483,-9.621,-5.016,-4.276,-1.879,-0.864,-5.605,-6.194,-6.421,-3.795,-1.772,0.951,-6.160,0.733,-1.149,-3.628,-4.728,0.000,-4.972,27.418,-0.450,60.083,22.045
73108.425,297.123,0.857,25.093,269.857,263.643,-9.296,-5.239,-3.742,-3.654,-1.511,-6.332,-6.514,-7.063,-4.800,-1.146,0.528,-6.373,0.524,-2.194,-3.317,-5.404,0.000,-4.934,27.428,-0.454,60.067,22.034
73112.456,297.123,0.857,25.092,269.857,263.483,-8.972,-5.796,-3.849,-2.297,-2.051,-6.228,-6.194,-6.956,-4.689,-1.668,1.268,-6.585,0.314,-0.940,-4.146,-5.742,0.000,-4.857,27.428,-0.458,60.051,22.034
73112.456,297.123,0.857,25.099,270.015,263.483,-9.945,-5.685,-4.490,-2.714,-1.403,-6.955,-7.048,-6.421,-5.023,-2.293,1.057,-7.223,0.209,-0.940,-3.317,-6.192,0.000,-4.818,27.428,-0.463,60.067,22.034
73104.394,297.123,0.857,25.093,269.857,263.964,-9.404,-4.682,-4.704,-2.714,-1.511,-6.020,-6.728,-6.849,-3.907,-2.710,0.528,-6.479,-0.105,-1.254,-4.042,-5.742,0.000,-4.857,27.418,-0.467,60.067,22.045
73112.456,297.123,0.857,25.088,269.778,263.643,-9.945,-6.131,-4.062,-4.176,-2.051,-6.539,-7.048,-7.063,-4.800,-1.667,-0.105,-6.798,0.838,-1.985,-3.628,-5.404,0.000,-4.838,27.438,-0.472,60.083,22.034
