%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73076.174,297.347,0.856,14.905,95.102,94.584,-9.404,-5.128,-3.421,-2.506,-1.511,-6.436,-6.087,-7.599,-5.135,-1.355,0.740,-6.691,1.047,-1.045,-3.835,-5.967,0.000,32.098,-5.103,-0.613,-112.419,20.047
73080.205,297.347,0.856,14.917,95.260,94.904,-9.080,-6.019,-3.635,-2.088,-1.188,-5.813,-6.087,-6.956,-5.023,-1.980,1.056,-7.116,0.628,-1.045,-3.524,-5.404,0.000,32.137,-5.032,-0.613,-112.435,20.047
73080.205,297.345,0.856,14.917,95.260,94.904,-9.621,-5.016,-4.490,-2.714,-1.080,-7.162,-6.301,-6.528,-4.019,-2.084,1.056,-6.585,0.105,-1.254,-3.835,-6.079,0.000,32.137,-4.981,-0.613,-112.468,20.026
73080.205,297.347,0.856,14.911,95.181,94.744,-9.837,-5.128,-4.276,-3.132,-1.619,-5.813,-7.155,-6.849,-4.242,-2.084,0.634,-6.373,0.314,-1.463,-4.249,-5.404,0.000,32.175,-4.910,-0.614,-112.452,20.036
73084.237,297.347,0.856,14.917,95.260,94.744,-9.404,-5.350,-4.062,-2.923,-1.619,-6.124,-6.194,-7.492,-4.465,-1.667,0.528,-6.904,0.419,-1.150,-3.628,-6.079,0.000,32.194,-4.859,-0.615,-112.452,20.047
73080.205,297.348,0.856,14.917,95.260,94.584,-9.512,-6.800,-3.956,-2.714,-1.296,-6.643,-6.835,-6.742,-5.247,-1.980,0.740,-6.904,0.628,-0.836,-3.317,-5.742,0.000,32.233,-4.757,-0.617,-112.452,20.036
73084.237,297.353,0.856,14.904,95.102,94.744,-9.729,-4.793,-4.383,-2.819,-0.972,-6.643,-5.980,-6.742,-4.465,-1.772,0.845,-6.373,-0.105,-1.150,-3.524,-6.079,0.000,32.233,-4.696,-0.619,-112.419,20.047
73084.237,297.348,0.856,14.917,95.260,94.904,-9.080,-5.239,-3.528,-3.132,-1.403,-6.436,-7.048,-6.421,-4.577,-2.188,0.634,-6.479,0.524,-1.463,-3.835,-5.854,0.000,32.233,-4.625,-0.619,-112.452,20.058
73084.237,297.348,0.856,14.917,95.260,94.744,-9.729,-5.796,-3.956,-3.341,-1.835,-6.436,-5.980,-7.277,-4.242,-1.980,0.528,-6.798,1.047,-1.150,-3.524,-5.629,0.000,32.271,-4.544,-0.620,-112.435,20.047
73092.300,297.350,0.856,14.910,95.181,95.224,-9.512,-5.239,-3.742,-2.923,-1.296,-6.020,-6.621,-6.421,-4.577,-1.563,1.585,-7.223,0.838,-1.045,-3.628,-5.629,0.000,32.252,-4.503,-0.622,-112.452,20.036
